OTU	Group
ASV_435	plaque
ASV_719	saliva
ASV_749	saliva
ASV_1307	saliva
ASV_518	feces
ASV_635	plaque
ASV_770	saliva
ASV_677	plaque
ASV_699	saliva
ASV_639	plaque
ASV_651	plaque
ASV_591	feces
ASV_742	saliva
ASV_566	plaque
ASV_1240	saliva
ASV_455	plaque
ASV_623	plaque
ASV_541	plaque
ASV_586	saliva
ASV_689	plaque
ASV_687	saliva
ASV_709	feces
ASV_713	plaque
ASV_814	saliva
ASV_750	plaque
ASV_1163	saliva
ASV_1161	saliva
ASV_698	plaque
ASV_764	saliva
ASV_697	plaque
ASV_1008	saliva
ASV_975	plaque
ASV_1418	saliva
ASV_446	plaque
ASV_575	saliva
ASV_692	saliva
ASV_701	plaque
ASV_769	plaque
ASV_1097	plaque
ASV_513	plaque
ASV_612	plaque
ASV_1337	saliva
ASV_1001	saliva
ASV_617	saliva
ASV_782	saliva
ASV_994	saliva
ASV_804	saliva
ASV_1261	saliva
ASV_1292	saliva
ASV_952	plaque
ASV_484	plaque
ASV_751	feces
ASV_1196	saliva
ASV_516	plaque
ASV_464	plaque
ASV_671	feces
ASV_696	plaque
ASV_1246	saliva
ASV_859	plaque
ASV_490	feces
ASV_579	saliva
ASV_725	feces
ASV_895	saliva
ASV_932	saliva
ASV_1065	plaque
ASV_813	plaque
ASV_943	saliva
ASV_1295	saliva
ASV_1028	saliva
ASV_676	saliva
ASV_822	saliva
ASV_1031	saliva
ASV_679	plaque
ASV_888	saliva
ASV_1090	saliva
ASV_1135	saliva
ASV_876	saliva
ASV_1060	saliva
ASV_1452	saliva
ASV_1113	saliva
ASV_924	saliva
ASV_1294	saliva
ASV_1168	saliva
ASV_1074	saliva
ASV_925	saliva
ASV_979	saliva
ASV_904	saliva
ASV_1164	saliva
ASV_838	saliva
ASV_1331	feces
ASV_1083	feces
ASV_732	saliva
ASV_1521	saliva
ASV_1446	saliva
ASV_1040	saliva
ASV_890	saliva
ASV_1052	saliva
ASV_1042	saliva
ASV_1009	saliva
ASV_1073	saliva
ASV_1215	saliva
