OTUID	logFC	logCPM	PValue	FDR	level	Kingdom	Phylum	Class	Order	Family	Genus	MeanA	MeanB	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6
OTU_709	-2.846	7.704	0.00218075658183272	0.0381065971539731	Depleted	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Unassigned	Unassigned	0.003	0.028	0.003	0.009	0	0	0	0.008	0.012	0.003	0.038	0.077	0.032	0.003
OTU_848	-1.925	7.55	0.00220249377309417	0.0382381338283639	Depleted	Bacteria	Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	Opitutus	0.004	0.023	0	0.003	0.008	0.003	0.01	0.003	0.021	0.012	0.009	0.025	0.029	0.043
OTU_3264	-2.956	6.535	0.0022386261416544	0.0383703372432611	Depleted	Bacteria	Proteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	0	0.007	0	0	0	0	0.003	0	0.003	0.003	0.003	0.012	0.012	0.009
OTU_1603	-4.102	7.058	0.00225421774900761	0.0383930377378447	Depleted	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Pseudonocardiaceae	Unassigned	0	0.017	0	0.003	0	0	0	0	0.055	0.036	0	0	0	0.012
OTU_716	-2.631	7.296	0.00229517872324803	0.0388448172594997	Depleted	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces	0.002	0.019	0.003	0.009	0	0	0.003	0	0.012	0.039	0.009	0.034	0	0.021
OTU_1704	-2.765	6.98	0.00237799351913403	0.0397464631055259	Depleted	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Unassigned	0.001	0.014	0	0.009	0	0	0	0	0.018	0.021	0.012	0	0.006	0.027
OTU_174	-1.861	8.841	0.0024007940762116	0.0398798571548482	Depleted	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces	0.016	0.068	0.025	0.031	0.005	0.011	0.016	0.008	0.052	0.161	0.043	0.108	0.029	0.015
OTU_2898	-3.461	6.237	0.0024413826399592	0.0403052802707374	Depleted	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0.004	0	0	0	0	0	0	0.003	0.009	0	0.003	0.003	0.006
OTU_2910	-2.27	6.944	0.00247429774526107	0.0403714047658564	Depleted	Bacteria	Acidobacteria	Acidobacteria_Gp4	Unassigned	Unassigned	Unassigned	0.002	0.012	0	0.003	0.003	0	0	0.006	0.009	0.009	0.014	0.006	0.006	0.03
OTU_2153	-2.734	6.446	0.00247539271139588	0.0403714047658564	Depleted	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0.006	0	0	0.003	0	0	0	0.006	0.009	0.003	0.003	0.009	0.006
OTU_1803	-3.759	6.325	0.00251233826013663	0.0407271220363113	Depleted	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	0	0.005	0	0	0	0	0	0	0.006	0.015	0.006	0	0.003	0
OTU_3268	-2.519	6.651	0.00260970028465843	0.042052116562969	Depleted	Bacteria	Acidobacteria	Acidobacteria_Gp17	Unassigned	Unassigned	Unassigned	0.001	0.008	0	0	0.003	0	0.003	0	0.015	0.006	0.009	0	0.009	0.012
OTU_1607	-2.357	7.42	0.00265397654201179	0.0425110171104389	Depleted	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Unassigned	0.003	0.021	0.003	0.014	0	0.003	0	0	0.027	0.054	0.017	0.006	0.015	0.009
OTU_1235	-1.668	7.561	0.00275632872445087	0.0436801702711445	Depleted	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Haliangiaceae	Haliangium	0.006	0.022	0.012	0.003	0	0.005	0.003	0.011	0.024	0.021	0.029	0.025	0.018	0.015
OTU_1822	-2.386	6.818	0.00281107222140159	0.0436801702711445	Depleted	Bacteria	Proteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	0.001	0.01	0.006	0	0	0.003	0	0	0.009	0.003	0.009	0.006	0.021	0.015
