richness	HY1_1	HY1_2	HY1_3	HY2_1	HY2_2	HY2_3	HY3_1	HY3_2	HY3_3
67	129.0	131.0	137.0	193.0	187.0	186.0	111.0	116.0	119.0
68	129.0	130.0	138.0	193.0	185.0	186.0	112.0	114.0	116.0
69	129.0	130.0	137.0	193.0	187.0	187.0	112.0	117.0	119.0
70	130.0	131.0	138.0	194.0	188.0	186.0	112.0	117.0	119.0
71	129.0	130.0	137.0	194.0	187.0	187.0	112.0	116.0	119.0
72	129.0	131.0	138.0	196.0	187.0	187.0	112.0	117.0	120.0
73	129.0	132.0	138.0	195.0	188.0	185.0	112.0	117.0	120.0
74	130.0	131.0	138.0	195.0	188.0	185.0	112.0	115.0	119.0
75	129.0	132.0	136.0	194.0	189.0	186.0	112.0	117.0	120.0
76	130.0	132.0	135.0	194.0	189.0	187.0	112.0	115.0	120.0
77	130.0	132.0	138.0	196.0	189.0	186.0	112.0	117.0	120.0
78	130.0	132.0	138.0	194.0	188.0	187.0	112.0	117.0	120.0
79	130.0	132.0	138.0	196.0	189.0	187.0	112.0	117.0	119.0
80	129.0	131.0	138.0	195.0	189.0	187.0	112.0	116.0	120.0
81	130.0	132.0	137.0	194.0	189.0	187.0	112.0	117.0	120.0
82	130.0	132.0	138.0	196.0	188.0	187.0	112.0	117.0	120.0
83	130.0	132.0	138.0	196.0	189.0	187.0	112.0	117.0	120.0
84	130.0	132.0	138.0	195.0	188.0	187.0	112.0	117.0	120.0
85	130.0	132.0	138.0	196.0	188.0	187.0	112.0	116.0	119.0
86	130.0	132.0	138.0	195.0	189.0	187.0	112.0	117.0	120.0
87	130.0	132.0	138.0	196.0	189.0	187.0	112.0	117.0	119.0
88	130.0	132.0	138.0	196.0	189.0	187.0	112.0	117.0	120.0
89	130.0	132.0	138.0	196.0	189.0	187.0	112.0	117.0	120.0
90	130.0	132.0	138.0	196.0	189.0	187.0	112.0	117.0	120.0
91	130.0	132.0	137.0	196.0	189.0	187.0	112.0	117.0	120.0
92	130.0	132.0	138.0	196.0	189.0	187.0	112.0	117.0	120.0
93	130.0	132.0	138.0	196.0	189.0	187.0	112.0	117.0	120.0
94	130.0	132.0	138.0	196.0	189.0	187.0	112.0	117.0	120.0
95	130.0	132.0	138.0	196.0	189.0	187.0	112.0	117.0	120.0
96	130.0	132.0	138.0	196.0	189.0	187.0	112.0	117.0	120.0
97	130.0	132.0	138.0	196.0	189.0	187.0	112.0	117.0	120.0
98	130.0	132.0	138.0	196.0	189.0	187.0	112.0	117.0	120.0
99	130.0	132.0	138.0	196.0	188.0	187.0	112.0	117.0	120.0
100	130.0	132.0	138.0	196.0	189.0	187.0	112.0	117.0	120.0
