Order	feces1	feces2	feces3	feces4	feces5	feces6	plaque1	plaque2	plaque3	plaque4	plaque5	plaque6	saliva1	saliva2	saliva3	saliva4	saliva5	saliva6	All
Flavobacteriales	0	0	0.01	0	0	0	0.44	0.29	0.2	0.43	0.01	1.28	6.07	2.23	1.4	4.76	3.48	1.69	1.8
Clostridia UCG-014	7.76	11.2	5.05	0.95	1.67	0.24	0.29	0.1	0.01	0.01	0	0.16	0.57	0.16	0.14	0.58	0.37	0.21	1.6
Christensenellales	0.91	6.97	0.74	0	2.87	0.06	0	0	0	0	0	0	0	0	0	0	0	0	1.5
Enterobacterales	0.13	6.19	1.51	0	2.33	3.59	0.44	0.03	2.22	0.04	0.01	0.31	5.04	1.37	2.18	1.78	3.26	1.38	1.2
Staphylococcales	0.02	0	0.01	0.05	0.02	0.22	1	0.02	0.86	1.21	0.2	0.65	3.04	2.13	2.81	3.31	3.68	1.68	1.1
Saccharimonadales	0.01	0.02	0	0.03	0.06	0.09	2.28	2.34	0.27	1.08	0.01	0.88	0.88	0.89	0.75	2.88	0.73	0.55	1.1
Peptococcales	0	0.06	0	0.01	0.1	0	3.01	1.1	2.47	0.99	1.67	0.52	0.1	0.07	0.11	0.02	0	0.05	0.9
Acidaminococcales	0.73	4.83	0.06	0.87	0	0.02	0.01	0	0	0	0	0	0	0	0	0	0	0	0.7
Desulfovibrionales	0.29	0.87	0.61	0.01	1.17	0.42	0.28	0.01	0	0	0	0	0	0	0	0	0	0	0.7
Campylobacterales	0	0	0	0	0	0	0.5	1.76	0.84	0.26	0.92	1.66	1.24	0.86	1.33	2.56	0.22	3.04	0.6
Sphingobacteriales	0	0	0	0	0	0	1.14	0.25	0.01	0	0.39	0.07	0.11	0	0.24	0.1	0.05	2.38	0.5
RF39	0	0.38	0	0.3	0.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5
Micrococcales	0.04	0	0	0	0	0.02	0.31	0.01	0.01	0.18	0.72	0.38	1.39	0.8	2.53	1.13	1.63	1.32	0.5
Clostridiales	0.04	0	0	0.26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4
Anaerolineales	0	0	0	0	0	0	1.46	1.58	0.34	4.31	1.67	1.41	0.03	0.19	0.14	0.13	0	0.09	0.4
Bifidobacteriales	3.96	5.27	0.57	0.83	12.7	2.96	0	0	0.01	0	0	0	0.15	0	0	0	0	0.02	0.4
Desulfobulbales	0	0	0	0	0	0	1.17	1.94	0.65	4.16	4.67	0.64	0.09	0.26	0.23	0.1	0	0.18	0.3
Cardiobacteriales	0	0	0	0	0	0	0.12	0.03	0.02	0.02	0	0.31	0.32	1.13	0.07	1.34	0.06	0.38	0.3
Verrucomicrobiales	0.47	0	0.01	0.01	0	20.7	0	0	0	0	0	0	0	0	0	0	0	0	0.3
Monoglobales	0.12	0.12	3.31	1.33	0.11	0.32	0	0	0	0	0	0	0	0	0	0	0	0	0.3
Absconditabacteriales SR1	0	0	0	0	0	0	0.12	0.37	0	0	0	0.21	0.04	0.21	0	1	0.24	0.27	0.2
Mycoplasmatales	0	0	0	0	0	0	0	0.06	0	0.1	1.15	0.36	0.09	0.52	0.52	0.12	0.01	0.04	0.2
Acholeplasmatales	0	0	0	0	0	0	0.41	0.37	0	0	0	0	0	0	0	0	0.04	0.35	0.2
Actinomycetales	0	0.01	0	0.02	0.01	0	0.37	0.11	0.12	0.33	0.07	0.12	0.05	0.17	0.41	0.2	0.1	0.07	0.1
Mycobacteriales	0	0	0	0	0	0	1.13	0.01	0	0.54	0.02	0.47	0.03	0.16	0.2	0.27	0.11	0.09	0.1
Methanobacteriales	0.08	0.35	0.02	0.01	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0.1
Candidatus Pacebacteria	0	0	0	0	0	0	0.7	0	0	0	0	0	0	0	0	0	0.01	0	0.1
Unassigned	0.29	0.3	0.02	0	2.83	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Eubacteriales	0	0	0	0	0	0	0.1	0.08	0	0.22	0	0.05	0.05	0.02	0	0.01	0	0	0.1
Izemoplasmatales	0	0	0	0	0	0	0.1	0.11	0	0	0	0	0	0	0.01	0	0	0.11	0.1
Incertae Sedis	0	0	0	0	0	0	0.12	0.07	0	0	0	0	0	0	0	0	0	0	0.1
Rhodospirillales	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
