function	feces1	feces2	feces3	feces4	feces5	feces6	plaque1	plaque2	plaque3	plaque4	plaque5	plaque6	saliva1	saliva2	saliva3	saliva4	saliva5	saliva6
K03708	187.0	23.4	168.34	126.0	58.92	16.0	533.2600000000001	316.50999999999993	203.35999999999999	194.41999999999996	302.66	87.44	263.3	621.8300000000003	559.45	785.78	870.4299999999998	567.0100000000001
K03709	11.0	9.9	28.01	8.0	11.42	3.0	665.54	267.01	506.95	222.91999999999996	660.6700000000001	200.03	358.23	1004.83	778.63	976.62	867.08	810.3400000000001
K03710	516.5	511.07	781.1700000000001	535.0	677.92	220.4	418.6	268.08	185.01999999999998	191.24999999999997	222.93	147.44000000000003	297.21000000000004	756.7500000000002	662.8700000000001	696.9599999999999	868.18	535.26
K03711	1474.91	701.5899999999999	2042.58	771.1	985.09	322.85	3211.2	690.1899999999999	1433.0899999999997	823.91	2112.2	579.18	1242.9399999999996	977.5400000000001	1285.1799999999998	1524.5100000000002	1196.9899999999998	1791.9699999999996
K03713	0.0	0.5700000000000001	0.17	0.0	1.42	1.0	88.92999999999999	193.32999999999998	32.519999999999996	125.75	12.18	36.11	135.45999999999998	571.8299999999999	467.78999999999996	581.79	656.0999999999999	319.3499999999999
K03715	0.5	0.0	0.0	0.0	0.0	0.0	74.0	1.0	35.5	6.0	39.5	4.5	23.5	0.5	2.0	0.5	2.5	2.0
K03716	1.0	12.5	105.5	68.0	26.5	52.0	209.16000000000003	11.91	132.83	84.91	115.74	28.91	50.58	31.33	46.83	115.83	55.0	149.07999999999998
K03717	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	2.0	0.0	16.0	2.0
K03718	600.52	175.68	557.82	138.6	302.42	0.0	1442.3100000000002	289.0	653.75	503.0	992.0	245.42000000000002	498.09000000000003	587.1800000000001	715.3499999999999	765.82	265.01	740.5
K03719	248.87	217.83999999999997	391.6599999999999	217.29999999999998	436.29	28.75	337.61	67.5	100.25	29.0	149.5	51.15	175.54	412.38000000000005	514.7500000000001	543.72	248.31	319.2
K03720	0.5	0.0	0.0	0.0	0.0	0.0	28.66	1.0	7.0	6.5	17.5	4.0	12.84	48.18000000000001	6.35	72.32	16.509999999999998	12.0
K03721	0.0	0.0	0.0	0.0	0.0	0.0	3.66	0.0	0.25	5.0	0.5	1.0	2.34	48.18000000000001	5.85	71.82	15.51	11.0
K03722	144.0	168.07	299.17	232.5	182.25	79.8	596.19	254.74	376.52	211.99999999999997	388.17	147.89	365.74	823.7700000000001	724.4299999999998	971.4700000000003	851.83	689.4500000000002
K03723	913.01	576.2399999999999	1415.6699999999998	682.8000000000001	792.71	261.05	2276.8599999999997	757.8399999999999	1130.2700000000002	671.83	1586.5600000000002	475.46000000000004	1142.9799999999996	1374.3599999999997	1400.3200000000002	1806.13	1381.0900000000001	1592.2599999999993
K03724	16.75	26.75	34.42	36.0	100.0	13.75	208.67000000000002	18.5	13.5	14.5	56.5	24.33	53.5	106.17	73.83	50.17	72.33	108.66
K03727	0.25	22.25	0.75	33.5	94.5	8.75	25.67	5.17	4.0	1.0	0.5	24.33	22.5	104.67	63.33	53.67	72.33	93.99
K03732	0.5	0.0	0.0	0.0	0.0	0.0	210.66000000000003	8.0	48.0	11.0	93.0	17.0	32.34	51.68000000000001	8.85	72.32	17.009999999999998	16.0
K03733	352.51	142.33999999999997	473.6599999999999	298.3	392.79	36.75	1483.7800000000002	221.49999999999997	754.75	343.5	1076.75	282.12	655.19	1026.9499999999998	975.6299999999999	1106.6900000000003	524.74	825.5900000000001
K03734	949.13	592.9899999999999	1399.6699999999998	694.3000000000001	800.71	261.05	1927.8	475.5	892.11	579.1700000000001	1328.15	394.50999999999993	1028.1799999999998	1259.9500000000003	1380.9600000000005	1681.9899999999998	1076.98	1387.9699999999998
K03735	0.0	0.0	0.0	16.0	2.25	0.0	81.41	28.41	89.58	53.41	75.49	25.16	42.83	37.58	34.08	127.58	128.5	71.58
K03736	0.0	0.0	0.0	16.0	2.25	0.0	81.41	28.41	89.58	53.41	75.49	25.16	42.83	37.58	34.08	127.58	128.5	71.58
