PathwayL2	KO	feces1	feces2	feces3	feces4	feces5	feces6	plaque1	plaque2	plaque3	plaque4	plaque5	plaque6	saliva1	saliva2	saliva3	saliva4	saliva5	saliva6
Cellular community - prokaryotes	K07173K03666K01657K01658K12990K01626K06998K07645K07666K02403K02402K07667K01580K10555K10556K10557K10558K11216K11531K08321K11530K07344K02055K02053K02054K02052K01999K01997K01998K01995K01996K01728K01897K10914K09823K01218K01497K11752K09936K18139K07813K07706K07707K11031K12292K12293K12294K12295K14982K14983K15580K15581K15582K15583K10823K12296K02035K02033K02034K02031K02032K01635K03217K01318K14645K02250K15654K12257K03073K03075K03076K03210K03070K03110K03071K03106K02490K07699K01114K07173K03666K01791K02472K00640K01912K05946K03606K02452K02453K02454K02455K02456K02457K02458K02459K02460K02461K02462K02463K03563K02777K02779K05851K10914K03557K07181K10941K03092K03087K02405K02660K02659K06596K02658K02657K01768K03651K10914K10941K12990K01657K01658K03563K02398K02405K11912K11891K11893K11902K11901K11900K11903K11895K11907K16011K12992K02777K05851K10914K02403K02402K02398K02405K06204K03087K18968K00694K07173K11531K01991K03563K00975K00703K00688K11931K11936K04761K07648K07773K03566K03567K07638K07659	228581.03	193318.82	345485.22	225474.19999999998	199480.91	216176.21	507022.46	135734.61	331318.95	164656.13	366461.58	153573.27	250795.32	235075.6	259502.25	296613.88	341000.52999999997	376544.62
Circulatory system	K04962K00411K00412K00413K04962	101.5	4	2	2	31	0	2091.5	175.5	719	194	1051.5	208	1642	1758	3228.5	2196.5	3987	2298
Development and regeneration	K00901	2314.5	1801.5	1775	2554.75	2298.5	1283	3956.88	1142.73	1556.9699999999998	599.3299999999999	2245.24	1029.5	1848.08	1294.7	1872.32	2230.03	2402.07	2736.9700000000003
Digestive system	K13908K01176K01176K04962K00021K01176K00844K01278K00626K00510K07213K17686	15220.66	10845.170000000002	20126.54	9904.44	9928.89	5522.5599999999995	39700.270000000004	13483.92	26893.21	17007.96	29171.44	13674.18	18662.99	19317.66	25293.85	23364.95	24622.63	34830.68
Drug resistance: antimicrobial	K18133K08218K01207K01467K15580K15581K15582K15583K10823K02172K02171K17836K18148K18094K18095K18136K03585K18138K18139K12340K18104K18149K12552K12553K05366K03693K12555K00687K12556K05515K03587K19097K17837K17838K18345K18350K18351K18344K18349K18352K08641K01921K01775K01929K01000K02563K18866K18856K07260K18348K18346K07660K12975K10012K12962K03760K19239K19226K19227K19228K19229K19230K08589K06079K07640K07662K01448K04771K03673K03767K03585K18138K12340K00677K03367K03739K14188K03740K14205K19079	132000.46	93120.56	151684.01	118730.31999999999	110949.16	90301.06	228082.43	77465.56	154521.1	96157.18	174026.76	75598.28	126336.62	125284.73	156547.82	161408.72	179881.53	205807.28
Drug resistance: antineoplastic	K17686K00799K08738K00560K00287K00600K00297K00602	29093.12	24655.93	40577.29	24915.399999999998	26035.97	21699.82	64276.89	21194.23	38064.9	23605.95	45843.91	20536.940000000002	33043.8	39070.71	43018.82	45069.43	51758.1	58767.020000000004
Endocrine and metabolic disease	K00844K00873K01580K04077K08738K00411K00412K00413K00688K01596K11533K00820K01679	26877.75	24083.149999999998	38988.77	25048.36	23874.15	20778.059999999998	59868.85	18227.42	33401.9	19863.09	39246.37	17916.51	29308.38	34459.47	36767.89	38143.32	45206.229999999996	49166.72
Endocrine system	K04962K00688K07192K00844K03841K01596K01596K00688K03841K00850K01834K00873K00161K00162K00016K01054K01897K01596K01641K00029K00507K01897K00249K01596K00864K04079K04079K00965K04962K00432K00383K01114K00850K01322K01392	100914.43	84677.3	133855.4	85073.15	89500.91	74502.84	186753.09	55324.06	110307.83	67114.77	124652.73999999999	59347.99	91777.92	105736.22	108558.92	111765.62	118730.36	144966.14
Energy metabolism	K00330K00331K00332K00333K13378K00334K00335K00336K00337K00338K00339K00340K00341K00342K00343K05586K05587K05588K03885K00239K00240K00241K00242K00244K00245K00246K00247K00411K00412K00413K03889K03890K03891K02300K02276K02274K02275K02258K02259K00404K00405K15862K00407K00406K02299K02298K02297K00425K00426K02111K02112K02115K02113K02114K02108K02109K02110K02117K02118K02119K02120K02121K02122K02107K02123K02124K01507K15986K06019K00937K02114K02112K02115K02111K02113K02109K02110K02108K01601K01602K00927K00134K00150K01623K11645K01624K03841K02446K04041K00615K01807K01808K00855K01803K01621K01783K11214K01595K01610K01006K00029K00025K00024K00169K00170K00172K00171K03737K01007K01006K01595K01958K01959K01960K00024K01676K01677K01678K01679K00239K00240K00241K00242K00244K00245K00246K00247K18210K01902K01903K14534K00626K00174K00175K00177K00176K00031K01681K01682K01962K02160K01961K01963K08691K05606K01847K01848K01849K05299K15022K01938K01491K00297K15023K00198K00196K14138K00197K00194K00625K13788K15024K00925K01895K00121K01070K00123K00124K00127K00126K05299K15022K00197K00194K00198K00196K00600K00830K00018K01689K01595K00024K08691K00863K01623K11645K01624K03841K02446K04041K00850K16370K00918K08094K08093K03532K03533K07821K07812K11261K00442K03388K03389K03390K14127K14126K14128K00925K00625K13788K01895K00169K00170K00172K00171K01007K01834K15634K15633K15635K00058K00831K01079K02203K14080K14083K14084K16176K08097K05979K14941K14940K01455K02575K15576K15577K15578K00370K00371K00374K02567K02568K00372K00362K00363K00366K03385K15876K00368K04561K00376K02586K02591K02588K05601K00459K01501K15371K00260K00261K00262K01915K00265K00266K00284K00926K01673K01674K02048K02046K02047K02045K15552K10831K03119K15553K15554K15555K00299K00956K00957K00958K00860K01082K06881K00394K00395K00390K17226K11180K11181K00380K00381K16950K16951K00385K00392K17218K16937K08357K08358K08352K01011K02439K00640K01738K00651K00641K01739K10764K07306K07307K07308K00184K00185	514289.97	412922.41	710257.35	475860.9	441895.64	397773.02999999997	1122272.7	309036.92	646581.87	363958.68	774604.8	336583.09	534811.5	553970.58	644224.87	643308.57	740146.94	881464.36
Environmental adaptation	K04962K01054K01897K00411K00412K00413K02258K02259K02406K02358K00864K04079K12340	31522.55	22788.61	39779.17	23810.52	26669.55	20573.98	67608.98999999999	14259.81	41366.08	17647.6	48089.56	20948.05	36728.28	31236.55	35453.74	35043.02	38808.799999999996	46685.83
Excretory system	K06027K01425K00261K00025K01596	4844.21	673.91	1072.37	1306.5299999999997	2584.5	389.25	4752.05	430.06	3199.46	513.25	3156.15	1307.75	2440.5	4006.79	3019.15	3140.2	5236.4	4564.55
Folding	K03076K03073K03075K03072K03074K12257K03210K03217K03070K03071K03106K03110K03116K03117K03118K03100K03101K13280K07151K13525K04079K13993K04487K01011K11996K04085K07237K07236K07235K11179K00566K03635K03639K03636K03637K03831K03638K03151K03154K03148K13527K03432K03433K12585K08311K08300K03732K01689K00962K11927K12573K05592K03654K03628K18682K12574K00850K04043K04077K03666K00937K00970	191177.91999999998	157083.18	263252.27999999997	176228.88	164112.41999999998	155160.69999999998	383000.63999999996	109153.4	232157.2	122017.81	274645.44	119892.22	200850.36	215422.8	223212.48	242993.18	270190.22	308267.63
Glycan biosynthesis and metabolism	K00721K07151K00737K07151K12373K00728K00728K01197K01195K01207K01135K01205K12373K05286K07406K07407K12373K12373K00677K02535K16363K02536K03269K09949K00748K00912K06041K01627K03270K00979K02527K02517K02560K03760K12975K09778K11211K03271K03272K03273K03274K07031K15669K02841K02843K19353K02849K02850K02844K12983K03279K02847K00963K01784K17716K01854K00012K08679K00973K01710K01790K00067K19180K02805K00978K01709K12452K00523K12453K12454K15858K01809K16011K01840K00971K01711K15856K02377K13010K04042K01791K02472K01654K00983K15894K19068K15895K15896K15897K15898K15899K15912K13015K02474K13016K13020K13017K13018K13019K02473K00790K00075K01924K01925K01928K01921K01929K15792K00887K00806K06153K19302K01000K02563K03814K05366K05365K05367K12555K05515K03587K18149K08724K08384K05364K07258K07259K07260K18866K05362K07009K11694K11695K12552K12553K05363K12554K03693K00687K12556K01186K01190K12111K12112K12373K01191K01192K01227K01206K15923K01444K01201K08256K13668K14335K14337K14339K13671K11387K13687K16647K16648K02851K16870K16649K16650K13686K13687K16647K16648	339585.73	201109.97	339785.13	234518.46	273436.02	169747.02	593758	167541.46	376844.29	207803.72	443790.13	190591.36000000002	298249.22	324076.61	380475.04	386660.48	383135.48	512475.12
Immune disease	K11089K01488K03648	3585.25	3244.7999999999997	8360.539999999999	3221.9700000000003	4497.62	6352.780000000001	11962.5	4353.99	7630.78	4841.82	8595.84	4652.04	7197.460000000001	8380.34	10453.66	9266.49	11099	12847.5
Immune system	K01446K10380K03462K03671K04079K02406K00863K04079K04079K04079K13908	37024.509999999995	27026.75	52046.36	32329.81	28114.120000000003	29092.64	62941.09	12875.73	37942.100000000006	15954.61	45148.16	19278.21	32530.39	19101.050000000003	24600.489999999998	22618.94	20523.38	36285.09
Infectious disease: bacterial	K10954K03196K03191K14048K01428K08303K00134K08738K03221K11014K02406K04079K00134K08738K03671K03221K00844K08738K02406K03221K13735K07326K15125K11004K11003K12340K07389K03197K04077K13525K08738K00239K03596K02406K19079K03367K03739K14188K03740K14205K11041K08738K02040K04043K04077K14956K14949K13730K13732K13735	82863.97	63410.46	122055.12999999999	73782.04999999999	69121.62	68490.73	189519.15	55483.369999999995	110059.06	61947.979999999996	132589.58000000002	58244.82	100587.15	89113.74	104281.11	102461.01	123436.51	142887.77
Infectious disease: parasitic	K01476K04072K13963K08738K01354K01392K01354K14475	3930.85	4481.85	4118.469999999999	3337.85	3550.96	3345.2400000000002	4859.57	2243.49	2186.74	2141.96	2413.29	2282.96	3803.15	9410.82	7859.38	7967.98	9318.279999999999	8272.9
Infectious disease: viral	K08738K08738K08738K08738K08738K08738K08738K08738K08738K00873	5357.469999999999	4998.03	8365.019999999999	6196.86	5500.12	4634.65	14114.97	3930.96	8098.210000000001	4944.62	8755.7	3911.54	8577.7	7476.74	8789.36	8455.86	11653.63	11821.94
Lipid metabolism	K01962K02160K01961K01963K11263K02078K00645K11533K00648K00647K09458K00059K01716K02372K16363K00208K02371K10780K00209K18474K01071K03921K01897K00626K00632K01782K01692K07516K13767K00248K00249K06445K00252K01897K05939K00529K05297K00121K04072K13953K13954K00001K00128K01641K01640K01028K01029K00626K00019K00801K01442K01442K00076K15868K07007K12343K00865K00128K00002K13979K00863K05878K05879K05881K00005K00864K00631K03621K08591K00655K00901K07029K01046K01054K19002K03429K19003K13677K19005K06118K03715K07406K07407K06120K06121K00086K00057K00105K00111K00112K00113K00631K08591K00655K00980K00901K07029K01114K01058K01048K01126K00968K00993K05939K04019K03735K03736K00570K00981K01004K00998K17103K01613K00995K01095K01096K18697K06131K06132K08744K13622K00096K00803K00993K01058K18575K01114K04708K00720K01201K01190K01130K01134K01186K07406K07407K01058K00432K01058K00508K01058K00632K00507K03921K10804K10805K10806	236527.31	198275.03	318639.06	207900.59	204773.68	192486.04	430079.81	136245.64	270819.4	160129.61	301168.44	137136.64	233721.17	234936.22	271912.16000000003	280187.24	316691.49	356524.97
Membrane transport	K02048K02046K02047K02045K05772K05773K06857K15576K15577K15578K15552K10831K15553K15554K15555K15598K15599K15600K02020K02018K02017K05776K02012K02011K02010K02064K02063K02062K11069K11070K11071K11072K11073K11074K11075K11076K02002K02001K02000K05845K05846K05847K10108K10109K10110K10111K10112K15770K15771K15772K10117K10118K10119K10188K10189K10190K10232K10234K10192K10193K10194K17241K17242K17243K17318K17319K17320K10238K10200K10201K10202K17329K17330K17331K17244K17245K17246K10546K10547K10548K07323K02067K02066K07122K02065K07335K17315K17316K17317K10439K10440K10441K06726K10540K10541K10542K10543K10544K10545K10559K10560K10561K10562K17202K17203K17204K17206K17213K17214K17215K17240K05813K05814K05815K05816K02040K02037K02038K02036K02044K02042K02041K10036K10037K10038K10039K10040K10041K09997K09998K09999K10000K10001K10002K10003K10004K09972K10005K10006K10007K10008K02424K10009K10010K16957K16958K16959K16960K16961K16962K16963K10022K17062K17073K17074K17076K01999K01997K01998K01995K01996K02073K02072K02071K11959K11960K11961K11962K11963K15580K15581K15582K15583K10823K12368K12369K12370K12371K12372K16200K16201K19226K19227K19228K19229K19230K15584K15585K15586K15587K10824K13889K13890K13891K13892K13893K13894K13895K13896K11601K11602K11603K09815K09816K09817K11704K11705K11706K11604K11605K11606K11607K11707K11708K11709K11710K02009K02007K02008K02006K10094K16915K03523K16783K16784K16785K16786K16787K10555K10556K10557K10558K11051K11050K10107K09688K09689K09690K09691K09692K09693K09694K09695K09696K09697K19310K19309K09808K09810K02196K02195K02194K02193K07091K11720K06861K16905K16906K16907K16917K19084K19079K19341K19340K09811K09812K05651K14698K11085K11004K18104K18891K18892K18216K18217K18893K18887K18888K12541K16299K12292K16012K16013K16014K05685K18230K18231K19349K19350K06159K02471K08483K02784K02777K02779K02804K02791K02765K02810K02757K02753K02750K02819K02798K02800K02786K02788K02759K02760K02761K02793K02794K02795K02796K19506K19507K19508K19509K02771K02813K02814K02815K02744K02745K02746K02747K17464K17465K17466K17467K02781K02783K02773K02774K02775K02821K02822K03475K11183K02770K02769K02768K00882K02806K12340K11003K11004K03221K04056K04059K03219K04058K03222K03226K03227K03228K03229K03230K03224K03225K03223K02453K02452K02455K02456K02457K02458K02459K02460K02461K02462K02454K03072K12257K03074K03073K03075K03076K03210K03217K03070K03110K03071K03106K03116K03117K03118K11017K03194K03197K03198K03200K03204K03201K03203K03195K03199K03196K03205K11904K11903K11906K11891K11892K11907K11912	297413.02	313182.79	527014.3099999999	378917.48	319655.41	391110.8	688064.3099999999	267873.21	416281.3	307074.51	470810.39	218559.88	365989.16000000003	415979.16	453398.92	509501.44	633174.53	647337.14
Metabolism of cofactors and vitamins	K03147K00941K14153K03148K04487K03151K03150K03153K01662K03149K03146K00878K00788K00946K06928K06949K01077K00949K00939K03707K01497K14652K00082K11752K14654K02858K00794K00793K11753K01093K03788K09474K00484K00299K19285K19286K00275K00868K03473K00831K00097K03474K01733K06215K08681K00278K06989K03517K00767K00763K03783K03784K06211K01081K11751K03787K08693K18551K00952K13522K00969K04765K03426K01916K01950K03742K03743K01239K01440K08281K03462K12410K00858K00324K00325K19647K00135K08324K01652K01653K11258K00053K01687K00606K00077K01918K00867K09680K03525K01947K01922K01598K13038K04765K00954K00859K00997K06133K00826K17722K17723K01464K01579K00128K02169K00647K09458K00059K02372K00208K02170K09789K01906K00652K00833K01935K01012K03524K01947K03801K03644K16869K03800K01495K09007K01077K01113K08310K13940K01633K00950K00796K13941K00287K11754K01497K14652K01664K01665K13950K03342K02619K01737K01724K03793K10026K06920K06879K09457K06897K03639K03637K03635K03831K03638K03750K07141K03752K13818K00287K01938K01491K00600K11175K08289K01492K00602K00603K13990K00604K00605K00548K00560K03465K01433K00297K01746K01934K00121K13953K00001K11147K09516K01885K02492K01845K01698K01749K01719K01599K00228K02495K00230K00231K08973K01772K13542K13543K02496K02302K02303K02304K02259K02190K03795K03394K13540K02229K05934K02189K13541K05936K02228K05895K02188K00595K02191K03399K06042K02224K02230K09882K00798K19221K02232K02227K02225K08260K02231K02233K00768K02226K16651K04720K04032K03404K03405K10960K07215K00510K01195K03594K01075K03181K03179K03182K03186K18800K00568K03185K03183K03184K06134K02552K02361K02551K08680K02549K01911K01661K19222K02548K11782K18285K11783K18284K11784K11785K00355K03809K19267K00457	537182.8099999999	429985.3	741632.14	477258.31	461328.73	419332.01	1161487.68	288456.69	726050.03	338991.36	857546.58	359762.69	606868.35	599483.25	665664.77	717215.45	787000.23	942311.3
Metabolism of other amino acids	K01579K01580K00823K07250K15372K00128K01918K17722K17723K01464K00822K01692K01782K00248K01578K00140K01580K01594K00681K03119K03851K00259K19244K15372K15371K00260K03852K00625K13788K15024K00925K01841K09459K05306K03430K09994K00993K00968K03823K06164K06166K06165K05780K06162K06163K06167K01739K01760K14155K00548K00549K01758K01761K11717K00384K07309K07310K12527K00956K00957K00958K01008K01042K01874K05349K05350K01501K00681K01424K13051K01914K00600K01455K01425K05597K00261K01776K01924K01925K00824K17898K17899K19746K01775K01921K00824K03367K14188K00681K07232K01469K07160K06048K01919K01920K01255K07751K01256K01270K00799K00383K00031K00033K00036K00432K01581K00797K01460	154080.77	122112.77	201149.97	134751.34	136282.38	114735.31999999999	311655.05	99251.67	193447.59	113204.39	220552.54	98581.58	167395.24	173734.01	200040.18	203892.94	239372	272213.26
