Class	E1	E2	E3	E4	E5	E6	E7	N1	N2	O1	O2	S1	All
V2072-189E03	0	0	0	0	0	0	0	0	0	0	0.719	0	0.1
Deinococci	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Bdellovibrionia	0	0	0	0	0	0	0	0	0	0.719	0	0	0.1
Thermoleophilia	0	0	0.719	0	0	0	0	0	0	0	0	0	0.0
Saccharimonadia	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Subgroup 18	0	0	0	0	0	0	0	0	0	0	0	0	0.0
vadinHA49	0	0	0	0	0	0	0	0	0	0.719	0	0	0.0
Syntrophobacteria	0	0	0	0	0	0	0.719	0	0	0	0	0	0.0
Sumerlaeia	0	0	0	0	0	0	0	0	0	0	0	0	0.0
TSAC18	0	0	0	0	0	0	0	0	0	0	0	0.719	0.0
d142	0	0	0	0	0	0	0	0	0	0	0.719	0	0.0
bacteriap25	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Rhodothermia	0	0	0	0	0	0	0.719	0	0	0	0	0	0.0
Elusimicrobia	0	0	0	0	0	0	0	0	0.719	0	0	0	0.0
Desulfobaccia	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Eremiobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Entotheonellia	0	0	0	0	0	0	0	0	0	0	0	0.719	0.0
Babeliae	0	0	0	0	0	0	0	0	0	0	0	0	0.0
BD7-11	0	0	0.719	0	0	0	0	0	0	0	0	0	0.0
D8A-2	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Blastocatellia	0	0	0	0	0	0	0	0	0.719	0	0	0	0.0
MVP-15	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Latescibacteria	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Omnitrophia	0	0	0.719	0	0	0	0	0	0	0	0	0	0.0
Myxococcia	0	0	0	0.719	0	0	0	0	0	0	0	0	0.0
Holophagae	0	0	0	0	0	0	0.719	0	0	0	0	0	0.0
Gemmatimonadia	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Ktedonobacteria	0	0	0	0	0	0	0	0	0	0	0.719	0	0.0
Ignavibacteria	0	0	0	0	0	0	0	0	0	0	0	0	0.0
