OTUID	All	East	North	Outside	South
OTU_1017	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1019	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1020	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1021	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1022	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1023	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1024	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1025	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1026	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1027	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1028	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1029	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_103	0.027233	0.04668534	0.00000000	0.00000000	0.00000000
OTU_1030	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1032	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1033	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1034	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1036	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1037	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1038	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1039	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1041	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1042	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1043	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1044	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1045	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1047	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1048	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1049	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1050	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1051	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1052	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1053	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1054	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1055	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1056	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1059	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1060	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1061	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1062	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1063	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1064	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1067	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1068	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1069	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_107	0.027233	0.04668534	0.00000000	0.00000000	0.00000000
OTU_1070	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1072	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1073	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1074	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1075	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1077	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1078	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1079	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_108	0.027233	0.04668534	0.00000000	0.00000000	0.00000000
OTU_1081	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1086	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1087	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1088	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1089	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1090	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1091	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1092	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1097	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1098	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_110	0.027233	0.04668534	0.00000000	0.00000000	0.00000000
OTU_1100	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1101	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1104	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1105	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1106	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1108	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1110	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1111	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1112	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1114	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1115	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1116	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1117	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1118	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_112	0.027233	0.04668534	0.00000000	0.00000000	0.00000000
OTU_1120	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1122	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1123	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1124	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1125	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1126	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1127	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1128	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1129	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_113	0.027233	0.04668534	0.00000000	0.00000000	0.00000000
OTU_1131	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1132	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1133	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1134	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1138	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1139	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1140	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1142	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1143	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1144	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1145	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1146	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_115	0.027233	0.04668534	0.00000000	0.00000000	0.00000000
OTU_1150	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1151	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1152	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1154	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1156	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1157	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1158	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1160	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1161	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1162	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1163	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1165	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1166	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1167	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1169	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_117	0.027233	0.04668534	0.00000000	0.00000000	0.00000000
OTU_1171	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1173	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1174	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1175	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1176	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1177	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1178	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1180	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1181	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1182	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1183	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1185	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1186	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1191	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1192	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1193	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1195	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1196	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1198	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_120	0.027233	0.04668534	0.00000000	0.00000000	0.00000000
OTU_1200	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1206	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1207	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1208	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1210	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1211	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1212	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1215	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1216	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1217	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1219	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_122	0.027233	0.04668534	0.00000000	0.00000000	0.00000000
OTU_1220	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1221	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1223	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1225	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1227	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1228	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1229	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_123	0.027233	0.04668534	0.00000000	0.00000000	0.00000000
OTU_1230	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1231	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1234	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1236	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1237	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1239	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_124	0.027233	0.04668534	0.00000000	0.00000000	0.00000000
OTU_1240	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1241	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1244	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1245	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1246	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1247	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1248	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1249	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_125	0.027233	0.04668534	0.00000000	0.00000000	0.00000000
