#OTUID	HY1_1	HY1_2	HY1_3	HY2_1	HY2_2	HY2_3	HY3_1	HY3_2	HY3_3
ASV_172	0	0	0	0	0	0	42	25	80
ASV_317	0	0	0	0	2	1	41	22	74
ASV_74	0	0	0	0	0	0	45	28	65
ASV_87	0	0	0	40	44	53	0	0	0
ASV_95	0	0	0	47	42	48	0	0	0
ASV_321	0	0	0	0	1	1	37	19	78
ASV_117	0	0	0	35	51	46	0	1	1
ASV_136	0	0	0	37	49	48	0	0	0
ASV_115	0	0	0	41	51	39	0	0	0
ASV_232	28	38	48	5	1	8	0	0	0
ASV_316	0	0	0	0	0	0	41	20	63
ASV_122	0	0	0	39	37	47	0	0	0
ASV_121	31	26	44	2	7	9	0	0	0
ASV_299	0	0	0	0	0	0	34	14	71
ASV_171	0	0	0	0	0	0	43	20	53
ASV_286	0	0	0	0	0	0	42	12	57
ASV_214	0	0	0	0	0	0	37	13	59
ASV_80	1	0	1	33	29	43	0	0	2
ASV_101	0	0	0	0	0	0	37	26	44
ASV_208	0	0	0	1	2	2	28	20	53
ASV_99	28	30	46	0	1	0	0	0	0
ASV_183	25	24	40	3	4	8	0	0	0
ASV_302	0	0	0	0	0	0	31	21	51
ASV_164	0	0	3	29	35	34	0	0	1
ASV_134	0	0	0	34	38	28	0	0	0
ASV_148	0	0	0	0	0	0	36	18	46
ASV_269	1	0	0	29	28	40	0	0	0
ASV_90	1	1	0	21	43	31	0	0	0
ASV_119	0	0	0	34	30	32	0	0	0
ASV_314	0	0	0	1	0	0	24	18	53
ASV_82	0	0	0	0	0	0	34	34	28
ASV_285	0	0	0	0	0	1	26	12	56
ASV_83	31	17	39	1	4	3	0	0	0
ASV_93	0	0	0	28	37	30	0	0	0
ASV_120	31	29	33	0	0	0	0	0	0
ASV_235	22	31	39	0	1	0	0	0	0
ASV_257	0	0	0	25	34	33	0	0	0
ASV_130	0	1	2	25	28	34	0	0	0
ASV_98	0	0	0	0	0	0	30	21	39
ASV_113	24	28	36	0	0	1	0	0	0
ASV_230	27	24	36	0	0	2	0	0	0
ASV_195	0	0	0	21	43	24	0	0	0
ASV_111	0	0	0	3	2	2	28	22	30
ASV_196	1	0	0	26	32	25	0	0	0
ASV_129	0	0	0	26	26	31	0	0	0
ASV_91	0	0	0	0	0	0	24	30	27
ASV_267	0	0	0	23	32	25	0	0	0
ASV_307	0	0	0	0	0	0	30	19	31
ASV_140	17	21	33	2	3	3	0	0	0
ASV_276	1	0	0	18	26	32	0	0	0
ASV_192	0	0	0	26	18	32	0	0	0
ASV_100	24	17	19	2	2	11	0	0	0
ASV_198	0	0	1	16	24	34	0	0	0
ASV_206	0	0	0	0	0	0	22	8	45
ASV_127	19	20	24	2	4	4	0	0	0
ASV_173	22	20	29	1	0	1	0	0	0
ASV_259	0	0	0	28	21	24	0	0	0
ASV_106	20	22	27	0	1	1	0	0	0
ASV_128	23	18	28	0	1	1	0	0	0
ASV_135	1	1	0	25	22	22	0	0	0
ASV_179	19	22	29	0	0	1	0	0	0
ASV_78	25	17	17	2	6	4	0	0	0
ASV_156	17	20	32	0	0	0	0	0	0
ASV_233	17	22	29	0	1	0	0	0	0
ASV_79	0	0	0	29	23	16	0	0	0
ASV_312	0	0	0	1	0	0	29	6	31
ASV_189	5	2	2	16	21	14	2	2	2
ASV_188	8	17	25	3	6	6	0	0	0
ASV_277	0	0	0	16	24	25	0	0	0
ASV_137	14	15	23	3	3	3	0	0	0
ASV_142	0	0	1	20	19	21	0	0	0
ASV_184	17	15	11	5	6	7	0	0	0
ASV_138	22	12	26	0	0	0	0	0	0
ASV_155	15	20	19	2	3	1	0	0	0
ASV_262	0	0	0	17	21	22	0	0	0
ASV_92	0	0	0	0	0	0	21	14	24
ASV_199	0	0	0	14	22	22	0	0	0
ASV_220	23	13	22	0	0	0	0	0	0
ASV_266	0	0	0	12	23	23	0	0	0
ASV_131	0	1	0	9	23	23	1	0	0
ASV_144	0	0	0	21	14	22	0	0	0
ASV_308	0	0	0	2	0	2	22	8	23
ASV_109	15	16	23	0	1	1	0	0	0
ASV_275	0	1	0	13	16	26	0	0	0
ASV_96	0	0	0	17	19	20	0	0	0
ASV_149	0	0	0	0	0	0	18	7	30
ASV_84	0	0	0	0	0	0	23	9	22
ASV_166	0	0	0	16	15	22	0	0	0
ASV_190	0	0	0	13	19	21	0	0	0
ASV_273	0	0	0	11	20	22	0	0	0
ASV_245	8	21	22	1	0	0	0	0	0
ASV_265	0	0	0	19	21	12	0	0	0
ASV_300	0	0	0	0	0	0	13	10	29
ASV_152	14	12	19	3	0	3	0	0	0
ASV_123	0	0	0	17	18	15	0	0	0
ASV_132	18	16	16	0	0	0	0	0	0
ASV_145	0	0	0	0	0	0	19	8	22
ASV_315	0	0	0	0	0	0	15	8	26
ASV_110	0	0	0	11	17	20	0	0	0
ASV_125	0	0	0	18	14	16	0	0	0
ASV_126	0	0	0	0	0	0	18	13	17
ASV_163	0	0	0	11	24	12	0	0	0
ASV_272	0	0	0	13	18	16	0	0	0
ASV_297	0	0	0	0	0	0	15	10	22
ASV_290	0	0	0	0	0	0	13	10	22
ASV_251	13	10	20	0	1	0	0	0	0
ASV_313	0	0	0	0	0	0	16	7	21
ASV_108	14	7	16	1	1	3	0	0	0
ASV_225	14	12	16	0	0	0	0	0	0
ASV_159	0	0	1	7	22	11	0	0	0
ASV_241	4	10	26	0	0	1	0	0	0
ASV_260	2	2	2	8	14	13	0	0	0
ASV_281	0	0	0	15	9	17	0	0	0
ASV_294	0	0	0	0	0	0	16	7	18
ASV_116	0	0	0	11	15	14	0	0	0
ASV_177	12	9	17	1	0	1	0	0	0
ASV_253	0	0	0	9	13	14	0	1	3
ASV_296	0	0	0	0	0	0	13	11	15
ASV_271	0	0	0	15	12	11	0	0	0
ASV_287	0	0	0	0	0	0	15	2	20
ASV_274	0	0	0	7	13	15	0	0	0
ASV_318	0	0	0	0	0	0	12	6	17
ASV_250	11	7	15	0	0	1	0	0	0
ASV_289	0	0	0	0	0	0	11	8	14
ASV_213	0	0	0	0	0	0	9	6	17
ASV_147	0	0	0	0	0	0	10	12	9
ASV_222	6	12	11	1	0	1	0	0	0
ASV_293	0	0	0	0	0	0	10	8	13
ASV_143	0	0	0	9	16	5	0	0	0
ASV_278	0	0	0	9	11	10	0	0	0
ASV_280	0	0	1	5	11	13	0	0	0
ASV_284	0	0	0	12	10	8	0	0	0
ASV_212	0	0	0	0	0	0	9	5	15
ASV_165	0	0	0	11	8	9	0	0	0
ASV_216	5	5	18	0	0	0	0	0	0
ASV_254	0	0	0	6	8	14	0	0	0
ASV_325	0	0	0	0	0	0	9	3	16
ASV_193	0	0	0	4	11	11	0	0	1
ASV_326	0	0	0	0	0	0	8	1	18
ASV_210	0	0	0	0	0	0	6	6	14
ASV_282	0	1	0	8	7	10	0	0	0
ASV_301	0	0	0	0	0	0	9	9	8
ASV_264	0	0	0	5	10	10	0	0	0
ASV_197	0	0	0	4	8	12	0	0	0
ASV_255	0	0	0	9	9	6	0	0	0
ASV_258	0	0	0	3	14	7	0	0	0
ASV_320	0	0	0	0	0	0	7	4	13
ASV_157	0	0	0	12	6	5	0	0	0
ASV_168	0	0	0	7	11	4	1	0	0
ASV_204	0	0	0	0	0	0	6	5	12
ASV_224	6	10	6	1	0	0	0	0	0
ASV_327	0	0	0	0	0	0	7	2	14
ASV_256	0	0	0	8	9	5	0	0	0
ASV_270	0	0	0	7	9	6	0	0	0
ASV_288	0	0	0	0	0	0	3	6	13
ASV_328	0	0	0	0	0	0	9	1	12
ASV_261	0	0	0	11	4	5	0	0	0
ASV_279	0	0	1	5	8	6	0	0	0
ASV_211	0	0	0	0	0	0	0	7	11
ASV_205	0	0	0	0	0	0	6	6	4
ASV_306	0	0	0	0	0	0	4	2	10
ASV_311	0	0	0	0	0	0	5	1	9
ASV_141	0	0	0	6	5	3	0	0	0
ASV_185	3	3	7	0	0	0	0	0	0
ASV_161	0	0	1	6	2	3	0	0	0
ASV_309	0	0	0	0	0	0	1	4	6
ASV_200	0	0	0	1	3	6	0	0	0
ASV_324	0	0	0	0	0	0	4	2	4
ASV_291	0	0	0	0	0	0	6	1	2
ASV_263	0	0	0	5	2	1	0	0	0
ASV_330	0	0	0	0	0	0	0	1	3
