#OTUID	HY1_1	HY1_2	HY1_3	HY2_1	HY2_2	HY2_3	HY3_1	HY3_3
ASV_102	0	0	0	42	51	46	0	0
ASV_153	53	42	40	7	2	4	0	0
ASV_118	0	0	0	43	50	36	0	0
ASV_105	0	0	0	0	0	0	39	47
ASV_201	0	0	0	0	0	0	50	34
ASV_319	0	0	0	0	0	0	38	55
ASV_146	0	0	0	0	0	0	43	47
ASV_86	0	1	2	37	29	46	0	4
ASV_202	0	0	0	0	0	0	38	48
ASV_89	0	0	0	40	23	38	2	7
ASV_150	0	0	0	0	0	0	39	45
ASV_172	0	0	0	0	0	0	28	48
ASV_317	0	0	0	0	2	0	35	44
ASV_74	0	0	0	0	0	0	37	35
ASV_87	0	0	0	36	35	37	0	0
ASV_95	0	0	0	41	32	32	0	0
ASV_321	0	0	0	0	1	0	28	45
ASV_117	0	0	0	29	36	30	0	0
ASV_136	0	0	0	36	39	30	0	0
ASV_115	0	0	0	36	31	32	0	0
ASV_232	24	30	30	4	1	7	0	0
ASV_316	0	0	0	0	0	0	35	40
ASV_122	0	0	0	36	25	33	0	0
ASV_121	30	25	30	2	6	7	0	0
ASV_299	0	0	0	0	0	0	29	40
ASV_171	0	0	0	0	0	0	29	31
ASV_286	0	0	0	0	0	0	33	34
ASV_214	0	0	0	0	0	0	28	35
ASV_80	1	0	1	33	22	35	0	1
ASV_101	0	0	0	0	0	0	30	28
ASV_208	0	0	0	1	2	2	23	29
ASV_99	25	30	32	0	1	0	0	0
ASV_183	23	20	30	2	4	5	0	0
ASV_302	0	0	0	0	0	0	25	37
ASV_164	0	0	3	27	26	27	0	1
ASV_134	0	0	0	34	25	20	0	0
ASV_148	0	0	0	0	0	0	26	22
ASV_269	1	0	0	28	21	30	0	0
ASV_90	1	1	0	20	33	26	0	0
ASV_119	0	0	0	32	20	22	0	0
ASV_314	0	0	0	1	0	0	19	34
ASV_82	0	0	0	0	0	0	23	24
ASV_285	0	0	0	0	0	0	21	33
ASV_83	29	15	31	1	3	3	0	0
ASV_93	0	0	0	28	31	28	0	0
ASV_120	26	27	28	0	0	0	0	0
ASV_235	17	27	28	0	1	0	0	0
ASV_257	0	0	0	24	26	25	0	0
ASV_130	0	1	2	24	21	26	0	0
ASV_98	0	0	0	0	0	0	24	25
ASV_113	20	27	29	0	0	1	0	0
ASV_230	21	22	24	0	0	2	0	0
ASV_195	0	0	0	20	32	17	0	0
ASV_111	0	0	0	3	1	2	21	23
ASV_196	1	0	0	25	21	18	0	0
ASV_129	0	0	0	24	20	24	0	0
ASV_91	0	0	0	0	0	0	18	17
ASV_267	0	0	0	22	28	19	0	0
ASV_307	0	0	0	0	0	0	25	20
ASV_140	13	17	19	2	1	3	0	0
ASV_276	0	0	0	14	20	25	0	0
ASV_192	0	0	0	26	12	25	0	0
ASV_100	20	14	12	2	2	7	0	0
ASV_198	0	0	0	14	17	29	0	0
ASV_206	0	0	0	0	0	0	18	29
ASV_127	17	18	15	2	2	2	0	0
ASV_173	20	20	23	1	0	0	0	0
ASV_259	0	0	0	27	17	18	0	0
ASV_106	18	20	18	0	1	1	0	0
ASV_128	22	17	19	0	1	0	0	0
ASV_135	1	0	0	25	15	16	0	0
ASV_179	19	22	17	0	0	1	0	0
ASV_78	21	16	10	2	5	3	0	0
ASV_156	17	18	23	0	0	0	0	0
ASV_233	15	19	23	0	1	0	0	0
ASV_79	0	0	0	28	21	11	0	0
ASV_312	0	0	0	1	0	0	23	22
ASV_189	3	2	1	16	15	11	2	1
ASV_188	8	14	18	3	6	4	0	0
ASV_277	0	0	0	15	20	19	0	0
ASV_137	13	13	18	3	3	3	0	0
ASV_142	0	0	1	20	15	15	0	0
ASV_184	17	13	6	5	4	5	0	0
ASV_138	19	11	19	0	0	0	0	0
ASV_155	12	19	16	2	1	0	0	0
ASV_262	0	0	0	16	10	20	0	0
ASV_92	0	0	0	0	0	0	17	14
ASV_199	0	0	0	14	19	15	0	0
ASV_220	23	12	14	0	0	0	0	0
ASV_266	0	0	0	11	20	21	0	0
ASV_131	0	1	0	9	20	15	1	0
ASV_144	0	0	0	20	10	14	0	0
ASV_308	0	0	0	2	0	0	19	12
ASV_109	13	15	18	0	0	0	0	0
ASV_275	0	1	0	12	14	17	0	0
ASV_96	0	0	0	17	15	15	0	0
ASV_149	0	0	0	0	0	0	13	13
ASV_84	0	0	0	0	0	0	21	15
ASV_166	0	0	0	16	11	17	0	0
ASV_190	0	0	0	12	13	17	0	0
ASV_273	0	0	0	11	16	15	0	0
ASV_245	8	19	17	1	0	0	0	0
ASV_265	0	0	0	19	14	10	0	0
ASV_300	0	0	0	0	0	0	8	14
ASV_152	12	12	15	3	0	3	0	0
ASV_123	0	0	0	17	11	11	0	0
ASV_132	18	14	10	0	0	0	0	0
ASV_145	0	0	0	0	0	0	15	20
ASV_315	0	0	0	0	0	0	11	15
ASV_110	0	0	0	11	13	18	0	0
ASV_125	0	0	0	17	11	12	0	0
ASV_126	0	0	0	0	0	0	12	10
ASV_163	0	0	0	10	18	9	0	0
ASV_272	0	0	0	12	13	11	0	0
ASV_297	0	0	0	0	0	0	10	12
ASV_290	0	0	0	0	0	0	9	13
ASV_251	10	7	14	0	1	0	0	0
ASV_313	0	0	0	0	0	0	14	11
ASV_108	14	7	8	1	1	2	0	0
ASV_225	13	9	12	0	0	0	0	0
ASV_159	0	0	1	7	13	7	0	0
ASV_241	4	10	18	0	0	0	0	0
ASV_260	2	2	2	8	10	9	0	0
ASV_281	0	0	0	15	6	11	0	0
ASV_294	0	0	0	0	0	0	12	10
ASV_116	0	0	0	10	11	11	0	0
ASV_177	10	7	12	1	0	0	0	0
ASV_253	0	0	0	8	10	9	0	0
ASV_296	0	0	0	0	0	0	13	12
ASV_271	0	0	0	15	8	8	0	0
ASV_287	0	0	0	0	0	0	11	14
ASV_274	0	0	0	5	10	12	0	0
ASV_318	0	0	0	0	0	0	10	12
ASV_250	10	6	15	0	0	1	0	0
ASV_289	0	0	0	0	0	0	9	8
ASV_213	0	0	0	0	0	0	7	11
ASV_147	0	0	0	0	0	0	8	5
ASV_222	5	12	7	1	0	0	0	0
ASV_293	0	0	0	0	0	0	8	8
ASV_143	0	0	0	9	11	4	0	0
ASV_278	0	0	0	9	10	8	0	0
ASV_280	0	0	0	3	9	7	0	0
ASV_284	0	0	0	10	4	7	0	0
ASV_212	0	0	0	0	0	0	7	9
ASV_165	0	0	0	10	6	7	0	0
ASV_216	5	5	14	0	0	0	0	0
ASV_254	0	0	0	5	6	9	0	0
ASV_325	0	0	0	0	0	0	7	10
ASV_193	0	0	0	4	7	10	0	1
ASV_326	0	0	0	0	0	0	7	12
ASV_210	0	0	0	0	0	0	6	10
ASV_282	0	1	0	8	5	6	0	0
ASV_301	0	0	0	0	0	0	8	1
ASV_264	0	0	0	4	9	7	0	0
ASV_197	0	0	0	4	6	7	0	0
ASV_255	0	0	0	9	5	2	0	0
ASV_258	0	0	0	3	11	6	0	0
ASV_320	0	0	0	0	0	0	6	10
ASV_157	0	0	0	12	4	4	0	0
ASV_168	0	0	0	7	6	4	1	0
ASV_204	0	0	0	0	0	0	6	10
ASV_224	6	10	4	1	0	0	0	0
ASV_327	0	0	0	0	0	0	5	10
ASV_256	0	0	0	7	8	1	0	0
ASV_270	0	0	0	7	8	5	0	0
ASV_288	0	0	0	0	0	0	3	7
ASV_328	0	0	0	0	0	0	7	9
ASV_261	0	0	0	10	3	3	0	0
ASV_279	0	0	1	5	5	5	0	0
ASV_211	0	0	0	0	0	0	0	6
ASV_205	0	0	0	0	0	0	5	3
ASV_306	0	0	0	0	0	0	3	6
ASV_311	0	0	0	0	0	0	3	4
ASV_141	0	0	0	6	2	3	0	0
ASV_185	3	3	3	0	0	0	0	0
ASV_161	0	0	0	6	1	3	0	0
ASV_309	0	0	0	0	0	0	1	4
ASV_200	0	0	0	1	3	5	0	0
ASV_324	0	0	0	0	0	0	2	3
ASV_291	0	0	0	0	0	0	4	2
ASV_263	0	0	0	4	2	1	0	0
ASV_330	0	0	0	0	0	0	0	2
