OTUID	All	HY1	HY2	HY3
ASV_128	0.087846	0.256925109	0.006612837	0.000000000
ASV_135	0.086861	0.008113016	0.252470905	0.000000000
ASV_179	0.08788	0.260344816	0.003296088	0.000000000
ASV_78	0.088973	0.22527401	0.04164393	0.00000000
ASV_156	0.084613	0.2538388	0.0000000	0.0000000
ASV_233	0.085198	0.25227672	0.00331675	0.00000000
ASV_79	0.084376	0.0000000	0.2531293	0.0000000
ASV_312	0.075541	0.00000000	0.00427954	0.22234423
ASV_189	0.08058	0.03480822	0.18426960	0.02266183
ASV_188	0.078377	0.18261537	0.05251564	0.00000000
ASV_277	0.076826	0.0000000	0.2304768	0.0000000
ASV_137	0.074953	0.19218167	0.03267713	0.00000000
ASV_142	0.073689	0.003240021	0.217826871	0.000000000
ASV_184	0.076591	0.16540357	0.06437081	0.00000000
ASV_138	0.073979	0.2219372	0.0000000	0.0000000
ASV_155	0.075152	0.20365048	0.02180542	0.00000000
ASV_262	0.071639	0.0000000	0.2149178	0.0000000
ASV_92	0.070829	0.0000000	0.0000000	0.2124885
ASV_199	0.068465	0.000000	0.205396	0.000000
ASV_220	0.072363	0.2170901	0.0000000	0.0000000
ASV_266	0.067817	0.0000000	0.2034497	0.0000000
ASV_131	0.066092	0.004078969	0.190611110	0.003585386
ASV_144	0.069606	0.0000000	0.2088188	0.0000000
ASV_308	0.066377	0.00000000	0.01515125	0.18397964
ASV_109	0.068969	0.200294689	0.006612837	0.000000000
ASV_275	0.06616	0.004078969	0.194400283	0.000000000
ASV_96	0.067231	0.0000000	0.2016922	0.0000000
ASV_149	0.061633	0.0000000	0.0000000	0.1848989
ASV_84	0.063186	0.000000	0.000000	0.189559
ASV_166	0.063579	0.0000000	0.1907378	0.0000000
ASV_190	0.062623	0.0000000	0.1878701	0.0000000
ASV_273	0.061975	0.0000000	0.1859239	0.0000000
ASV_245	0.064497	0.18921118	0.00427954	0.00000000
ASV_265	0.063505	0.000000	0.190516	0.000000
ASV_300	0.059568	0.0000000	0.0000000	0.1787054
ASV_152	0.063237	0.16698468	0.02272688	0.00000000
ASV_123	0.060632	0.000000	0.181895	0.000000
ASV_132	0.063239	0.1897167	0.0000000	0.0000000
ASV_145	0.056783	0.0000000	0.0000000	0.1703477
ASV_315	0.055836	0.0000000	0.0000000	0.1675093
ASV_110	0.05646	0.0000000	0.1693814	0.0000000
ASV_125	0.058735	0.0000000	0.1762036	0.0000000
ASV_126	0.058911	0.000000	0.000000	0.176732
ASV_163	0.05541	0.00000	0.16623	0.00000
ASV_272	0.056024	0.0000000	0.1680729	0.0000000
ASV_297	0.055249	0.0000000	0.0000000	0.1657456
ASV_290	0.052858	0.0000000	0.0000000	0.1585748
ASV_251	0.053783	0.15803272	0.00331675	0.00000000
ASV_313	0.050615	0.000000	0.000000	0.151846
ASV_108	0.051451	0.13686978	0.01748455	0.00000000
ASV_225	0.052422	0.1572646	0.0000000	0.0000000
ASV_159	0.047474	0.003240021	0.139182231	0.000000000
ASV_241	0.048154	0.141166417	0.003296088	0.000000000
ASV_260	0.048742	0.02270607	0.12351995	0.00000000
ASV_281	0.050026	0.0000000	0.1500773	0.0000000
ASV_294	0.04774	0.0000000	0.0000000	0.1432186
ASV_116	0.047657	0.0000000	0.1429714	0.0000000
ASV_177	0.049258	0.140199640	0.007575627	0.000000000
ASV_253	0.047092	0.00000000	0.12777883	0.01349712
ASV_296	0.047771	0.000000	0.000000	0.143314
ASV_271	0.04675	0.0000000	0.1402511	0.0000000
ASV_287	0.040345	0.0000000	0.0000000	0.1210361
ASV_274	0.040839	0.0000000	0.1225158	0.0000000
ASV_318	0.040377	0.0000000	0.0000000	0.1211315
ASV_250	0.041608	0.121527614	0.003296088	0.000000000
ASV_289	0.039553	0.0000000	0.0000000	0.1186582
ASV_213	0.036792	0.0000000	0.0000000	0.1103754
ASV_147	0.040058	0.0000000	0.0000000	0.1201728
ASV_222	0.038789	0.108792138	0.007575627	0.000000000
ASV_293	0.037399	0.0000000	0.0000000	0.1121971
ASV_143	0.036021	0.0000000	0.1080643	0.0000000
ASV_278	0.035987	0.000000	0.107961	0.000000
ASV_280	0.034657	0.003240021	0.100731081	0.000000000
ASV_284	0.036964	0.0000000	0.1108907	0.0000000
ASV_212	0.033251	0.00000000	0.00000000	0.09975406
ASV_165	0.034425	0.0000000	0.1032737	0.0000000
ASV_216	0.032962	0.09888545	0.00000000	0.00000000
ASV_254	0.032785	0.00000000	0.09835646	0.00000000
ASV_325	0.030963	0.00000000	0.00000000	0.09289039
ASV_193	0.030912	0.000000000	0.089859367	0.002875794
ASV_326	0.028439	0.00000000	0.00000000	0.08531712
ASV_210	0.030331	0.00000000	0.00000000	0.09099185
ASV_282	0.031498	0.004078969	0.090414439	0.000000000
ASV_301	0.033034	0.00000000	0.00000000	0.09910244
ASV_264	0.029175	0.00000000	0.08752607	0.00000000
ASV_197	0.027735	0.00000000	0.08320521	0.00000000
ASV_255	0.029381	0.00000000	0.08814313	0.00000000
ASV_258	0.027449	0.00000000	0.08234573	0.00000000
ASV_320	0.027321	0.00000000	0.00000000	0.08196197
ASV_157	0.029245	0.00000000	0.08773541	0.00000000
ASV_168	0.027737	0.000000000	0.079625372	0.003585386
ASV_204	0.02679	0.00000000	0.00000000	0.08037052
ASV_224	0.029571	0.08443410	0.00427954	0.00000000
ASV_327	0.025033	0.00000000	0.00000000	0.07509829
ASV_256	0.026856	0.0000000	0.0805675	0.0000000
ASV_270	0.026528	0.00000000	0.07958405	0.00000000
ASV_288	0.025787	0.00000000	0.00000000	0.07735989
ASV_328	0.023883	0.00000000	0.00000000	0.07164774
ASV_261	0.025607	0.00000000	0.07682237	0.00000000
ASV_279	0.023649	0.003240021	0.067708220	0.000000000
ASV_211	0.021907	0.00000000	0.00000000	0.06572188
ASV_205	0.020745	0.0000000	0.0000000	0.0622339
ASV_306	0.017613	0.00000000	0.00000000	0.05283896
ASV_311	0.016226	0.00000000	0.00000000	0.04867881
ASV_141	0.017383	0.00000000	0.05214925	0.00000000
ASV_185	0.015673	0.04701919	0.00000000	0.00000000
ASV_161	0.015146	0.003240021	0.042198999	0.000000000
ASV_309	0.01344	0.00000000	0.00000000	0.04031909
ASV_200	0.011335	0.00000000	0.03400631	0.00000000
ASV_324	0.011861	0.00000000	0.00000000	0.03558419
ASV_291	0.010711	0.00000000	0.00000000	0.03213364
ASV_263	0.010442	0.00000000	0.03132728	0.00000000
ASV_330	0.004499	0.00000000	0.00000000	0.01349712
