Order	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
Bacteria|Proteobacteria|Deltaproteobacteria|Unassigned	66	70	38	44	35	80	67	44	40	56	58	73	42	45	74	31	43	85
Bacteria|Proteobacteria|Gammaproteobacteria|Acidiferrobacterales	2	2	1	0	0	0	3	6	1	4	4	2	0	1	5	7	0	2
Bacteria|Proteobacteria|Gammaproteobacteria|Cellvibrionales	13	3	7	6	5	3	12	30	69	42	5	4	34	10	8	5	4	10
Bacteria|Proteobacteria|Gammaproteobacteria|Chromatiales	16	10	23	20	15	10	11	17	13	10	11	21	11	12	11	12	13	25
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales	0	0	1	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Gammaproteobacteria|Gammaproteobacteria_incertae_sedis	149	135	145	115	146	125	231	141	138	153	184	199	139	156	234	175	168	230
Bacteria|Proteobacteria|Gammaproteobacteria|Nevskiales	392	394	319	316	164	327	539	350	412	331	462	465	329	405	495	484	377	536
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales	46	33	36	42	186	46	98	245	57	256	150	225	37	37	64	44	126	77
Bacteria|Proteobacteria|Gammaproteobacteria|Unassigned	15	15	15	20	29	15	22	14	15	22	19	11	29	26	17	15	23	21
Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonadales	224	183	289	327	347	366	179	181	231	202	358	255	201	253	261	294	266	314
Bacteria|Proteobacteria|Oligoflexia|Bacteriovoracales	9	16	38	22	73	28	18	21	15	36	26	8	28	71	16	21	37	11
Bacteria|Proteobacteria|Unassigned|Unassigned	40	50	10	27	40	50	43	31	29	25	18	26	81	29	32	22	42	41
Bacteria|Spirochaetes|Spirochaetia|Spirochaetales	7	3	12	13	16	10	12	13	14	23	18	10	11	21	15	19	7	24
Bacteria|Unassigned|Unassigned|Unassigned	50	76	68	62	65	59	58	59	62	41	48	51	57	62	64	53	73	50
Bacteria|Verrucomicrobia|Opitutae|Opitutales	1	1	2	2	3	3	3	3	11	9	17	24	15	10	16	9	7	6
Bacteria|Verrucomicrobia|Spartobacteria|Unassigned	3	1	3	0	2	2	13	3	7	1	5	8	4	2	3	8	2	3
Bacteria|Verrucomicrobia|Subdivision3|Unassigned	7	3	5	1	2	5	4	4	7	6	8	4	3	2	8	4	1	4
Bacteria|Verrucomicrobia|Verrucomicrobiae|Verrucomicrobiales	0	0	3	0	1	1	2	2	7	1	8	7	3	6	1	3	3	1
