Family	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6	All
Rhodobiaceae	0.178	0.141	0.122	0.163	0.119	0.141	0.225	0.166	0.0906	0.116	0.169	0.281	0.141	0.103	0.147	0.106	0.112	0.128	0.3
Acidimicrobiaceae	0.131	0.15	0.0844	0.116	0.0906	0.131	0.256	0.119	0.131	0.144	0.169	0.244	0.109	0.119	0.125	0.106	0.0906	0.134	0.3
Sphingobacteriaceae	0.0906	0.0656	0.0719	0.128	0.147	0.0531	0.106	0.0406	0.0938	0.119	0.106	0.0969	0.122	0.228	0.0844	0.209	0.103	0.131	0.3
Herpetosiphonaceae	0.378	0.428	0.178	0.413	0.525	0.203	0.281	1.1	0.128	0.556	0.953	0.631	2.5	0.191	0.381	0.422	1.23	0.822	0.3
Promicromonosporaceae	0.253	0.344	0.1	0.241	0.1	0.419	0.206	0.191	0.156	0.197	0.481	0.353	0.231	0.256	0.278	0.197	0.0906	0.228	0.3
Rhizobiales_incertae_sedis	0.075	0.05	0.0344	0.0594	0.0844	0.0687	0.075	0.075	0.0594	0.0469	0.0813	0.075	0.0313	0.00625	0.0781	0.0844	0.025	0.0719	0.3
Opitutaceae	0.0125	0.0219	0.0281	0.0187	0.025	0.0375	0.103	0.0719	0.103	0.0781	0.153	0.225	0.109	0.0687	0.169	0.0906	0.0656	0.0562	0.3
Nitrospiraceae	0.0906	0.0844	0.0375	0.05	0.0375	0.0719	0.128	0.0594	0.0969	0.0781	0.106	0.103	0.0719	0.05	0.0781	0.294	0.0781	0.103	0.3
Rhodobacteraceae	0.0781	0.0438	0.0406	0.0594	0.0187	0.0594	0.0656	0.0687	0.0625	0.05	0.0625	0.0781	0.0406	0.0219	0.0406	0.0375	0.0594	0.0344	0.2
Geobacteraceae	0.075	0.0438	0.0469	0.075	0.0156	0.05	0.137	0.0938	0.0969	0.0656	0.125	0.0906	0.075	0.0969	0.0844	0.05	0.0531	0.0969	0.2
Cellulomonadaceae	0.0781	0.0687	0.0125	0.0187	0.00313	0.0375	0.163	0.125	0.0906	0.0844	0.122	0.112	0.188	0.0125	0.122	0.025	0.0656	0.125	0.2
Oscillochloridaceae	0.1	0.147	0.0344	0.0844	0.0562	0.0594	0.0531	0.0594	0.0781	0.0625	0.05	0.0531	0.116	0.0594	0.0875	0.0656	0.0438	0.109	0.2
Kineosporiaceae	0.438	0.856	0.363	0.656	0.131	0.25	0.719	0.6	0.513	0.75	0.606	0.569	1.07	1.07	0.731	0.688	0.909	0.525	0.2
Iamiaceae	0.0438	0.125	0.156	0.0562	0.0313	0.0656	0.109	0.175	0.0969	0.15	0.0938	0.116	0.141	0.1	0.147	0.1	0.0938	0.109	0.2
Enterobacteriaceae	0	0	0.00625	0.00937	0	0	0.691	0	0	0.109	0	0.134	0	0.00313	0	0	0	0.00625	0.2
Sandaracinaceae	0.194	0.166	0.237	0.275	0.269	0.141	0.119	0.128	0.134	0.156	0.197	0.15	0.209	0.203	0.206	0.197	0.188	0.244	0.2
Rubrobacteraceae	0.0313	0.109	0.0375	0.0469	0.0187	0.05	0.0813	0.0781	0.0906	0.05	0.0438	0.116	0.0687	0.0281	0.0562	0.0469	0.0969	0.0406	0.2
Acidimicrobineae_incertae_sedis	0.025	0.0281	0.0156	0.00937	0.0125	0.0344	0.05	0.025	0.0313	0.0219	0.0313	0.0531	0.0344	0.025	0.025	0.0187	0.0344	0.025	0.1
Planococcaceae	0.0375	0.0344	0.0313	0.0313	0.025	0.0125	0.0594	0.0187	0.025	0.0406	0.0406	0.219	0.00625	0.0187	0.025	0.0406	0.00937	0.0375	0.1
Peptostreptococcaceae	0.025	0.0375	0.075	0.00625	0.0156	0.0125	0.0375	0.0187	0.0156	0.025	0.025	0.0656	0.0219	0.0281	0.025	0.025	0.0219	0.0187	0.1
Alicyclobacillaceae	0.0281	0.00625	0.00313	0.00625	0.00313	0.0313	0.0438	0.025	0.00625	0.0187	0.287	0.0281	0.00625	0.0125	0.00937	0.0719	0	0.00625	0.1
Bacillaceae_2	0.0187	0.00937	0.00625	0.0687	0.0156	0.00625	0.191	0.0187	0.0594	0.025	0.0219	0.0344	0.0125	0	0.0125	0.0125	0	0.0313	0.1
Verrucomicrobiaceae	0.00313	0.0187	0.0406	0.00313	0.0156	0.0187	0.0531	0.0719	0.0562	0.0281	0.0781	0.106	0.05	0.0594	0.0406	0.0375	0.0375	0.0125	0.1
Parachlamydiaceae	0.0219	0.0125	0.0187	0.00937	0	0.00625	0.0281	0.0281	0.00937	0.0125	0.00937	0.0187	0.0187	0.0187	0.0156	0.00937	0.00313	0.0281	0.1
Myxococcaceae	0.05	0.0781	0.0125	0.0125	0.0313	0.0562	0.0344	0.0469	0.0531	0.0187	0.025	0.0594	0.0187	0.0156	0.0531	0.0125	0.0187	0.0219	0.1
Alcaligenaceae	0.0406	0	0.0156	0.00313	0.0187	0.00937	0.075	0.122	0.00625	0.269	0.0219	0.147	0.00625	0.00937	0.00625	0.0219	0	0.025	0.1
Nocardiaceae	0.103	0.116	0.253	0.00937	0.0375	0.0625	0.0406	0.15	0.025	0.0906	0.0594	0.0719	0.172	0.0281	0.141	0.112	0.0344	0.0875	0.1
Haliangiaceae	0.0219	0.0219	0.00937	0.00313	0.00937	0.00313	0.0875	0.0562	0.0469	0.0375	0.0656	0.0281	0.05	0.0375	0.0313	0.025	0.0125	0.0281	0.1
Clostridiaceae_1	0.00313	0.438	0.00313	0.00625	0	0	0.0594	0.00313	0.15	0.00625	0.0156	0.0156	0.00313	0.00313	0.00937	0.00313	0.00313	0.0844	0.1
Chloroflexaceae	0.0969	0.153	0.0531	0.109	0.172	0.0781	0.103	0.156	0.116	0.203	0.116	0.122	0.203	0.109	0.163	0.128	0.109	0.153	0.1
Ignavibacteriaceae	0.00937	0.0219	0	0.0125	0	0.0406	0.00313	0.00937	0.00625	0.0938	0.00625	0.0125	0.00313	0	0.0219	0.00625	0.00625	0.025	0.1
Thermoactinomycetaceae_2	0.05	0.0781	0.0344	0.0687	0.00937	0.0125	0.0219	0.128	0.0781	0.0313	0.0562	0.0813	0.0187	0	0.0469	0.0406	0.0313	0.0562	0.1
Rhodocyclaceae	0.00313	0	0.00625	0.00625	0.00313	0.0281	0.00937	0.00625	0.00313	0.0125	0.00313	0	0.00937	0.0125	0.00313	0.0156	0.0125	0.0219	0.1
Lachnospiraceae	0.00313	0.119	0	0	0	0.00313	0.0187	0	0.00625	0.00625	0.00313	0.00625	0	0	0.00625	0.00313	0	0.0969	0.1
Xanthobacteraceae	0.0469	0.075	0.0156	0.05	0.0313	0.0594	0.0719	0.0438	0.0562	0.0281	0.0406	0.0656	0.025	0.0344	0.0219	0.0187	0.0219	0.0344	0.1
Glycomycetaceae	0.0656	0.131	0.05	0.025	0.0156	0.0906	0.0344	0.0187	0.0813	0.0344	0.0125	0.0406	0.0375	0.0375	0.0375	0.112	0.0844	0.0281	0.1
Sporichthyaceae	0.00937	0.025	0.00937	0.0281	0.00625	0.00313	0.0125	0.0187	0.00625	0.0219	0.0187	0.0156	0.0125	0.00625	0.0125	0.00313	0.0156	0.0187	0.0
Cryomorphaceae	0.0438	0.0313	0.05	0.0187	0.0156	0.00937	0.0875	0.0625	0.112	0.0844	0.0531	0.0875	0.075	0.172	0.0969	0.125	0.122	0.0906	0.0
Spirochaetaceae	0.0156	0.0125	0.0125	0.00937	0.00625	0	0.0187	0.0344	0.0344	0.0219	0.0219	0.0313	0.00937	0.0531	0.0375	0.025	0.00313	0.0313	0.0
Gracilibacteraceae	0.0219	0.0125	0	0.0187	0	0.00313	0.00625	0.00937	0.00313	0.00313	0.00313	0.0219	0.00937	0	0	0.00313	0	0	0.0
Cytophagaceae	0.00313	0	0	0	0	0	0	0.00625	0	0	0.0125	0	0	0	0.0187	0	0.0125	0	0.0
Thermoactinomycetaceae_1	0	0.0219	0	0.00625	0	0.00313	0	0.00313	0	0	0	0.00625	0	0.0125	0.00313	0.0875	0	0	0.0
Paenibacillaceae_2	0.0125	0.0281	0.0344	0.0125	0.00313	0.0375	0.0156	0.0656	0.00625	0.00937	0.00937	0.0156	0.00625	0	0.0125	0.00625	0.00625	0.0156	0.0
Cryptosporangiaceae	0.00625	0	0.00313	0	0	0.05	0.0125	0.0125	0.00937	0.00625	0.00625	0.0281	0.00313	0	0.0125	0.00937	0.0344	0.00313	0.0
Erysipelotrichaceae	0.00313	0.0125	0.0125	0.00313	0	0.00313	0.0156	0.00937	0.0125	0.00625	0.0125	0.0313	0.0125	0.00625	0.0156	0.00313	0.00313	0.00625	0.0
Armatimonadaceae	0	0.00313	0.00313	0	0.00625	0	0.0125	0.00937	0.00937	0.00937	0.00313	0.00625	0.0156	0.00313	0	0	0.00625	0.00937	0.0
Nitrososphaeraceae	0.00313	0.00937	0	0	0	0	0.00937	0.00937	0.00313	0	0.00313	0.0187	0.00937	0	0.00313	0.00937	0.00313	0.00937	0.0
Nitrosomonadaceae	0.0156	0.00625	0	0.0156	0	0.00313	0.00937	0.00313	0.00313	0.00625	0.00313	0.0281	0.0125	0.00625	0.00937	0.00625	0.00313	0.00625	0.0
Oligoflexaceae	0.00625	0.00625	0	0	0	0	0.0219	0.0281	0.00313	0	0.0156	0.0156	0.00937	0.00937	0.00313	0.00937	0.00937	0	0.0
Propionibacteriaceae	0.0344	0.00937	0	0.0125	0.00313	0.0125	0.0375	0.0125	0.00625	0.0156	0.00313	0.0313	0.0125	0.00625	0.0125	0.0156	0.00937	0.0187	0.0
Prolixibacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0469	0	0	0	0.0
Caldilineaceae	0.00313	0.0219	0.00313	0	0	0.0125	0.0187	0.0469	0.0219	0.00313	0.025	0.0187	0.0125	0.0156	0.0313	0.0125	0.00625	0.00625	0.0
Ruminococcaceae	0.00937	0	0	0.00313	0	0	0.00937	0.00937	0.0187	0	0.00937	0.0125	0.00313	0.00313	0.00313	0	0.00313	0.00625	0.0
Ectothiorhodospiraceae	0	0.00625	0	0	0	0	0.0125	0	0.00313	0.00625	0	0	0.00313	0	0.00625	0	0	0.00937	0.0
Brucellaceae	0.00313	0	0.0344	0	0.0125	0.0313	0.00313	0.00313	0	0.00625	0.00625	0	0.00313	0.0156	0	0.0125	0.0125	0.00313	0.0
Chlamydiaceae	0.0125	0.00625	0	0	0.00625	0.0281	0.0313	0.025	0.0344	0.05	0.00937	0.00937	0	0.0125	0.106	0.0125	0	0.05	0.0
Flammeovirgaceae	0.0125	0	0	0.00313	0	0	0.0281	0.0344	0.0125	0.0313	0.0219	0.00937	0.0125	0.0281	0.0219	0.0219	0.00937	0.0156	0.0
Beijerinckiaceae	0.00937	0.025	0.0813	0.0281	0.05	0.00937	0.0125	0.0219	0.0125	0.0313	0.025	0.00313	0.0281	0.0219	0.00937	0.0156	0.0187	0.025	0.0
