Order	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6	All
Chlamydiales	0.0375	0.0187	0.0469	0.0187	0.00937	0.0406	0.0687	0.0594	0.0687	0.0906	0.025	0.0438	0.0313	0.0375	0.125	0.0438	0.00625	0.0875	0.2
Rubrobacterales	0.0313	0.109	0.0375	0.0469	0.0187	0.05	0.0813	0.0781	0.0906	0.05	0.0438	0.116	0.0687	0.0281	0.0562	0.0469	0.0969	0.0406	0.2
Enterobacteriales	0	0	0.00625	0.00937	0	0	0.691	0	0	0.109	0	0.134	0	0.00313	0	0	0	0.00625	0.2
Alphaproteobacteria_incertae_sedis	0.0125	0.0187	0.0469	0.0187	0.00313	0.0281	0.0438	0.00937	0.0125	0.0156	0.00937	0.0187	0.0125	0	0.0344	0.0313	0.00313	0.00937	0.1
Verrucomicrobiales	0.00313	0.0187	0.0406	0.00313	0.0156	0.0187	0.0531	0.0719	0.0562	0.0281	0.0781	0.106	0.05	0.0594	0.0406	0.0375	0.0375	0.0125	0.1
Rhodocyclales	0.00313	0	0.00625	0.00625	0.00313	0.0281	0.00937	0.00625	0.00313	0.0125	0.00313	0	0.00937	0.0125	0.00313	0.0156	0.0125	0.0219	0.1
Ignavibacteriales	0.00937	0.0219	0	0.0125	0	0.0406	0.00313	0.00937	0.00625	0.0938	0.00625	0.0125	0.00313	0	0.0219	0.00625	0.00625	0.025	0.1
Caldilineales	0.00313	0.0219	0.00313	0	0	0.0125	0.0187	0.0469	0.0219	0.00313	0.025	0.0187	0.0125	0.0156	0.0313	0.0125	0.00625	0.00625	0.0
Chromatiales	0	0.00625	0	0	0	0	0.0125	0	0.00313	0.00625	0	0	0.00313	0	0.00625	0	0	0.00937	0.0
Bacteroidales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0469	0	0	0	0.0
Armatimonadales	0	0.00313	0.00313	0	0.00625	0	0.0125	0.00937	0.00937	0.00937	0.00313	0.00625	0.0156	0.00313	0	0	0.00625	0.00937	0.0
Erysipelotrichales	0.00313	0.0125	0.0125	0.00313	0	0.00313	0.0156	0.00937	0.0125	0.00625	0.0125	0.0313	0.0125	0.00625	0.0156	0.00313	0.00313	0.00625	0.0
Oceanospirillales	0.00937	0.00313	0.0156	0.00313	0.0125	0.0531	0.0125	0.0125	0	0	0.00313	0.00937	0	0	0.0125	0.00937	0	0.00625	0.0
Oligoflexales	0.00625	0.00625	0	0	0	0	0.0219	0.0281	0.00313	0	0.0156	0.0156	0.00937	0.00937	0.00313	0.00937	0.00937	0	0.0
Nitrosomonadales	0.0156	0.00625	0	0.0156	0	0.00313	0.00937	0.00313	0.00313	0.00625	0.00313	0.0281	0.0125	0.00625	0.00937	0.00625	0.00313	0.00625	0.0
Nitrososphaerales	0.00313	0.00937	0	0	0	0	0.00937	0.00937	0.00313	0	0.00313	0.0187	0.00937	0	0.00313	0.00937	0.00313	0.00937	0.0
