Genus	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6	All
Ilumatobacter	0.131	0.15	0.0844	0.116	0.0906	0.131	0.256	0.119	0.131	0.144	0.169	0.244	0.109	0.119	0.125	0.106	0.0906	0.134	0.3
Altererythrobacter	0.05	0.0687	0.1	0.0938	0.119	0.0813	0.0469	0.0719	0.0438	0.0438	0.0906	0.0969	0.0344	0.0438	0.075	0.0656	0.0875	0.0938	0.3
Nitrospira	0.0906	0.0844	0.0375	0.05	0.0375	0.0719	0.128	0.0594	0.0969	0.0781	0.106	0.103	0.0719	0.05	0.0781	0.294	0.0781	0.103	0.3
Nannocystis	0.0594	0.0375	0.025	0.0187	0.0375	0.0375	0.0687	0.0531	0.0687	0.0594	0.0406	0.0719	0.0844	0.0438	0.0781	0.0313	0.0813	0.0813	0.3
Marmoricola	0.0625	0.0875	0.106	0.0656	0.0594	0.0656	0.0313	0.122	0.0219	0.0594	0.0625	0.0469	0.0469	0.0219	0.0844	0.0969	0.0562	0.0531	0.3
Ensifer	0.803	0.497	1.13	0.997	1.4	0.872	0.728	0.838	0.797	0.916	1.08	1.22	0.431	0.734	0.613	0.825	0.994	0.741	0.3
Opitutus	0.0125	0.0219	0.0281	0.0187	0.025	0.0375	0.103	0.0719	0.103	0.0781	0.153	0.225	0.109	0.0687	0.169	0.0906	0.0656	0.0562	0.3
Brevibacillus	0.0219	0.00625	0.544	0.0125	0.00313	0.00313	0.0187	0.025	0.0125	0.00313	0.0125	0.0219	0.00313	0.00313	0.0156	0.00625	0.00625	0.00313	0.3
Gp6	0.0469	0.0656	0.0219	0.0125	0.00937	0.0375	0.294	0.15	0.119	0.0531	0.181	0.388	0.188	0.0594	0.178	0.1	0.0531	0.05	0.2
Geobacter	0.075	0.0438	0.0469	0.075	0.0156	0.05	0.137	0.0938	0.0969	0.0656	0.125	0.0906	0.075	0.0969	0.0844	0.05	0.0531	0.0969	0.2
Saccharibacteria_genera_incertae_sedis	0.0406	0.0469	0.0344	0.0125	0.109	0.0125	0.0281	0.1	0.025	0.0375	0.0469	0.0219	0.0187	0.00313	0.0625	0.0156	0.0125	0.0531	0.2
Cellulomonas	0.0781	0.0687	0.0125	0.0187	0.00313	0.0375	0.163	0.125	0.0906	0.0844	0.122	0.112	0.188	0.0125	0.122	0.025	0.0656	0.125	0.2
Oscillochloris	0.1	0.147	0.0344	0.0844	0.0562	0.0594	0.0531	0.0594	0.0781	0.0625	0.05	0.0531	0.116	0.0594	0.0875	0.0656	0.0438	0.109	0.2
Caulobacter	0.216	0.116	0.172	0.175	0.112	0.3	0.153	0.263	0.159	0.141	0.338	0.2	0.147	0.122	0.1	0.169	0.181	0.184	0.2
Lechevalieria	0.0562	0.228	0.206	0.0281	0.0219	0.0344	0.0219	0.0313	0.0313	0.0344	0.0469	0.0469	0.0438	0.0281	0.153	0.0562	0.0375	0.0531	0.2
Turneriella	0.0469	0.0313	0.0938	0.0719	0.147	0.0625	0.106	0.075	0.112	0.178	0.134	0.0938	0.0969	0.15	0.15	0.137	0.0594	0.147	0.2
Nonomuraea	0.0594	0.075	0	0.0781	0.00937	0.0594	0.144	0.0844	0.0562	0.0406	0.05	0.05	0.0938	0.0375	0.075	0.0187	0.281	0.112	0.2
Cupriavidus	0.0125	0.00625	0.00937	0.15	0.0219	0.156	0.0687	0.0562	0.0281	0.0469	0.0469	0.0687	0.0125	0.00313	0.025	0.0562	0.0375	0.0469	0.2
Micromonospora	0.0844	0.0594	0.375	0.025	0.0375	0.0344	0.0875	0.122	0.05	0.0687	0.1	0.119	0.0562	0.0656	0.0656	0.0469	0.0781	0.0844	0.2
Reyranella	0.163	0.169	0.15	0.163	0.0375	0.219	0.256	0.109	0.137	0.131	0.125	0.203	0.116	0.05	0.15	0.228	0.075	0.125	0.2
Sorangium	0.166	0.0156	0.0656	0.131	0.0406	0.0406	0.284	0.0531	0.125	0.131	0.134	0.266	0.0406	0.0406	0.0906	0.0969	0.0687	0.0813	0.2
Spartobacteria_genera_incertae_sedis	0.0187	0.0406	0.0219	0.0125	0.00937	0.05	0.153	0.0438	0.0719	0.0313	0.0719	0.166	0.05	0.0562	0.075	0.0562	0.0187	0.0313	0.2
Amaricoccus	0.0656	0.0344	0.0281	0.0438	0.0156	0.05	0.0625	0.0594	0.0375	0.0438	0.0531	0.0625	0.0406	0.0219	0.0344	0.0344	0.0375	0.0281	0.2
Rubrobacter	0.0313	0.109	0.0375	0.0469	0.0187	0.05	0.0813	0.0781	0.0906	0.05	0.0438	0.116	0.0687	0.0281	0.0562	0.0469	0.0969	0.0406	0.2
Promicromonospora	0.181	0.325	0.0938	0.234	0.0906	0.403	0.188	0.163	0.128	0.169	0.444	0.294	0.134	0.231	0.213	0.175	0.0844	0.2	0.2
Cystobacter	0.0313	0.0313	0.0281	0.0156	0.0281	0.0375	0.0656	0.0531	0.0313	0.0375	0.0344	0.0625	0.05	0.0531	0.05	0.0313	0.0187	0.0438	0.2
Actinophytocola	0.959	1.12	3.28	1.61	0.256	0.741	1.73	1.36	1.31	0.959	1.32	1.05	1.51	0.594	1.42	1.35	0.725	2.8	0.2
Catellatospora	0.112	0.213	0.128	0.1	0.0594	0.103	0.191	0.219	0.144	0.188	0.178	0.163	0.131	0.0625	0.159	0.0938	0.075	0.2	0.2
Sandaracinus	0.194	0.166	0.237	0.275	0.269	0.141	0.119	0.128	0.134	0.156	0.197	0.15	0.209	0.203	0.206	0.197	0.188	0.244	0.2
Sphingopyxis	0.303	0.231	0.781	0.419	0.922	0.403	0.237	0.481	0.0938	0.431	0.513	0.303	0.294	0.275	0.281	0.447	0.75	0.381	0.2
Cellvibrio	0.119	0.0156	0.0625	0.0281	0.0906	0.025	0.0719	0.263	0.591	0.3	0.0469	0.0375	0.263	0.0875	0.131	0.0406	0.0469	0.103	0.2
Chryseolinea	0.0844	0.0313	0.0156	0.0719	0.0219	0.0313	0.0656	0.0719	0.1	0.141	0.0781	0.112	0.0625	0.0719	0.169	0.0938	0.0594	0.0844	0.2
Kinneretia	1.09	0.803	1.05	0.963	1.36	0.925	0.95	0.584	0.781	0.813	0.872	0.853	0.938	1.23	1.02	0.672	0.903	0.909	0.1
Permianibacter	0.159	0.0719	0.15	0.147	0.313	0.163	0.134	0.125	0.203	0.253	0.137	0.141	0.316	0.2	0.122	0.175	0.234	0.184	0.1
Pirellula	0.00625	0.0219	0.00937	0	0.00937	0.0156	0.0438	0.075	0.0219	0.0281	0.05	0.0969	0.0344	0.0313	0.0438	0.0344	0.0187	0.0156	0.1
Pelomonas	6.02	3.52	6.23	6.02	7.97	5.14	2.16	1.57	3.69	3.99	3.04	2.09	3.65	4.36	2.45	3.16	4.29	3.44	0.1
Variovorax	0.656	0.5	0.319	0.444	0.506	0.719	0.537	0.381	0.5	0.631	0.659	0.791	0.359	0.597	0.606	1.43	0.778	0.447	0.1
Acidovorax	0.0469	0.0156	0.122	0.0375	0.0406	0.134	0.0281	0.0656	0.0906	0.0625	0.0594	0.0187	0.0875	0.0875	0.0219	0.0406	0.0844	0.0594	0.1
Aciditerrimonas	0.025	0.0281	0.0156	0.00937	0.0125	0.0344	0.05	0.025	0.0313	0.0219	0.0313	0.0531	0.0344	0.025	0.025	0.0187	0.0344	0.025	0.1
Pseudoxanthomonas	0.603	0.25	0.297	0.431	0.606	1.13	0.309	0.444	0.363	0.553	0.828	0.553	0.297	0.181	0.603	0.359	0.397	0.356	0.1
Pseudoduganella	1.13	0.475	0.706	1.68	1.37	1.91	0.319	0.259	1.23	0.822	0.606	0.772	1.35	2.51	0.522	0.866	0.941	0.713	0.1
Niastella	0.109	0.0781	0.0531	0.0562	0.0281	0.0438	0.334	0.209	0.431	0.428	0.284	0.178	0.284	0.4	0.294	0.325	0.191	0.166	0.1
Rhizomicrobium	0.0125	0.0187	0.0469	0.0187	0.00313	0.0281	0.0438	0.00937	0.0125	0.0156	0.00937	0.0187	0.0125	0	0.0344	0.0313	0.00313	0.00937	0.1
Methyloceanibacter	0.0781	0.05	0.0719	0.0844	0.0469	0.0531	0.0938	0.0844	0.0406	0.0562	0.0469	0.134	0.0656	0.0531	0.0438	0.0562	0.0469	0.0625	0.1
Gp3	0.0281	0.0281	0.0187	0.0187	0.00313	0.0281	0.0469	0.0125	0.025	0.0469	0.05	0.0156	0.0125	0.0156	0.025	0.00937	0.0219	0.0313	0.1
Tumebacillus	0.0281	0.00625	0.00313	0.00625	0.00313	0.0313	0.0438	0.025	0.00625	0.0187	0.287	0.0281	0.00625	0.0125	0.00937	0.0719	0	0.00625	0.1
Rhizobacter	6.06	2.43	3.67	4.35	6.39	3.72	3.45	3.18	4.32	5.07	4.48	3.44	5.76	8.44	4.3	4.84	6.16	4.49	0.1
Shinella	0.05	0.0344	0.025	0.00625	0.0469	0.025	0.0406	0.269	0.0375	0.0344	0.1	0.0531	0.0125	0.0219	0.00313	0.0406	0.0781	0.0594	0.1
Phreatobacter	0.00625	0.00625	0.0125	0.00625	0.0625	0.0125	0.00313	0.0125	0.00313	0.0125	0.0344	0.00625	0.0125	0	0.0313	0.00313	0.00937	0.0156	0.1
Rhizocola	0.0344	0.05	0.00625	0.025	0.0187	0.0469	0.0375	0.0656	0.0719	0.0156	0.0406	0.0687	0.0438	0.0469	0.153	0.0438	0.0125	0.0375	0.1
Microbacterium	0.163	0.0219	0.0281	0.05	0.0469	0.075	0.0813	0.0438	0.0438	0.0719	0.0531	0.134	0.0313	0.025	0.0844	0.0562	0.0656	0.1	0.1
Haliangium	0.0219	0.0219	0.00937	0.00313	0.00937	0.00313	0.0875	0.0562	0.0469	0.0375	0.0656	0.0281	0.05	0.0375	0.0313	0.025	0.0125	0.0281	0.1
Iamia	0.0344	0.0687	0.134	0.0344	0.025	0.0562	0.0625	0.119	0.0625	0.0938	0.0375	0.0562	0.0906	0.0656	0.0969	0.0687	0.0594	0.0625	0.1
Terrimonas	0.0156	0.00937	0.00625	0.00625	0.00625	0.0125	0.05	0.0313	0.05	0.0187	0.0313	0.025	0.0156	0.0187	0.0187	0.0219	0.0156	0.00625	0.1
Gp25	0.0156	0.00625	0	0.00937	0.00313	0.00313	0.0125	0.00937	0.0125	0.0156	0.025	0.0219	0.0125	0.00625	0.00937	0.00313	0.00313	0.0156	0.1
Bauldia	0.0281	0.0156	0.00937	0.0125	0.0187	0.0219	0.05	0.0156	0.0281	0.0156	0.0219	0.0344	0.0187	0.00313	0.0219	0.0125	0.00625	0.025	0.1
Burkholderia	0.0719	0.0938	0.122	0.0656	0.075	0.0469	0.0594	0.0719	0.0406	0.0781	0.0844	0.0687	0.0844	0.144	0.0844	0.0344	0.122	0.0594	0.1
Amycolatopsis	0.963	2.84	1.51	0.997	1.03	1.25	0.597	0.737	0.394	0.972	0.884	0.631	1.3	1.41	0.903	1.72	4.66	0.681	0.1
Chryseobacterium	0.0281	0.0187	0.0344	0.00937	0.0313	0.0125	0.025	0.0687	0.0313	0.0687	0.0406	0.00937	0.00625	0.00625	0.0375	0.303	0.0125	0.025	0.1
Clostridium_sensu_stricto	0.00313	0.438	0.00313	0.00625	0	0	0.0594	0.00313	0.15	0.00625	0.0156	0.0156	0.00313	0.00313	0.00937	0.00313	0.00313	0.0844	0.1
Cohnella	0.0313	0.0187	0.00937	0.0313	0.0125	0.0125	0.0469	0.0406	0.0125	0.0156	0.0344	0.0406	0.00937	0.025	0.0344	0.0156	0.0281	0.00937	0.1
Sphingobium	0.05	0.05	0.144	0.0156	0.0156	0.0281	0.0531	0.0375	0.0281	0.05	0.0656	0.0344	0.0281	0.0187	0.0687	0.0969	0.00625	0.0625	0.1
Noviherbaspirillum	1.18	1.16	0.966	1.12	1.89	1.2	1.84	1.39	0.894	1.6	1.24	0.725	1.42	1.68	1.73	1.35	1.08	1.42	0.1
Bacteriovorax	0.00313	0.00313	0.00937	0.00937	0.0187	0.0187	0.0187	0.00937	0.0156	0.00937	0.00313	0.0125	0.0281	0.0156	0.0156	0.0156	0.0156	0.00937	0.1
Paraherbaspirillum	0.0375	0.0156	0.00937	0.0438	0.0281	0.0219	0.00313	0.00625	0.00625	0.00313	0	0	0.0187	0	0.00625	0	0.00937	0.00625	0.1
Catelliglobosispora	0.0187	0.0187	0.0313	0.025	0.00313	0.0156	0.00937	0.0156	0.0187	0.0187	0.0187	0.00937	0.0125	0.00313	0.00313	0.0281	0.00937	0.0406	0.1
Cellulosimicrobium	0.0594	0.00625	0.00313	0	0	0.00313	0.0125	0.00937	0.00625	0.0156	0.0125	0.0531	0.0656	0	0.0313	0.00313	0	0.00625	0.1
Parachlamydia	0.0125	0.00937	0.0187	0.00937	0	0.00313	0.0156	0.0125	0.00313	0.0125	0.00937	0.00625	0.0156	0.0156	0.00625	0.00937	0.00313	0.00937	0.1
Pantoea	0	0	0.00313	0.00313	0	0	0.678	0	0	0	0	0	0	0	0	0	0	0	0.1
Xenophilus	0.0875	0.0406	0.0344	0	0	0.00625	0.0125	0.00625	0.0438	0.00937	0.00625	0.0187	0.025	0.00937	0.00313	0.00625	0.0219	0.00937	0.1
Pseudorhodoferax	0.025	0	0	0.00313	0.00625	0.00313	0.00937	0.0156	0.00625	0.0125	0.0156	0	0.128	0	0.00313	0.0187	0.00625	0.00625	0.1
Planifilum	0.05	0.0781	0.0344	0.0687	0.00937	0.0125	0.0219	0.128	0.0781	0.0313	0.0562	0.0813	0.0187	0	0.0469	0.0406	0.0313	0.0562	0.1
Achromobacter	0.025	0	0.0156	0.00313	0.0156	0	0.0219	0.119	0.00313	0.269	0.0156	0.147	0.00625	0.00625	0.00625	0.0219	0	0.0219	0.1
Yonghaparkia	0	0.0156	0.00625	0.00313	0.0156	0.00625	0.00313	0.0313	0	0.00625	0.00313	0.00937	0.00313	0	0.00625	0.0219	0.0313	0.0219	0.1
Actinomadura	0.0125	0.025	0.0219	0.00313	0.00313	0.025	0.0125	0.025	0.00937	0.00313	0.0125	0.0313	0.0187	0.00313	0.00625	0.00313	0.00313	0.0313	0.1
Piscinibacter	0.137	0.137	0.275	0.291	0.338	0.2	0.366	0.206	0.325	0.422	0.341	0.281	0.353	0.666	0.566	0.491	0.366	0.341	0.1
Archangium	0	0	0	0	0	0	0.0156	0.0219	0	0.0281	0.0406	0.0531	0.00625	0.00625	0.00937	0	0	0	0.1
Verrucosispora	0.0406	0.0687	0.0562	0.00625	0.0187	0.0219	0.0281	0.075	0.0531	0.0531	0.0281	0.0687	0.0281	0.0281	0.0687	0.0406	0.0156	0.0562	0.1
Armatimonadetes_gp5	0.00313	0.00625	0.00625	0.00625	0.00625	0.00313	0.025	0.0219	0.0219	0.0125	0	0.0187	0.0125	0.00313	0.0281	0.0156	0.0125	0.00937	0.1
Aquihabitans	0.00937	0.0562	0.0219	0.0219	0.00625	0.00937	0.0469	0.0562	0.0344	0.0562	0.0562	0.0594	0.05	0.0344	0.05	0.0313	0.0344	0.0469	0.1
Phytohabitans	0.0219	0.00625	0.00313	0	0.00937	0.00313	0.0281	0.0375	0.0125	0	0	0.00937	0.0125	0.00313	0.0219	0.05	0.0375	0.0375	0.1
Phyllobacterium	0.209	0.244	0.0844	0.231	0.284	0.413	0.075	0.106	0.163	0.141	0.188	0.178	0.2	0.309	0.175	0.156	0.159	0.125	0.1
Duganella	0.0125	0.00625	0	0.00625	0	0.0406	0.0125	0.00313	0.0313	0	0.0125	0.00937	0.00937	0	0.0469	0.0125	0.106	0.0156	0.1
Glycomyces	0.0656	0.131	0.05	0.025	0.0156	0.0906	0.0344	0.0187	0.0813	0.0344	0.0125	0.0406	0.0375	0.0375	0.0375	0.112	0.0844	0.0281	0.1
Roseateles	0.0313	0.106	0.0719	0.181	0.381	0.0719	0.075	0.0813	0.159	0.103	0.284	0.05	0.294	0.0781	0.169	0.112	0.228	0.178	0.1
Terribacillus	0.0156	0.00313	0	0	0.00313	0.00625	0.184	0.0125	0.05	0.0219	0.0187	0.0219	0	0	0.00313	0.00625	0	0.0281	0.1
Sporacetigenium	0.0187	0.0156	0.0531	0.00313	0.00625	0.00625	0.00937	0.00625	0.00625	0.00937	0.00313	0	0.0187	0.00937	0.0156	0.0187	0.00937	0.00625	0.1
Methylotenera	0.0344	0.00625	0.00937	0.0219	0.00937	0.0687	0.0219	0.025	0.00625	0.0125	0.0594	0.0344	0.0125	0.00625	0.0187	0.0219	0.00937	0.025	0.1
Saccharothrix	0.147	0.266	0.0969	0.0281	0.0219	0.0562	0.0906	0.278	0.0656	0.0438	0.0313	0.103	0.0625	0.109	0.122	0.0562	0.0375	0.0687	0.1
Lysinibacillus	0.0125	0.0125	0.00313	0.0156	0.0125	0.00313	0.0313	0.0125	0.00937	0.025	0.0125	0.172	0	0.00937	0.0125	0.00937	0	0.0125	0.1
Kribbella	0.456	1.02	0.531	0.328	0.244	0.375	0.509	0.616	0.462	0.487	0.613	0.5	0.581	0.878	0.528	0.869	0.991	0.622	0.1
Cryobacterium	0.0125	0	0.00625	0	0	0.0125	0.0219	0.0219	0.0594	0.00625	0.103	0.025	0.00625	0.00937	0.00937	0.0156	0.0219	0.00625	0.1
Couchioplanes	0.322	0.422	0.0438	0.122	0.0656	0.125	0.219	0.388	0.119	0.122	0.169	0.225	0.287	0.372	0.3	0.163	0.459	0.181	0.1
Nocardia	0.1	0.106	0.234	0.00625	0.0313	0.0594	0.0344	0.15	0.025	0.0875	0.0531	0.0625	0.172	0.0281	0.141	0.1	0.0313	0.0844	0.1
Kineosporia	0.278	0.641	0.253	0.559	0.0562	0.175	0.519	0.397	0.4	0.547	0.513	0.319	0.813	0.938	0.6	0.591	0.672	0.369	0.1
Kibdelosporangium	0.075	0.137	0.0344	3.13	1.34	0.116	0.131	0.131	0.0656	0.159	0.159	0.0781	0.344	0.0781	0.0875	0.0969	0.256	0.169	0.1
Virgisporangium	0.0281	0.0906	0.0313	0.0625	0.109	0.0906	0.0438	0.0969	0.0906	0.0562	0.0406	0.0781	0.0656	0.0219	0.0687	0.0406	0.0125	0.0594	0.0
Schlegelella	0.0313	0.0344	0.075	0.0531	0.025	0.0906	0.0813	0.0562	0.0438	0.025	0.1	0.0781	0.0187	0.0594	0.0687	0.0687	0.0187	0.0156	0.0
Sporichthya	0.00937	0.025	0.00937	0.0281	0.00625	0.00313	0.0125	0.0187	0.00625	0.0219	0.0187	0.0156	0.0125	0.00625	0.0125	0.00313	0.0156	0.0187	0.0
Sphingosinicella	0.0469	0.0344	0.00937	0	0.00313	0.0313	0.0625	0.0438	0.0156	0.0187	0.00937	0.0406	0.00625	0.0219	0.0125	0.00937	0.0281	0.00937	0.0
Ralstonia	0	0.00937	0.0625	0.0281	0.0344	0.0281	0.0438	0.00937	0.0219	0.0156	0.00313	0.0344	0.0125	0.0562	0.00937	0.0125	0.0281	0.0125	0.0
Shimazuella	0	0.0219	0	0.00625	0	0.00313	0	0.00313	0	0	0	0.00625	0	0.0125	0.00313	0.0875	0	0	0.0
Sphingorhabdus	0	0	0.0125	0.00937	0.00625	0	0.00313	0.0125	0	0	0.0156	0.00313	0	0.0344	0.0156	0.00625	0.0125	0.00937	0.0
Rhodopseudomonas	0.025	0.0156	0.0875	0	0	0	0.00625	0	0.00313	0	0.00313	0.00625	0.00937	0.00937	0	0.00313	0.0187	0	0.0
