OTUID	E1	E2	E3	E4	E5	E6	E7	N1	N2	O1	O2	S1	OTUID2	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU_1088	0	0	1	0	0	0	0	0	0	0	0	0	OTU_1088	Bacteria	Cyanobacteriota	Cyanobacteriia	Chloroplast	Incertae Sedis	Incertae Sedis	Unassigned
OTU_1089	0	0	1	0	0	0	0	0	0	0	0	0	OTU_1089	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomataceae	Incertae Sedis	uncultured bacterium
OTU_1090	0	0	1	0	0	0	0	0	0	0	0	0	OTU_1090	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Microbacteriaceae	Incertae Sedis	uncultured bacterium
OTU_1091	0	0	1	0	0	0	0	0	0	0	0	0	OTU_1091	Bacteria	Pseudomonadota	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	Woeseia	uncultured gamma proteobacterium
OTU_1092	0	0	1	0	0	0	0	0	0	0	0	0	OTU_1092	Bacteria	Verrucomicrobiota	Lentisphaeria	Oligosphaerales	Oligosphaeraceae	SBZC-1223	uncultured bacterium
OTU_1093	0	0	1	0	0	0	0	0	0	0	0	0	OTU_1093	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Microbacteriaceae	Candidatus Aquiluna	uncultured bacterium
OTU_1094	0	0	2	0	0	0	0	0	0	0	0	0	OTU_1094	Bacteria	Pseudomonadota	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	Incertae Sedis	Unassigned
OTU_1098	0	0	1	0	0	0	0	0	0	0	0	0	OTU_1098	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Litorivicinaceae	Litorivicinus	marine metagenome
OTU_1099	0	0	1	0	0	0	0	0	0	0	0	0	OTU_1099	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Incertae Sedis	uncultured bacterium
OTU_11	1	6	0	0	1	0	0	0	0	0	0	0	OTU_11	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	MWH-UniP1 aquatic group	Incertae Sedis	uncultured marine bacterium
OTU_110	1	0	0	0	0	0	0	0	0	0	0	0	OTU_110	Bacteria	Cyanobacteriota	Cyanobacteriia	Chloroplast	Incertae Sedis	Incertae Sedis	uncultured bacterium
OTU_1101	0	0	1	0	0	0	0	0	0	0	0	0	OTU_1101	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Methylophilaceae	OM43 clade	uncultured bacterium
OTU_1102	0	0	1	0	0	0	0	0	0	0	0	0	OTU_1102	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Alcaligenaceae	Saccharedens	uncultured Alcaligenaceae bacterium
OTU_1105	0	0	1	0	0	0	0	0	0	0	0	0	OTU_1105	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Alcaligenaceae	Saccharedens	uncultured Alcaligenaceae bacterium
OTU_1106	0	0	1	0	0	0	0	0	0	0	0	0	OTU_1106	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Litorivicinaceae	Litorivicinus	Unassigned
OTU_1107	0	0	1	0	0	0	0	0	0	0	0	0	OTU_1107	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Microbacteriaceae	Candidatus Aquiluna	uncultured bacterium
OTU_1109	0	0	1	0	0	0	0	0	0	0	0	0	OTU_1109	Bacteria	Pseudomonadota	Alphaproteobacteria	Pelagibacterales	Clade III	Incertae Sedis	uncultured bacterium
OTU_1111	0	0	1	0	0	0	0	0	0	0	0	0	OTU_1111	Bacteria	Pseudomonadota	Alphaproteobacteria	Pelagibacterales	Clade III	Incertae Sedis	uncultured Alphaproteobacteria bacterium
OTU_1112	0	0	1	0	0	0	0	0	0	0	0	0	OTU_1112	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	Incertae Sedis	uncultured Bacteroidetes bacterium
OTU_1113	0	0	1	0	0	0	0	0	0	0	0	0	OTU_1113	Bacteria	Cyanobacteriota	Cyanobacteriia	Chloroplast	Incertae Sedis	Incertae Sedis	uncultured bacterium
OTU_1114	0	0	1	0	0	0	0	0	0	0	0	0	OTU_1114	Bacteria	Pseudomonadota	Alphaproteobacteria	Pelagibacterales	Clade III	Incertae Sedis	uncultured bacterium
OTU_1116	0	0	1	0	0	0	0	0	0	0	0	0	OTU_1116	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Microbacteriaceae	Candidatus Aquiluna	uncultured bacterium
OTU_1117	0	0	1	0	0	0	0	0	0	0	0	0	OTU_1117	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	NS11-12 marine group	Incertae Sedis	uncultured Bacteroidetes bacterium
OTU_1118	0	0	1	0	0	0	0	0	0	0	0	0	OTU_1118	Bacteria	Cyanobacteriota	Cyanobacteriia	Chloroplast	Incertae Sedis	Incertae Sedis	uncultured bacterium
OTU_1119	0	0	1	0	0	0	0	0	0	0	0	0	OTU_1119	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pneumoniae
OTU_112	1	0	0	0	0	0	0	0	0	0	0	0	OTU_112	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Mitochondria	Incertae Sedis	uncultured bacterium
OTU_1120	0	0	1	0	0	0	0	0	0	0	0	0	OTU_1120	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Tangfeifania	uncultured organism
OTU_1122	0	0	1	0	0	0	0	0	0	0	0	0	OTU_1122	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Microbacteriaceae	Candidatus Aquiluna	Candidatus Aquiluna rubra
OTU_1124	0	0	1	0	0	0	0	0	0	0	0	0	OTU_1124	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Incertae Sedis	uncultured Bacteroidetes bacterium
OTU_1125	0	0	1	0	0	0	0	0	0	0	0	0	OTU_1125	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	Incertae Sedis	uncultured bacterium
OTU_1126	0	0	1	0	0	0	0	0	0	0	0	0	OTU_1126	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Microbacteriaceae	Incertae Sedis	uncultured bacterium
OTU_1127	0	0	1	0	0	0	0	0	0	0	0	0	OTU_1127	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Litorivicinaceae	Litorivicinus	uncultured bacterium
OTU_1128	0	0	1	0	0	0	0	0	0	0	0	0	OTU_1128	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	MWH-UniP1 aquatic group	Incertae Sedis	uncultured bacterium
OTU_1129	0	0	1	0	0	0	0	0	0	0	0	0	OTU_1129	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Halieaceae	Haliea	Unassigned
OTU_113	1	0	0	0	0	0	0	0	0	0	0	0	OTU_113	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Cetobacterium	uncultured bacterium
OTU_1130	0	0	1	0	0	0	0	0	0	0	0	0	OTU_1130	Bacteria	Actinomycetota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	CL500-29 marine group	Unassigned
OTU_1131	0	0	1	0	0	0	0	0	0	0	0	0	OTU_1131	Bacteria	Pseudomonadota	Alphaproteobacteria	Pelagibacterales	Clade III	Incertae Sedis	uncultured bacterium
OTU_1133	0	0	1	0	0	0	0	0	0	0	0	0	OTU_1133	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Incertae Sedis	uncultured bacterium
