	feces1	feces2	feces3	feces4	feces5	feces6	plaque1	plaque2	plaque3	plaque4	plaque5	plaque6	saliva1	saliva2	saliva3	saliva4	saliva5	saliva6
ASV_142	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0	31	11	0
ASV_45	0	0	0	0	0	0	35	2	1	0	1	1	1	0	2	3	0	1
ASV_86	0	0	0	0	0	0	0	0	0	44	3	0	0	0	0	0	0	0
ASV_94	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0
ASV_1120	0	0	0	0	0	0	0	0	1	1	0	0	0	0	6	18	6	14
ASV_1152	0	0	0	0	0	0	1	2	0	0	2	1	1	2	4	4	7	22
ASV_174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	30	0
ASV_243	0	0	0	0	0	0	2	0	0	0	0	1	0	0	37	4	2	0
ASV_473	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	34	0	7
ASV_69	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_73	0	0	0	0	0	0	0	0	1	1	0	2	0	0	35	0	7	0
ASV_125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0
ASV_133	0	0	0	0	0	0	23	2	12	2	2	0	0	0	0	0	4	0
ASV_137	0	0	0	0	0	0	42	1	0	0	0	0	1	0	0	1	0	0
ASV_153	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_169	0	0	0	0	0	0	1	0	0	5	1	0	7	23	3	5	0	0
ASV_202	0	0	0	0	0	0	0	0	0	6	24	0	0	0	6	0	0	9
ASV_40	0	0	0	0	0	0	39	0	0	0	3	0	0	0	0	0	3	0
ASV_121	0	0	0	0	0	0	0	0	30	4	1	0	9	0	0	0	0	0
ASV_143	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0
ASV_718	0	0	0	0	0	0	0	0	1	0	2	2	1	3	8	6	9	12
ASV_76	0	0	0	0	0	0	16	1	5	1	15	6	0	0	0	0	0	0
ASV_235	0	0	11	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_99	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1115	0	0	0	0	0	0	2	0	2	0	0	2	3	0	2	15	7	9
ASV_1219	0	0	0	0	0	0	0	0	1	1	0	2	1	1	6	12	11	7
ASV_146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0
ASV_550	11	7	3	0	15	5	0	0	0	1	0	0	0	0	0	0	0	0
ASV_105	0	0	0	0	0	0	32	0	0	0	0	0	4	0	5	0	0	0
ASV_1114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0
ASV_66	0	0	0	0	0	0	0	2	0	0	17	12	5	0	1	0	0	4
ASV_96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	4
ASV_1081	0	0	0	0	0	0	0	0	0	0	1	0	0	3	32	0	1	3
ASV_1131	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	39	0	0
ASV_226	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_282	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	5	1	29
ASV_324	0	0	0	0	0	0	1	0	5	1	16	2	8	0	0	1	4	2
ASV_355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	11	20	4
ASV_479	0	0	0	0	0	0	0	0	0	0	0	0	0	3	11	7	14	5
ASV_78	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0
ASV_97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	32
ASV_112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	34	1
ASV_132	0	0	0	0	0	0	11	0	2	0	24	0	0	0	0	0	2	0
ASV_340	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0
ASV_413	0	0	0	0	0	0	17	0	0	0	6	0	1	0	1	2	10	2
ASV_1231	0	0	0	0	0	0	7	2	1	1	1	0	1	7	1	11	1	5
ASV_200	0	0	0	0	0	0	0	0	36	0	1	1	0	0	0	0	0	0
ASV_225	10	26	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_279	0	0	0	0	0	0	0	0	0	0	0	0	0	15	3	20	0	0
ASV_298	0	0	0	0	0	0	17	4	3	1	3	2	1	3	1	1	0	2
ASV_41	0	0	0	0	0	0	0	0	0	0	0	37	0	0	1	0	0	0
ASV_505	2	18	15	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0
ASV_659	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0
ASV_101	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_131	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_222	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	1	21	0
ASV_228	0	0	36	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_375	0	34	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_72	0	0	0	0	0	0	1	6	8	0	5	0	15	0	0	2	0	0
ASV_810	0	9	15	2	8	3	0	0	0	0	0	0	0	0	0	0	0	0
ASV_84	0	0	0	0	0	0	18	0	1	0	14	4	0	0	0	0	0	0
ASV_863	0	0	0	0	0	0	26	0	0	1	6	0	1	0	1	0	2	0
ASV_1093	0	0	0	0	0	0	0	0	0	0	0	2	0	0	10	0	5	19
ASV_337	0	0	0	0	0	0	1	0	1	2	0	0	8	17	4	3	0	0
ASV_406	0	0	0	0	0	0	9	1	8	0	14	1	2	0	0	0	0	1
ASV_70	0	0	0	0	0	0	11	0	20	0	2	0	1	0	2	0	0	0
ASV_108	0	0	0	0	0	0	0	0	0	6	0	0	29	0	0	0	0	0
ASV_110	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	7	0	0
ASV_172	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0
ASV_247	0	0	0	0	0	0	23	3	0	1	7	1	0	0	0	0	0	0
ASV_276	0	0	0	0	0	0	1	0	0	0	0	0	0	1	4	16	6	7
ASV_280	0	0	0	0	0	0	0	0	0	0	0	1	3	9	1	3	18	0
ASV_357	0	0	0	0	0	0	0	0	2	2	0	0	5	0	5	18	3	0
ASV_469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	2	0
ASV_536	0	0	17	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_611	0	0	0	0	0	0	6	1	3	7	4	1	0	0	0	0	13	0
ASV_788	5	2	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1006	0	0	0	0	0	0	1	0	0	4	0	2	12	2	6	2	5	0
ASV_126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0
ASV_147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	11	2	19
ASV_159	0	0	0	0	0	0	20	0	0	0	11	1	0	0	0	0	2	0
ASV_187	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_189	2	0	10	0	6	16	0	0	0	0	0	0	0	0	0	0	0	0
ASV_207	0	0	0	0	0	0	0	1	0	1	0	0	3	20	4	0	4	1
ASV_272	0	0	0	0	0	0	0	0	0	0	0	1	0	26	1	2	4	0
ASV_353	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	32	0	0
ASV_396	2	3	7	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_499	31	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_580	0	0	0	0	0	0	14	0	1	0	18	0	0	0	1	0	0	0
ASV_682	0	0	0	0	0	0	7	0	0	0	0	0	5	0	1	14	2	5
ASV_738	11	2	18	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ASV_82	0	0	0	0	0	0	1	0	0	0	16	14	2	0	0	0	0	1
ASV_87	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0
ASV_1078	0	0	0	0	0	0	0	1	0	0	0	2	1	4	23	0	0	2
ASV_118	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0
ASV_128	31	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_199	0	0	0	0	0	0	0	1	27	0	1	0	4	0	0	0	0	0
ASV_262	0	0	0	0	0	0	1	0	0	0	0	2	0	20	8	1	0	1
ASV_341	0	0	0	0	0	0	0	0	0	0	0	0	0	15	2	14	1	1
ASV_374	0	22	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ASV_437	0	0	0	0	0	0	10	2	11	0	5	0	4	0	0	0	1	0
ASV_480	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3	8	10	10
ASV_65	0	0	0	0	0	0	28	0	0	0	0	0	0	0	1	4	0	0
ASV_813	5	4	13	0	8	2	0	0	0	0	1	0	0	0	0	0	0	0
ASV_844	0	0	0	0	0	0	18	2	0	0	12	1	0	0	0	0	0	0
ASV_89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	9
ASV_955	0	0	0	0	0	0	2	0	10	4	6	1	7	0	1	0	0	2
ASV_102	0	1	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_106	0	0	0	0	0	0	0	0	2	0	28	1	0	0	1	0	0	0
ASV_111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0
ASV_528	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_754	2	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_91	0	0	0	0	0	0	2	30	0	0	0	0	0	0	0	0	0	0
ASV_1030	0	0	0	0	0	0	3	0	0	0	0	5	6	0	6	6	0	5
ASV_1068	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	1
ASV_1205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	17	1	12
ASV_160	0	0	0	0	0	0	14	1	7	2	3	0	0	0	0	0	1	3
ASV_164	0	0	0	0	0	0	0	27	1	0	0	0	1	0	1	0	0	1
ASV_165	0	0	0	0	0	0	0	1	18	3	0	0	9	0	0	0	0	0
ASV_288	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_292	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_387	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_414	0	0	0	0	0	0	17	0	7	0	2	1	4	0	0	0	0	0
ASV_506	1	28	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_129	29	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_166	0	0	0	0	0	0	0	0	2	28	0	0	0	0	0	0	0	0
ASV_179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	29	0
ASV_184	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	13	2
ASV_543	3	3	0	0	12	12	0	0	0	0	0	0	0	0	0	0	0	0
ASV_564	0	0	0	0	0	0	12	0	0	3	9	0	1	0	3	0	0	2
ASV_654	0	0	0	0	0	0	0	1	0	0	0	2	7	0	11	9	0	0
ASV_770	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1145	0	0	0	0	0	0	0	0	0	0	0	0	0	6	8	5	7	3
ASV_116	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_136	0	0	0	0	0	0	23	1	0	1	0	0	0	0	0	0	1	3
ASV_237	3	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_264	0	0	0	0	0	0	0	0	0	0	0	0	12	3	14	0	0	0
ASV_273	0	0	0	0	0	0	0	0	0	0	0	0	0	4	7	2	3	13
ASV_349	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	23	0	3
ASV_527	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_577	0	0	0	0	0	0	13	0	0	0	3	0	7	0	3	0	3	0
ASV_656	0	0	0	0	0	0	5	0	1	5	0	2	2	0	8	1	4	1
ASV_660	0	0	0	0	0	0	0	0	0	0	0	0	0	13	3	4	5	4
ASV_691	0	0	0	0	0	0	0	0	0	0	0	0	0	11	2	3	13	0
ASV_71	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0
ASV_79	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0
ASV_828	3	2	1	0	15	8	0	0	0	0	0	0	0	0	0	0	0	0
ASV_92	0	0	0	0	0	0	0	0	22	0	7	0	0	0	0	0	0	0
ASV_100	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_107	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0
ASV_115	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_123	0	0	0	0	0	0	0	0	0	1	2	0	25	0	0	0	0	0
ASV_177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0
ASV_193	0	0	0	0	0	0	2	0	0	10	0	0	4	0	3	4	4	1
ASV_214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0
ASV_216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	18	3
ASV_217	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	27	0	0
ASV_230	0	1	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_248	0	0	0	0	0	0	12	1	0	0	12	1	2	0	0	0	0	0
ASV_289	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_314	0	0	0	0	0	0	5	2	6	0	10	3	2	0	0	0	0	0
ASV_358	0	0	0	0	0	0	0	0	0	0	0	0	0	3	7	0	17	1
ASV_408	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	9	15	0
ASV_429	0	0	0	0	0	0	0	14	2	0	0	0	0	0	11	1	0	0
ASV_518	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_529	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_746	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_843	0	0	0	0	0	0	8	1	9	0	6	0	4	0	0	0	0	0
ASV_93	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0
ASV_1072	0	0	0	0	0	0	0	1	0	0	0	0	4	13	0	4	5	0
ASV_109	0	0	0	0	0	0	0	0	0	0	0	0	0	26	1	0	0	0
ASV_144	0	0	0	0	0	0	0	0	0	0	0	0	0	2	25	0	0	0
ASV_186	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_195	0	0	0	0	0	0	25	2	0	0	0	0	0	0	0	0	0	0
ASV_227	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_232	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_241	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	1
ASV_417	0	0	0	0	0	0	12	0	0	0	0	0	4	1	4	0	5	1
ASV_752	3	6	12	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ASV_819	0	5	4	2	15	0	0	0	0	0	0	0	0	0	0	0	1	0
ASV_151	16	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	0	0
ASV_176	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	9	11	2
ASV_194	0	0	0	0	0	0	22	2	0	0	1	1	0	0	0	0	0	0
ASV_233	0	0	24	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_234	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_275	0	0	0	0	0	0	0	0	0	0	0	0	0	6	14	0	5	1
ASV_333	0	0	0	0	0	0	0	0	0	2	1	1	2	3	0	5	12	0
ASV_403	0	0	0	0	0	0	2	0	0	0	0	0	1	1	1	11	10	0
ASV_736	15	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_821	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_906	0	0	0	0	0	0	0	0	17	0	9	0	0	0	0	0	0	0
ASV_986	0	0	0	0	0	0	2	0	0	0	19	5	0	0	0	0	0	0
ASV_996	0	0	0	0	0	0	7	0	0	0	7	10	0	0	1	0	0	1
ASV_104	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0
ASV_1101	0	0	0	0	0	0	1	0	0	0	0	0	0	7	5	1	4	7
ASV_152	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_168	0	0	0	0	0	0	0	0	0	0	0	0	22	1	0	2	0	0
ASV_191	0	0	0	0	0	0	20	0	0	0	3	0	2	0	0	0	0	0
ASV_203	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0
ASV_245	0	0	0	0	0	0	8	0	0	0	0	5	3	4	1	0	4	0
ASV_260	0	0	0	0	0	0	0	12	0	0	2	0	0	0	0	0	2	9
ASV_266	0	0	0	0	0	0	0	0	0	0	0	0	15	4	1	5	0	0
ASV_347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0
ASV_416	0	0	0	0	0	0	13	5	0	0	3	0	2	0	0	0	2	0
ASV_439	0	0	0	0	0	0	0	0	1	21	3	0	0	0	0	0	0	0
ASV_455	0	0	0	0	0	0	5	4	2	0	0	12	1	0	1	0	0	0
ASV_464	0	0	0	0	0	0	0	1	0	0	0	1	0	20	0	1	2	0
ASV_503	0	24	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_794	1	2	13	1	1	6	1	0	0	0	0	0	0	0	0	0	0	0
ASV_83	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	3	0
ASV_88	0	0	0	0	0	0	0	0	0	0	0	21	4	0	0	0	0	0
ASV_901	0	0	0	0	0	0	0	0	16	1	2	0	6	0	0	0	0	0
ASV_1090	0	0	0	0	0	0	3	0	0	0	0	1	0	3	15	0	2	0
ASV_1107	0	0	0	0	0	0	0	0	0	0	0	0	0	1	23	0	0	0
ASV_120	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0
ASV_157	0	0	0	0	0	0	2	4	7	3	2	1	1	0	1	0	1	2
