feature	method	group1	group2	p_values	adj_method	p_adjust
ko05213	LinDA	KO	WT	0.452597439542216	none	0.452597439542216
ko05211	LinDA	KO	WT	0.839322267257623	none	0.839322267257623
ko05210	LinDA	KO	WT	0.0970826494286777	none	0.0970826494286777
ko01055	LinDA	KO	WT	0.302565790412564	none	0.302565790412564
ko00902	LinDA	KO	WT	0.889784494334346	none	0.889784494334346
ko04910	LinDA	KO	WT	0.803465810829474	none	0.803465810829474
ko00531	LinDA	KO	WT	0.867757531706781	none	0.867757531706781
ko04916	LinDA	KO	WT	0.560765991058892	none	0.560765991058892
ko00360	LinDA	KO	WT	0.627362010910597	none	0.627362010910597
ko00633	LinDA	KO	WT	0.9734291498002	none	0.9734291498002
ko00630	LinDA	KO	WT	0.403066309615788	none	0.403066309615788
ko00363	LinDA	KO	WT	0.909911666215501	none	0.909911666215501
ko00364	LinDA	KO	WT	0.218583450631015	none	0.218583450631015
ko05130	LinDA	KO	WT	0.219279575822997	none	0.219279575822997
ko04115	LinDA	KO	WT	0.0970709704376655	none	0.0970709704376655
ko04114	LinDA	KO	WT	0.170610607796486	none	0.170610607796486
ko00121	LinDA	KO	WT	0.0169059938343356	none	0.0169059938343356
ko04914	LinDA	KO	WT	0.467040828849004	none	0.467040828849004
ko00430	LinDA	KO	WT	0.668498446569959	none	0.668498446569959
ko02010	LinDA	KO	WT	0.498475430701155	none	0.498475430701155
ko00130	LinDA	KO	WT	0.804312555476066	none	0.804312555476066
ko04330	LinDA	KO	WT	0.00174752639576754	none	0.00174752639576754
ko03050	LinDA	KO	WT	0.0377308222519925	none	0.0377308222519925
ko00361	LinDA	KO	WT	0.333859050604546	none	0.333859050604546
ko00040	LinDA	KO	WT	0.381313999781346	none	0.381313999781346
ko00730	LinDA	KO	WT	0.869322287519889	none	0.869322287519889
ko00362	LinDA	KO	WT	0.924025761816629	none	0.924025761816629
ko01040	LinDA	KO	WT	0.764049951656965	none	0.764049951656965
ko00603	LinDA	KO	WT	0.975969011656276	none	0.975969011656276
ko03018	LinDA	KO	WT	0.97558740005846	none	0.97558740005846
ko04270	LinDA	KO	WT	0.170610607796486	none	0.170610607796486
ko00281	LinDA	KO	WT	0.739059944000167	none	0.739059944000167
ko00280	LinDA	KO	WT	0.768999449899041	none	0.768999449899041
ko03013	LinDA	KO	WT	0.223819948794417	none	0.223819948794417
ko04626	LinDA	KO	WT	0.535188107024768	none	0.535188107024768
ko05200	LinDA	KO	WT	0.365879683918354	none	0.365879683918354
ko03015	LinDA	KO	WT	0.681913983191928	none	0.681913983191928
ko00312	LinDA	KO	WT	0.0637130757943734	none	0.0637130757943734
ko05020	LinDA	KO	WT	0.7433758139817	none	0.7433758139817
ko05143	LinDA	KO	WT	0.030078457709476	none	0.030078457709476
ko00523	LinDA	KO	WT	0.661014599169538	none	0.661014599169538
ko00520	LinDA	KO	WT	0.890147293089477	none	0.890147293089477
ko00521	LinDA	KO	WT	0.651510815846309	none	0.651510815846309
ko05146	LinDA	KO	WT	0.714642154526878	none	0.714642154526878
ko05145	LinDA	KO	WT	0.0965275298826682	none	0.0965275298826682
ko05144	LinDA	KO	WT	0.341663934044799	none	0.341663934044799
ko00052	LinDA	KO	WT	0.981107474391756	none	0.981107474391756
ko00053	LinDA	KO	WT	0.329678531872457	none	0.329678531872457
ko00051	LinDA	KO	WT	0.953512780330351	none	0.953512780330351
ko00401	LinDA	KO	WT	0.687078106515666	none	0.687078106515666
ko00400	LinDA	KO	WT	0.904711642795091	none	0.904711642795091
ko04020	LinDA	KO	WT	0.236444134570329	none	0.236444134570329
ko00350	LinDA	KO	WT	0.720304352205063	none	0.720304352205063
ko00480	LinDA	KO	WT	0.331535636177795	none	0.331535636177795
ko00643	LinDA	KO	WT	0.473782451952382	none	0.473782451952382
ko00642	LinDA	KO	WT	0.891627805572753	none	0.891627805572753
ko00640	LinDA	KO	WT	0.901141583043875	none	0.901141583043875
ko00720	LinDA	KO	WT	0.975933786734752	none	0.975933786734752
ko00960	LinDA	KO	WT	0.651800748777887	none	0.651800748777887
ko02020	LinDA	KO	WT	0.263125797453612	none	0.263125797453612
ko00120	LinDA	KO	WT	0.521782903992165	none	0.521782903992165
ko00965	LinDA	KO	WT	0.0623747195167304	none	0.0623747195167304
ko03008	LinDA	KO	WT	0.474393728605417	none	0.474393728605417
ko05414	LinDA	KO	WT	0.766051827001968	none	0.766051827001968
ko00290	LinDA	KO	WT	0.890696381365552	none	0.890696381365552
ko04614	LinDA	KO	WT	0.00438905578583747	none	0.00438905578583747
ko03410	LinDA	KO	WT	0.964751463554194	none	0.964751463554194
ko05010	LinDA	KO	WT	0.240713052449881	none	0.240713052449881
ko05012	LinDA	KO	WT	0.139505551942259	none	0.139505551942259
ko00980	LinDA	KO	WT	0.199684411399955	none	0.199684411399955
ko00410	LinDA	KO	WT	0.838778873133215	none	0.838778873133215
ko00983	LinDA	KO	WT	0.765858189745649	none	0.765858189745649
ko05150	LinDA	KO	WT	0.00328064609477072	none	0.00328064609477072
ko00791	LinDA	KO	WT	0.631144046351422	none	0.631144046351422
ko00790	LinDA	KO	WT	0.951257001885731	none	0.951257001885731
ko05131	LinDA	KO	WT	0.451698780095341	none	0.451698780095341
ko00020	LinDA	KO	WT	0.835166529540852	none	0.835166529540852
ko00710	LinDA	KO	WT	0.872004973210119	none	0.872004973210119
ko00196	LinDA	KO	WT	8.77705390102913e-05	none	8.77705390102913e-05
ko02060	LinDA	KO	WT	0.102298062253696	none	0.102298062253696
ko00340	LinDA	KO	WT	0.880670462053754	none	0.880670462053754
ko00785	LinDA	KO	WT	0.274833718704239	none	0.274833718704239
ko00550	LinDA	KO	WT	0.821675397160649	none	0.821675397160649
ko00650	LinDA	KO	WT	0.871256432721752	none	0.871256432721752
ko05223	LinDA	KO	WT	0.452597439542216	none	0.452597439542216
ko05220	LinDA	KO	WT	0.00265366113258696	none	0.00265366113258696
ko05221	LinDA	KO	WT	0.452597439542216	none	0.452597439542216
ko02030	LinDA	KO	WT	0.105600036001956	none	0.105600036001956
ko03320	LinDA	KO	WT	0.380734719474461	none	0.380734719474461
ko04744	LinDA	KO	WT	0.170610607796486	none	0.170610607796486
ko04745	LinDA	KO	WT	0.170610607796486	none	0.170610607796486
ko00522	LinDA	KO	WT	0.131184639560653	none	0.131184639560653
ko04612	LinDA	KO	WT	0.467040828849004	none	0.467040828849004
ko04621	LinDA	KO	WT	0.476748879141801	none	0.476748879141801
ko04622	LinDA	KO	WT	0.0163087997730376	none	0.0163087997730376
ko00910	LinDA	KO	WT	0.682402575023375	none	0.682402575023375
ko04971	LinDA	KO	WT	0.109732853728458	none	0.109732853728458
ko00460	LinDA	KO	WT	0.862681870048539	none	0.862681870048539
ko04970	LinDA	KO	WT	0.109028214308351	none	0.109028214308351
ko00830	LinDA	KO	WT	0.961985054904077	none	0.961985054904077
ko00780	LinDA	KO	WT	0.958468251672184	none	0.958468251672184
ko00511	LinDA	KO	WT	0.953370471164292	none	0.953370471164292
ko00970	LinDA	KO	WT	0.822422202969601	none	0.822422202969601
ko00030	LinDA	KO	WT	0.776603478487249	none	0.776603478487249
ko04972	LinDA	KO	WT	0.00711952872602581	none	0.00711952872602581
ko00232	LinDA	KO	WT	0.0716828979496862	none	0.0716828979496862
ko00230	LinDA	KO	WT	0.930106401197383	none	0.930106401197383
ko04122	LinDA	KO	WT	0.667679849750935	none	0.667679849750935
ko04120	LinDA	KO	WT	0.249155027546679	none	0.249155027546679
ko00540	LinDA	KO	WT	0.763956334272021	none	0.763956334272021
ko05014	LinDA	KO	WT	0.188769652685022	none	0.188769652685022
ko00660	LinDA	KO	WT	0.563778174565282	none	0.563778174565282
ko03020	LinDA	KO	WT	0.994204573277278	none	0.994204573277278
ko04512	LinDA	KO	WT	0.489805173790265	none	0.489805173790265
ko00982	LinDA	KO	WT	0.210602245119048	none	0.210602245119048
ko04630	LinDA	KO	WT	0.452597439542216	none	0.452597439542216
ko03010	LinDA	KO	WT	0.768569203812281	none	0.768569203812281
ko00140	LinDA	KO	WT	0.40562626488186	none	0.40562626488186
ko05100	LinDA	KO	WT	0.285617248824081	none	0.285617248824081
ko00860	LinDA	KO	WT	0.883345527245328	none	0.883345527245328
ko05410	LinDA	KO	WT	0.00954836992577177	none	0.00954836992577177
ko00330	LinDA	KO	WT	0.947396013075028	none	0.947396013075028
ko04080	LinDA	KO	WT	0.00832939718548041	none	0.00832939718548041
ko04514	LinDA	KO	WT	0.297874582529892	none	0.297874582529892
ko00908	LinDA	KO	WT	0.752160583782601	none	0.752160583782601
ko04930	LinDA	KO	WT	0.57898713232121	none	0.57898713232121
ko04320	LinDA	KO	WT	0.473668433058847	none	0.473668433058847
ko03430	LinDA	KO	WT	0.993241226488767	none	0.993241226488767
ko00906	LinDA	KO	WT	0.148273735650926	none	0.148273735650926
ko00900	LinDA	KO	WT	0.674560323024363	none	0.674560323024363
ko00901	LinDA	KO	WT	0.0358125800923499	none	0.0358125800923499
ko04520	LinDA	KO	WT	0.219279575822997	none	0.219279575822997
ko00903	LinDA	KO	WT	0.689484736109418	none	0.689484736109418
ko00471	LinDA	KO	WT	0.935059975484919	none	0.935059975484919
ko00472	LinDA	KO	WT	0.247887327359451	none	0.247887327359451
ko00473	LinDA	KO	WT	0.897267176758764	none	0.897267176758764
ko05111	LinDA	KO	WT	0.354561610521982	none	0.354561610521982
ko04510	LinDA	KO	WT	0.742984053952745	none	0.742984053952745
ko04810	LinDA	KO	WT	0.226497967332022	none	0.226497967332022
ko04210	LinDA	KO	WT	0.130807134227004	none	0.130807134227004
ko00240	LinDA	KO	WT	0.957810593122089	none	0.957810593122089
ko04012	LinDA	KO	WT	0.43224267834702	none	0.43224267834702
ko04013	LinDA	KO	WT	0.452597439542216	none	0.452597439542216
ko04010	LinDA	KO	WT	0.452597439542216	none	0.452597439542216
ko04011	LinDA	KO	WT	0.13266300410374	none	0.13266300410374
ko00944	LinDA	KO	WT	0.0033112445478242	none	0.0033112445478242
ko04113	LinDA	KO	WT	0.302206268185454	none	0.302206268185454
ko04070	LinDA	KO	WT	0.633322848984661	none	0.633322848984661
ko04640	LinDA	KO	WT	0.462359373497855	none	0.462359373497855
ko04310	LinDA	KO	WT	0.00174752639576754	none	0.00174752639576754
ko03420	LinDA	KO	WT	0.826798730615029	none	0.826798730615029
ko00770	LinDA	KO	WT	0.813352607765595	none	0.813352607765595
ko02040	LinDA	KO	WT	0.116708708794364	none	0.116708708794364
ko04912	LinDA	KO	WT	0.510353885587596	none	0.510353885587596
ko00670	LinDA	KO	WT	0.975401999792024	none	0.975401999792024
ko04920	LinDA	KO	WT	0.287609548955771	none	0.287609548955771
ko05160	LinDA	KO	WT	0.452597439542216	none	0.452597439542216
ko04144	LinDA	KO	WT	0.0337055688984085	none	0.0337055688984085
ko00930	LinDA	KO	WT	0.930487141912009	none	0.930487141912009
ko04112	LinDA	KO	WT	0.293821380365417	none	0.293821380365417
ko04720	LinDA	KO	WT	0.170610607796486	none	0.170610607796486
ko04722	LinDA	KO	WT	0.170270380402266	none	0.170270380402266
ko04075	LinDA	KO	WT	0.0423443787293657	none	0.0423443787293657
