OTU ID	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6	KEGG_Pathways
Endocrine System	238386.0	254637.0	275448.0	263536.0	281591.0	264672.0	224379.0	224670.0	234244.0	224020.0	243943.0	225991.0	265060.0	282227.0	263765.0	265778.0	284655.0	258802.0	Organismal Systems; Endocrine System
Energy Metabolism	2775665.0	2693617.0	3148806.0	2996469.0	3449485.0	3051387.0	2708516.0	2599356.0	2746207.0	2635712.0	2894270.0	2720762.0	3094037.0	3479437.0	3096018.0	3083974.0	3331641.0	2997897.0	Metabolism; Energy Metabolism
Environmental Adaptation	68839.0	64484.0	75113.0	73307.0	84925.0	75505.0	63204.0	60854.0	67173.0	64547.0	68427.0	63445.0	72373.0	83225.0	73542.0	73994.0	78578.0	72869.0	Organismal Systems; Environmental Adaptation
Enzyme Families	956141.0	932268.0	1044899.0	1021367.0	1140390.0	1066698.0	925070.0	874285.0	940064.0	907821.0	973312.0	922368.0	1047015.0	1165684.0	1049694.0	1044340.0	1121937.0	1019015.0	Metabolism; Enzyme Families
Excretory System	20241.0	19838.0	21463.0	21829.0	24479.0	22254.0	18081.0	17615.0	19304.0	18923.0	19453.0	18143.0	22264.0	24866.0	21212.0	21483.0	23793.0	20447.0	Organismal Systems; Excretory System
Folding, Sorting and Degradation	1060389.0	1017268.0	1175528.0	1133233.0	1298238.0	1164412.0	1021807.0	978482.0	1048219.0	1008093.0	1086431.0	1024347.0	1158117.0	1309600.0	1174082.0	1164583.0	1242562.0	1144743.0	Genetic Information Processing; Folding, Sorting and Degradation
Genetic Information Processing	1097147.0	1026290.0	1222147.0	1170807.0	1368943.0	1207991.0	1059782.0	1003920.0	1074118.0	1040495.0	1126641.0	1058028.0	1187208.0	1353406.0	1203053.0	1194886.0	1276339.0	1173513.0	Unclassified; Genetic Information Processing
Glycan Biosynthesis and Metabolism	796590.0	746847.0	876993.0	847724.0	986842.0	871593.0	773907.0	728610.0	793744.0	766230.0	815765.0	772759.0	865947.0	989771.0	882917.0	880645.0	929312.0	858854.0	Metabolism; Glycan Biosynthesis and Metabolism
Immune System	23113.0	22030.0	25030.0	24788.0	28493.0	24855.0	21612.0	20974.0	23573.0	22442.0	23662.0	22020.0	25945.0	28952.0	25949.0	25709.0	28095.0	24685.0	Organismal Systems; Immune System
Immune System Diseases	28386.0	29995.0	32569.0	31587.0	33443.0	31347.0	25590.0	26637.0	29431.0	27342.0	28362.0	26243.0	31787.0	34221.0	30911.0	31707.0	33808.0	30685.0	Human Diseases; Immune System Diseases
Infectious Diseases	195756.0	180370.0	219564.0	210515.0	249023.0	222747.0	188001.0	175267.0	186312.0	183308.0	199979.0	188402.0	208379.0	237224.0	210516.0	209694.0	226309.0	205250.0	Human Diseases; Infectious Diseases
Lipid Metabolism	1985182.0	2085128.0	2307150.0	2195577.0	2375953.0	2216108.0	1892309.0	1870042.0	1943131.0	1878030.0	2023310.0	1897114.0	2156728.0	2323273.0	2176172.0	2205687.0	2345331.0	2156485.0	Metabolism; Lipid Metabolism
Membrane Transport	6339177.0	6246857.0	7156987.0	7033050.0	8022141.0	7173293.0	5826467.0	5639176.0	5944455.0	5844602.0	6318733.0	5866275.0	6665767.0	7482559.0	6654254.0	6803005.0	7352318.0	6629302.0	Environmental Information Processing; Membrane Transport
Metabolic Diseases	37697.0	37721.0	42729.0	40715.0	44938.0	41691.0	38277.0	36907.0	39112.0	36499.0	40073.0	38748.0	43602.0	47985.0	43116.0	42695.0	46572.0	41320.0	Human Diseases; Metabolic Diseases
Metabolism	1396965.0	1347372.0	1567211.0	1511534.0	1731324.0	1528717.0	1287955.0	1239911.0	1346779.0	1311864.0	1396782.0	1294621.0	1505059.0	1698531.0	1496304.0	1512249.0	1620959.0	1469975.0	Unclassified; Metabolism
Metabolism of Cofactors and Vitamins	2027772.0	1980585.0	2300838.0	2196987.0	2512023.0	2227078.0	1957866.0	1900923.0	2008655.0	1934000.0	2093670.0	1962610.0	2248857.0	2528634.0	2251044.0	2246980.0	2413740.0	2199403.0	Metabolism; Metabolism of Cofactors and Vitamins
Metabolism of Other Amino Acids	1046388.0	1054559.0	1196200.0	1144365.0	1272532.0	1173287.0	980043.0	942751.0	990855.0	970335.0	1048053.0	974842.0	1106230.0	1220910.0	1119869.0	1133344.0	1206347.0	1113421.0	Metabolism; Metabolism of Other Amino Acids
Metabolism of Terpenoids and Polyketides	1134455.0	1227553.0	1340144.0	1252773.0	1331544.0	1255932.0	1108657.0	1096875.0	1129332.0	1082381.0	1171006.0	1104850.0	1253836.0	1327838.0	1267182.0	1275439.0	1358014.0	1251343.0	Metabolism; Metabolism of Terpenoids and Polyketides
Nervous System	40942.0	42515.0	47564.0	45098.0	48904.0	45108.0	40191.0	39728.0	40889.0	39493.0	43077.0	40639.0	45194.0	49720.0	45962.0	46000.0	49711.0	44908.0	Organismal Systems; Nervous System
Neurodegenerative Diseases	176504.0	152115.0	199506.0	190816.0	231712.0	199024.0	153331.0	142116.0	154094.0	156625.0	169360.0	151971.0	168334.0	202079.0	175768.0	180557.0	187505.0	179665.0	Human Diseases; Neurodegenerative Diseases
Nucleotide Metabolism	1445596.0	1432426.0	1649830.0	1576035.0	1774139.0	1599728.0	1392804.0	1362498.0	1438283.0	1379994.0	1487765.0	1396996.0	1580482.0	1767146.0	1601052.0	1596093.0	1697878.0	1575719.0	Metabolism; Nucleotide Metabolism
Poorly Characterized	2516664.0	2437082.0	2808628.0	2721384.0	3115662.0	2772950.0	2354400.0	2284895.0	2454367.0	2380822.0	2536745.0	2363962.0	2723155.0	3061901.0	2719049.0	2740916.0	2940553.0	2681277.0	Unclassified; Poorly Characterized
Replication and Repair	3217652.0	3132439.0	3611228.0	3463663.0	3930582.0	3510905.0	3068192.0	2975163.0	3175995.0	3060276.0	3278836.0	3064933.0	3509537.0	3962854.0	3550777.0	3539906.0	3765946.0	3485507.0	Genetic Information Processing; Replication and Repair
Sensory System	109.0	102.0	51.0	69.0	64.0	80.0	166.0	103.0	112.0	95.0	129.0	135.0	122.0	91.0	133.0	91.0	95.0	122.0	Organismal Systems; Sensory System
Signal Transduction	1282871.0	1146690.0	1372579.0	1381178.0	1639862.0	1421735.0	1136727.0	1056438.0	1178887.0	1170795.0	1239480.0	1143110.0	1332431.0	1557954.0	1322982.0	1344080.0	1443243.0	1302161.0	Environmental Information Processing; Signal Transduction
Signaling Molecules and Interaction	89593.0	91676.0	103265.0	98447.0	108706.0	100941.0	85430.0	84002.0	90321.0	86177.0	91717.0	85810.0	98762.0	107648.0	98187.0	99834.0	106637.0	97741.0	Environmental Information Processing; Signaling Molecules and Interaction
Transcription	1129843.0	1148899.0	1271072.0	1236781.0	1358526.0	1265796.0	1079900.0	1052409.0	1112096.0	1075803.0	1145771.0	1085849.0	1225004.0	1348902.0	1230109.0	1238678.0	1331139.0	1217374.0	Genetic Information Processing; Transcription
Translation	1839432.0	1791177.0	2063780.0	1975213.0	2246950.0	2023410.0	1790988.0	1729459.0	1827244.0	1759350.0	1889674.0	1785361.0	2007028.0	2254808.0	2048551.0	2022832.0	2143075.0	2006939.0	Genetic Information Processing; Translation
Transport and Catabolism	169119.0	182060.0	199439.0	188328.0	200459.0	190018.0	163863.0	163945.0	170307.0	161942.0	174932.0	164106.0	185328.0	197623.0	187004.0	189733.0	200177.0	186785.0	Cellular Processes; Transport and Catabolism
Xenobiotics Biodegradation and Metabolism	2387228.0	2459436.0	2798654.0	2655741.0	2952428.0	2638299.0	2152949.0	2116853.0	2199420.0	2182933.0	2353320.0	2144540.0	2526446.0	2747333.0	2517827.0	2585763.0	2762081.0	2521309.0	Metabolism; Xenobiotics Biodegradation and Metabolism
