ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
ASV_14	-0.404	13.804	0.0930735930735931	0.394933894933895	NotSig	0.817	1.081	0.751	0.544	0.874	0.909	1.046	0.779	0.94	1.43	1.13	1.272	0.844	0.872
ASV_12	0.464	14.44	0.588744588744589	0.872008494650004	NotSig	1.285	0.932	0.606	2.223	1.959	1.424	1.118	0.38	0.769	0.775	0.653	0.552	1.257	1.586
ASV_16	-0.374	14.413	0.24025974025974	0.56299670478775	NotSig	0.839	1.087	0.493	0.719	1.725	0.858	0.681	0.558	1.137	0.749	0.663	0.849	2.181	0.942
ASV_17	-0.547	13.123	0.00216450216450216	0.0485466914038343	Depleted	0.537	0.785	0.394	0.328	0.565	0.676	0.687	0.573	0.892	0.804	0.745	0.831	0.717	0.719
ASV_18	-0.461	13.718	0.0930735930735931	0.394933894933895	NotSig	0.727	1.001	0.699	0.548	0.603	1.067	0.839	0.608	1.194	1.293	0.612	0.779	1.348	0.781
ASV_19	-0.036	13.973	0.699134199134199	0.922387136672851	NotSig	0.652	0.668	0.576	0.683	0.297	0.488	1.184	0.685	0.911	0.302	1.608	0.319	0.471	0.4
ASV_20	-1.751	15.344	0.17965367965368	0.494835573782942	NotSig	0.325	1.094	0.222	0.358	0.141	0.551	0.345	0.333	0.67	0.767	0.292	0.368	4.161	0.309
ASV_33	-0.105	13.163	0.393939393939394	0.763561541339319	NotSig	0.662	0.712	0.822	0.535	0.545	0.545	0.707	0.816	0.593	0.546	0.917	0.684	0.69	0.84
ASV_28	-0.311	13.173	0.30952380952381	0.69421768707483	NotSig	0.535	0.664	0.4	0.719	0.392	0.664	0.636	0.399	0.924	0.819	0.546	0.663	0.506	0.523
ASV_25	-0.269	13.289	0.393939393939394	0.763561541339319	NotSig	0.479	0.577	0.788	0.442	0.219	0.545	0.507	0.374	0.376	0.075	0.797	0.66	0.554	1.001
ASV_21	-0.487	13.282	0.025974025974026	0.203896103896104	NotSig	0.513	0.718	0.505	0.587	0.45	0.467	0.576	0.492	0.571	0.824	0.543	0.787	0.996	0.588
ASV_22	0.231	12.955	0.24025974025974	0.56299670478775	NotSig	0.571	0.487	0.794	0.466	0.424	0.515	0.552	0.676	0.414	0.458	0.633	0.433	0.434	0.548
ASV_24	-0.188	12.559	0.818181818181818	0.94451871657754	NotSig	0.355	0.404	0.32	0.193	0.436	0.294	0.393	0.492	0.288	0.603	0.317	0.59	0.322	0.303
ASV_23	-0.923	13.703	0.0930735930735931	0.394933894933895	NotSig	0.3	0.569	0.228	0.244	0.205	0.4	0.51	0.215	0.425	0.601	0.341	1.334	0.4	0.314
ASV_26	0.013	14.022	0.588744588744589	0.872008494650004	NotSig	0.604	0.599	0.674	0.824	0.9	0.276	0.558	0.393	0.996	0.2	0.461	0.243	0.027	1.664
ASV_31	0.044	12.817	0.699134199134199	0.922387136672851	NotSig	0.57	0.553	0.536	0.584	0.661	0.573	0.657	0.408	0.649	0.479	0.582	0.492	0.722	0.392
ASV_29	-0.582	13.115	0.17965367965368	0.494835573782942	NotSig	0.368	0.551	0.326	0.535	0.262	0.367	0.51	0.209	0.475	0.598	0.311	0.501	0.887	0.534
ASV_27	0.171	12.95	0.699134199134199	0.922387136672851	NotSig	0.557	0.495	0.791	0.481	0.421	0.427	0.57	0.654	0.451	0.468	0.633	0.501	0.314	0.604
ASV_30	0.032	13.091	0.588744588744589	0.872008494650004	NotSig	0.494	0.483	0.409	0.331	0.62	0.873	0.42	0.312	0.505	0.52	0.549	0.473	0.402	0.451
ASV_32	-0.002	12.699	0.937229437229437	0.987550480839071	NotSig	0.525	0.525	0.665	0.427	0.427	0.485	0.537	0.608	0.513	0.577	0.661	0.417	0.37	0.615
ASV_34	-0.603	13.201	0.0411255411255411	0.230596784168213	NotSig	0.442	0.672	0.505	0.373	0.401	0.551	0.516	0.308	0.785	0.942	0.639	0.617	0.685	0.365
ASV_35	-0.344	12.592	0.0151515151515152	0.203896103896104	NotSig	0.426	0.54	0.366	0.259	0.493	0.464	0.522	0.452	0.473	0.549	0.565	0.511	0.527	0.617
ASV_36	-0.407	13.067	0.24025974025974	0.56299670478775	NotSig	0.375	0.497	0.194	0.111	0.816	0.551	0.291	0.287	0.665	0.858	0.328	0.414	0.429	0.29
ASV_37	-0.372	12.995	0.0411255411255411	0.230596784168213	NotSig	0.468	0.606	0.573	0.394	0.34	0.4	0.531	0.573	0.403	0.59	0.816	0.549	0.623	0.655
ASV_43	2.967	14.065	0.00216450216450216	0.0485466914038343	Enriched	1.017	0.13	1.641	0.587	0.877	0.873	0.411	1.714	0.131	0.047	0.205	0.13	0.075	0.193
ASV_47	-0.159	12.492	0.699134199134199	0.922387136672851	NotSig	0.363	0.405	0.372	0.292	0.381	0.391	0.387	0.355	0.328	0.336	0.355	0.576	0.392	0.446
ASV_38	-0.75	13.972	0.699134199134199	0.922387136672851	NotSig	0.334	0.561	0.139	0.102	0.617	0.415	0.3	0.43	0.585	1.607	0.191	0.335	0.405	0.244
ASV_41	-0.569	11.895	0.025974025974026	0.203896103896104	NotSig	0.211	0.314	0.169	0.114	0.251	0.182	0.3	0.252	0.302	0.362	0.21	0.338	0.381	0.29
ASV_39	-0.35	12.093	0.0411255411255411	0.230596784168213	NotSig	0.274	0.35	0.228	0.235	0.291	0.364	0.276	0.252	0.286	0.437	0.295	0.417	0.336	0.327
ASV_42	-0.223	12.359	0.17965367965368	0.494835573782942	NotSig	0.337	0.393	0.274	0.355	0.291	0.318	0.471	0.312	0.398	0.525	0.41	0.471	0.149	0.405
ASV_46	0.002	12.514	0.818181818181818	0.94451871657754	NotSig	0.449	0.448	0.585	0.328	0.467	0.43	0.558	0.324	0.347	0.531	0.472	0.498	0.365	0.475
ASV_45	-0.531	12.845	0.24025974025974	0.56299670478775	NotSig	0.277	0.4	0.314	0.265	0.291	0.17	0.315	0.305	0.497	0.354	0.339	0.736	0.216	0.258
ASV_44	-0.623	12.401	0.17965367965368	0.494835573782942	NotSig	0.219	0.338	0.237	0.111	0.283	0.255	0.261	0.168	0.376	0.541	0.257	0.141	0.455	0.255
ASV_40	-0.853	14.583	0.937229437229437	0.987550480839071	NotSig	0.355	0.641	0.129	0.806	0.02	0.37	0.48	0.324	2.454	0.159	0.049	0.122	0.682	0.381
ASV_50	-0.985	12.383	0.025974025974026	0.203896103896104	NotSig	0.183	0.362	0.095	0.09	0.335	0.23	0.198	0.15	0.534	0.499	0.213	0.338	0.29	0.298
ASV_48	0.689	12.634	0.025974025974026	0.203896103896104	NotSig	0.468	0.291	0.44	0.472	0.395	0.342	0.525	0.636	0.15	0.205	0.268	0.346	0.461	0.314
ASV_49	-0.438	12.928	0.484848484848485	0.827404479578393	NotSig	0.323	0.438	0.397	0.403	0.213	0.139	0.27	0.517	0.481	0.203	0.358	0.779	0.352	0.456
ASV_52	-0.192	12.482	0.24025974025974	0.56299670478775	NotSig	0.35	0.4	0.345	0.313	0.438	0.306	0.429	0.271	0.334	0.572	0.355	0.349	0.344	0.448
ASV_51	1.591	13.374	1	1	NotSig	0.384	0.128	0.105	0.096	1.061	0.906	0.081	0.056	0.142	0.135	0.199	0.051	0.154	0.083
ASV_53	0.043	12.233	0.699134199134199	0.922387136672851	NotSig	0.335	0.325	0.323	0.481	0.349	0.258	0.354	0.246	0.264	0.26	0.366	0.406	0.269	0.386
ASV_57	-0.244	12.514	0.484848484848485	0.827404479578393	NotSig	0.299	0.353	0.585	0.373	0.196	0.297	0.225	0.115	0.451	0.229	0.366	0.311	0.197	0.566
ASV_55	-0.494	12.596	0.0930735930735931	0.394933894933895	NotSig	0.308	0.433	0.336	0.205	0.317	0.412	0.315	0.262	0.328	0.619	0.53	0.444	0.37	0.309
ASV_58	-0.409	11.996	0.00216450216450216	0.0485466914038343	Depleted	0.274	0.364	0.265	0.223	0.312	0.252	0.306	0.29	0.331	0.408	0.371	0.384	0.333	0.357
ASV_54	0.646	12.266	0.132034632034632	0.460654160654161	NotSig	0.326	0.208	0.493	0.481	0.144	0.276	0.243	0.318	0.251	0.068	0.188	0.143	0.37	0.228
ASV_56	0	11.62	0.937229437229437	0.987550480839071	NotSig	0.255	0.255	0.246	0.259	0.193	0.297	0.315	0.218	0.262	0.237	0.254	0.233	0.272	0.271
ASV_59	0.119	12.086	1	1	NotSig	0.302	0.278	0.252	0.421	0.294	0.203	0.435	0.206	0.243	0.323	0.292	0.265	0.301	0.244
ASV_62	-0.302	11.895	0.588744588744589	0.872008494650004	NotSig	0.213	0.262	0.175	0.18	0.182	0.218	0.24	0.28	0.147	0.364	0.15	0.265	0.381	0.266
ASV_60	-0.524	11.665	0.00216450216450216	0.0485466914038343	Depleted	0.175	0.252	0.172	0.132	0.196	0.206	0.165	0.181	0.232	0.257	0.218	0.225	0.256	0.325
ASV_61	-0.273	11.839	0.484848484848485	0.827404479578393	NotSig	0.249	0.301	0.366	0.262	0.199	0.333	0.192	0.143	0.31	0.364	0.33	0.254	0.197	0.352
ASV_67	2.518	13.673	0.00432900432900433	0.0755170755170755	Enriched	0.621	0.108	0.394	0.379	0.231	1.306	0.288	1.128	0.072	0.042	0.06	0.092	0.261	0.123
ASV_65	0.367	12.745	1	1	NotSig	0.292	0.227	0.259	0.196	0.196	0.209	0.687	0.209	0.211	0.268	0.254	0.179	0.181	0.268
ASV_63	-0.366	11.361	0.17965367965368	0.494835573782942	NotSig	0.168	0.217	0.182	0.093	0.127	0.188	0.252	0.168	0.259	0.234	0.139	0.225	0.181	0.263
ASV_64	-0.588	11.945	0.24025974025974	0.56299670478775	NotSig	0.167	0.25	0.16	0.099	0.196	0.197	0.216	0.131	0.187	0.33	0.194	0.26	0.394	0.137
ASV_69	-0.153	10.929	0.818181818181818	0.94451871657754	NotSig	0.073	0.081	0.08	0.075	0.035	0.1	0.105	0.044	0.195	0.029	0.014	0.095	0.021	0.134
ASV_77	0.003	11.931	0.937229437229437	0.987550480839071	NotSig	0.283	0.282	0.372	0.226	0.239	0.255	0.279	0.327	0.211	0.263	0.39	0.298	0.213	0.319
ASV_71	-0.219	11.915	0.818181818181818	0.94451871657754	NotSig	0.188	0.219	0.123	0.205	0.046	0.27	0.3	0.184	0.166	0.127	0.158	0.265	0.386	0.209
ASV_66	0.539	12.275	0.025974025974026	0.203896103896104	NotSig	0.332	0.228	0.496	0.331	0.245	0.273	0.282	0.365	0.251	0.187	0.311	0.211	0.168	0.242
ASV_68	-0.003	12.206	0.818181818181818	0.94451871657754	NotSig	0.235	0.236	0.376	0.202	0.199	0.206	0.258	0.171	0.15	0.216	0.472	0.124	0.176	0.276
ASV_72	-0.743	13.02	0.393939393939394	0.763561541339319	NotSig	0.193	0.323	0.16	0.132	0.179	0.179	0.264	0.243	0.093	0.33	0.27	0.831	0.242	0.169
ASV_73	-0.421	10.83	0.0411255411255411	0.230596784168213	NotSig	0.121	0.162	0.089	0.045	0.147	0.118	0.162	0.165	0.152	0.182	0.131	0.168	0.17	0.169
ASV_70	0.151	11.689	0.937229437229437	0.987550480839071	NotSig	0.188	0.169	0.135	0.108	0.202	0.203	0.147	0.33	0.144	0.127	0.248	0.162	0.157	0.174
ASV_79	-0.134	11.297	0.588744588744589	0.872008494650004	NotSig	0.165	0.181	0.142	0.114	0.147	0.191	0.189	0.206	0.147	0.153	0.169	0.252	0.192	0.172
ASV_74	0.138	11.661	0.818181818181818	0.94451871657754	NotSig	0.226	0.206	0.271	0.208	0.162	0.188	0.324	0.206	0.19	0.203	0.221	0.195	0.229	0.196
ASV_81	-0.337	11.905	0.17965367965368	0.494835573782942	NotSig	0.198	0.249	0.086	0.108	0.384	0.242	0.159	0.206	0.195	0.32	0.251	0.262	0.213	0.255
ASV_82	-1.368	13.255	0.0930735930735931	0.394933894933895	NotSig	0.149	0.384	0.126	0.156	0.069	0.173	0.153	0.215	0.198	0.525	0.128	0.317	0.978	0.158
ASV_76	-0.752	12.866	0.937229437229437	0.987550480839071	NotSig	0.164	0.277	0.135	0.084	0.182	0.115	0.18	0.29	0.093	0.484	0.115	0.747	0.091	0.132
ASV_75	-0.231	12.141	0.818181818181818	0.94451871657754	NotSig	0.207	0.243	0.228	0.168	0.162	0.176	0.267	0.24	0.171	0.114	0.224	0.452	0.288	0.207
ASV_80	0.718	12.634	0.393939393939394	0.763561541339319	NotSig	0.276	0.168	0.129	0.298	0.13	0.294	0.636	0.168	0.142	0.06	0.292	0.157	0.213	0.142
ASV_90	0.686	13.173	0.588744588744589	0.872008494650004	NotSig	0.286	0.178	0.095	0.924	0.037	0.176	0.351	0.131	0.016	0.052	0.295	0.008	0.437	0.258
ASV_86	-0.67	12.145	0.132034632034632	0.460654160654161	NotSig	0.18	0.286	0.175	0.379	0.101	0.088	0.15	0.184	0.256	0.354	0.3	0.17	0.453	0.18
ASV_84	-0.041	12.467	0.937229437229437	0.987550480839071	NotSig	0.167	0.172	0.277	0.054	0.084	0.433	0.081	0.075	0.566	0	0.101	0.168	0.067	0.132
ASV_78	-0.339	11.915	0.699134199134199	0.922387136672851	NotSig	0.173	0.218	0.102	0.211	0.035	0.106	0.381	0.203	0.019	0	0.281	0.254	0.386	0.37
ASV_83	-0.715	11.986	0.17965367965368	0.494835573782942	NotSig	0.118	0.194	0.055	0.057	0.242	0.106	0.081	0.168	0.198	0.406	0.093	0.162	0.189	0.118
ASV_87	0.26	12.076	1	1	NotSig	0.188	0.157	0.105	0.193	0.153	0.091	0.432	0.153	0.168	0.127	0.177	0.152	0.17	0.145
ASV_85	-0.084	11.823	0.937229437229437	0.987550480839071	NotSig	0.142	0.151	0.114	0.072	0.271	0.091	0.165	0.14	0.112	0.081	0.131	0.1	0.362	0.118
ASV_95	-0.837	11.801	0.025974025974026	0.203896103896104	NotSig	0.141	0.252	0.071	0.18	0.211	0.158	0.123	0.103	0.288	0.216	0.191	0.146	0.357	0.311
ASV_93	-0.949	12.575	0.484848484848485	0.827404479578393	NotSig	0.147	0.284	0.102	0.238	0.078	0.07	0.237	0.159	0.152	0.112	0.093	0.135	0.61	0.601
ASV_89	0.031	11.416	0.818181818181818	0.94451871657754	NotSig	0.212	0.208	0.268	0.184	0.159	0.236	0.228	0.199	0.115	0.239	0.188	0.273	0.192	0.239
ASV_88	1.295	11.15	0.0411255411255411	0.230596784168213	NotSig	0.149	0.061	0.151	0.123	0.098	0.227	0.087	0.209	0.142	0.031	0.035	0.116	0	0.04
ASV_91	2.391	11.977	0.00432900432900433	0.0755170755170755	Enriched	0.274	0.052	0.249	0.28	0.398	0.403	0.234	0.081	0.029	0.039	0.003	0.184	0.053	0.005
ASV_102	-0.161	11.295	0.588744588744589	0.872008494650004	NotSig	0.165	0.184	0.206	0.153	0.141	0.139	0.174	0.174	0.155	0.138	0.251	0.238	0.144	0.18
ASV_92	-0.198	11.678	0.699134199134199	0.922387136672851	NotSig	0.166	0.19	0.262	0.087	0.162	0.145	0.219	0.118	0.117	0.328	0.175	0.262	0.133	0.123
ASV_114	-0.51	11.104	0.00216450216450216	0.0485466914038343	Depleted	0.13	0.185	0.12	0.114	0.124	0.133	0.159	0.128	0.176	0.172	0.188	0.189	0.162	0.22
ASV_94	-0.061	11.511	0.484848484848485	0.827404479578393	NotSig	0.137	0.143	0.219	0.292	0.089	0.073	0.093	0.056	0.136	0.083	0.262	0.114	0.131	0.132
ASV_100	0.498	11.754	0.484848484848485	0.827404479578393	NotSig	0.164	0.116	0.089	0.165	0.043	0.345	0.216	0.125	0.088	0.018	0.137	0.162	0.101	0.191
ASV_101	0.601	11.716	0.132034632034632	0.460654160654161	NotSig	0.227	0.15	0.317	0.165	0.179	0.142	0.222	0.336	0.16	0.096	0.197	0.108	0.146	0.191
ASV_104	-0.084	11.091	0.699134199134199	0.922387136672851	NotSig	0.139	0.147	0.08	0.09	0.138	0.148	0.159	0.218	0.144	0.174	0.15	0.127	0.197	0.091
ASV_96	0.045	10.739	0.818181818181818	0.94451871657754	NotSig	0.125	0.121	0.114	0.096	0.13	0.127	0.171	0.109	0.08	0.135	0.09	0.138	0.136	0.145
ASV_97	-0.577	11.584	0.17965367965368	0.494835573782942	NotSig	0.113	0.168	0.166	0.063	0.124	0.097	0.138	0.087	0.155	0.307	0.071	0.114	0.173	0.188
ASV_110	-0.402	11.745	0.393939393939394	0.763561541339319	NotSig	0.139	0.183	0.212	0.12	0.081	0.203	0.138	0.078	0.152	0.343	0.188	0.168	0.154	0.094
ASV_98	-0.261	11.791	0.699134199134199	0.922387136672851	NotSig	0.121	0.145	0.132	0.078	0.147	0.091	0.153	0.125	0.136	0.104	0.076	0.078	0.354	0.121
ASV_106	0.977	12.775	0.484848484848485	0.827404479578393	NotSig	0.27	0.137	0.068	0.138	0.701	0.43	0.123	0.162	0.222	0.078	0.153	0.214	0.061	0.097
ASV_109	-0.408	12.173	0.588744588744589	0.872008494650004	NotSig	0.176	0.234	0.175	0.307	0.118	0.133	0.093	0.231	0.462	0.06	0.251	0.281	0	0.349
ASV_99	-0.285	11.621	0.393939393939394	0.763561541339319	NotSig	0.144	0.175	0.077	0.06	0.271	0.236	0.135	0.084	0.315	0.257	0.09	0.157	0.115	0.118
ASV_113	0.232	10.88	0.132034632034632	0.460654160654161	NotSig	0.163	0.139	0.175	0.171	0.164	0.17	0.126	0.171	0.123	0.13	0.188	0.114	0.117	0.161
ASV_105	0.237	11.9	0.937229437229437	0.987550480839071	NotSig	0.113	0.096	0.018	0.382	0.003	0.124	0.087	0.065	0.011	0.026	0.082	0.068	0.136	0.255
ASV_103	-0.319	10.968	0.132034632034632	0.460654160654161	NotSig	0.114	0.142	0.074	0.093	0.124	0.109	0.159	0.125	0.2	0.135	0.145	0.13	0.149	0.094
ASV_108	0.613	11.491	0.24025974025974	0.56299670478775	NotSig	0.186	0.122	0.08	0.12	0.156	0.288	0.255	0.218	0.083	0.122	0.109	0.138	0.144	0.134
ASV_107	0.105	10.771	0.588744588744589	0.872008494650004	NotSig	0.136	0.126	0.154	0.096	0.121	0.103	0.165	0.174	0.093	0.091	0.175	0.152	0.125	0.121
ASV_111	-0.212	11.093	0.24025974025974	0.56299670478775	NotSig	0.157	0.182	0.172	0.12	0.118	0.197	0.153	0.184	0.099	0.218	0.202	0.192	0.168	0.215
ASV_122	0.395	10.998	0.0649350649350649	0.328864683703393	NotSig	0.175	0.133	0.194	0.205	0.196	0.148	0.12	0.187	0.15	0.101	0.142	0.138	0.112	0.156
ASV_112	0.224	11.594	0.588744588744589	0.872008494650004	NotSig	0.209	0.179	0.225	0.129	0.3	0.309	0.186	0.103	0.182	0.255	0.194	0.233	0.112	0.097
ASV_116	-0.994	11.128	0.588744588744589	0.872008494650004	NotSig	0.047	0.094	0.052	0.057	0.029	0.058	0.054	0.034	0.158	0.052	0.071	0.011	0.224	0.051
ASV_115	3.032	13.81	0.588744588744589	0.872008494650004	NotSig	0.262	0.032	0.015	0.036	0.003	0.015	0.069	1.436	0.003	0.055	0.06	0.005	0.011	0.059
ASV_117	0.968	12.145	0.132034632034632	0.460654160654161	NotSig	0.206	0.105	0.068	0.223	0.453	0.258	0.174	0.062	0.131	0.117	0.147	0.152	0.029	0.056
ASV_119	-0.074	11.094	0.818181818181818	0.94451871657754	NotSig	0.16	0.168	0.219	0.162	0.147	0.112	0.18	0.137	0.104	0.211	0.164	0.216	0.184	0.129
ASV_125	0.268	11.159	0.699134199134199	0.922387136672851	NotSig	0.146	0.121	0.139	0.229	0.092	0.142	0.219	0.056	0.072	0.224	0.161	0.07	0.019	0.183
ASV_126	0.098	11.159	0.818181818181818	0.94451871657754	NotSig	0.152	0.142	0.126	0.229	0.144	0.127	0.105	0.181	0.117	0.047	0.197	0.127	0.144	0.22
ASV_134	-0.21	10.983	0.699134199134199	0.922387136672851	NotSig	0.109	0.126	0.086	0.066	0.127	0.109	0.132	0.134	0.101	0.104	0.09	0.143	0.202	0.115
ASV_118	0.413	11.188	0.393939393939394	0.763561541339319	NotSig	0.142	0.107	0.12	0.069	0.101	0.233	0.105	0.224	0.075	0.125	0.101	0.092	0.2	0.048
ASV_120	-0.205	10.513	1	1	NotSig	0.085	0.098	0.068	0.078	0.104	0.076	0.084	0.103	0.069	0.075	0.137	0.146	0.096	0.067
ASV_129	-0.208	10.983	0.699134199134199	0.922387136672851	NotSig	0.11	0.127	0.083	0.132	0.078	0.1	0.168	0.097	0.061	0.096	0.101	0.097	0.202	0.201
ASV_137	-0.278	10.379	0.17965367965368	0.494835573782942	NotSig	0.094	0.114	0.111	0.093	0.11	0.061	0.108	0.081	0.104	0.096	0.12	0.133	0.133	0.097
ASV_123	-0.191	10.415	0.393939393939394	0.763561541339319	NotSig	0.102	0.116	0.102	0.051	0.115	0.085	0.132	0.125	0.104	0.12	0.137	0.106	0.128	0.102
ASV_135	0.154	11.061	0.393939393939394	0.763561541339319	NotSig	0.138	0.124	0.12	0.202	0.098	0.155	0.132	0.125	0.214	0.091	0.117	0.07	0.096	0.158
ASV_127	-0.416	10.866	0.0649350649350649	0.328864683703393	NotSig	0.099	0.132	0.095	0.081	0.066	0.127	0.135	0.09	0.101	0.143	0.117	0.187	0.144	0.102
ASV_124	-0.363	10.791	0.24025974025974	0.56299670478775	NotSig	0.105	0.135	0.145	0.048	0.075	0.097	0.165	0.1	0.112	0.12	0.164	0.149	0.088	0.177
ASV_121	0.681	11.171	0.025974025974026	0.203896103896104	NotSig	0.167	0.104	0.209	0.126	0.127	0.145	0.165	0.231	0.096	0.091	0.117	0.057	0.133	0.132
ASV_133	0.038	10.662	0.818181818181818	0.94451871657754	NotSig	0.113	0.11	0.095	0.069	0.133	0.109	0.108	0.162	0.128	0.101	0.139	0.084	0.101	0.105
ASV_156	0.486	10.777	0.17965367965368	0.494835573782942	NotSig	0.111	0.079	0.175	0.072	0.069	0.091	0.126	0.134	0.051	0.068	0.087	0.084	0.091	0.097
ASV_136	-0.153	11.201	1	1	NotSig	0.117	0.13	0.114	0.09	0.121	0.164	0.114	0.1	0.069	0.099	0.172	0.235	0.125	0.081
ASV_128	0.094	10.851	0.818181818181818	0.94451871657754	NotSig	0.135	0.126	0.185	0.105	0.118	0.109	0.126	0.165	0.101	0.133	0.161	0.111	0.109	0.142
ASV_132	-0.069	10.672	0.937229437229437	0.987550480839071	NotSig	0.078	0.081	0.163	0.072	0.112	0.064	0.045	0.009	0.072	0.114	0.093	0.038	0.061	0.11
ASV_142	0.256	11.068	0.30952380952381	0.69421768707483	NotSig	0.135	0.113	0.212	0.093	0.121	0.127	0.144	0.112	0.056	0.088	0.156	0.07	0.093	0.215
ASV_138	-0.395	10.85	0.393939393939394	0.763561541339319	NotSig	0.099	0.13	0.077	0.099	0.185	0.1	0.078	0.053	0.176	0.094	0.098	0.089	0.157	0.164
ASV_141	-0.608	10.16	0.0649350649350649	0.328864683703393	NotSig	0.05	0.076	0.015	0.057	0.046	0.1	0.051	0.031	0.091	0.114	0.06	0.054	0.067	0.072
ASV_130	-0.869	11.724	0.937229437229437	0.987550480839071	NotSig	0.07	0.127	0.074	0.021	0.061	0.142	0.054	0.065	0.027	0.055	0.251	0.051	0.04	0.338
ASV_154	-0.017	10.712	1	1	NotSig	0.107	0.108	0.089	0.126	0.069	0.112	0.09	0.153	0.163	0.117	0.082	0.168	0.037	0.081
ASV_153	0.081	10.758	0.818181818181818	0.94451871657754	NotSig	0.115	0.108	0.135	0.108	0.112	0.106	0.114	0.112	0.072	0.133	0.128	0.173	0.059	0.086
ASV_140	-0.212	10.379	0.484848484848485	0.827404479578393	NotSig	0.082	0.094	0.105	0.069	0.055	0.094	0.117	0.05	0.051	0.109	0.101	0.1	0.133	0.072
ASV_150	-0.388	10.748	0.025974025974026	0.203896103896104	NotSig	0.091	0.119	0.083	0.072	0.081	0.1	0.096	0.115	0.101	0.104	0.172	0.13	0.104	0.105
ASV_163	0.453	10.961	0.0411255411255411	0.230596784168213	NotSig	0.139	0.101	0.129	0.144	0.118	0.109	0.132	0.199	0.142	0.075	0.112	0.092	0.085	0.102
ASV_162	0.837	10.966	0.0411255411255411	0.230596784168213	NotSig	0.129	0.072	0.2	0.084	0.115	0.109	0.102	0.162	0.077	0.036	0.126	0.049	0.056	0.089
ASV_145	-0.948	11.002	0.025974025974026	0.203896103896104	NotSig	0.066	0.127	0.049	0.078	0.035	0.1	0.087	0.047	0.091	0.07	0.104	0.108	0.205	0.185
ASV_144	0.435	10.725	0.17965367965368	0.494835573782942	NotSig	0.125	0.093	0.169	0.141	0.118	0.152	0.084	0.087	0.136	0.096	0.087	0.081	0.088	0.067
ASV_157	0.089	11.075	0.588744588744589	0.872008494650004	NotSig	0.096	0.091	0.049	0.196	0.055	0.082	0.141	0.056	0.021	0.036	0.044	0.124	0.216	0.102
ASV_143	-0.367	10.716	0.30952380952381	0.69421768707483	NotSig	0.089	0.115	0.08	0.06	0.115	0.139	0.078	0.062	0.168	0.146	0.055	0.095	0.125	0.102
ASV_147	-0.066	10.735	1	1	NotSig	0.089	0.093	0.142	0.057	0.066	0.082	0.117	0.069	0.045	0.114	0.06	0.087	0.17	0.081
ASV_151	0.486	10.559	0.0930735930735931	0.394933894933895	NotSig	0.112	0.08	0.151	0.102	0.13	0.121	0.081	0.087	0.112	0.073	0.123	0.078	0.027	0.067
