	SRS024568.571681	SRS013177.574389	SRS020413.572892	SRS017935.572108	SRS013490.574260	SRS017641.576524	SRS013638.573699	SRS024625.570280	SRS023176.573947	SRS020290.575215	SRS017764.574643	SRS018076.571839	SRS049911.575200	SRS021484.575748	SRS017997.575028	SRS018313.575129	SRS024151.575546	SRS017307.573991	SRS016916.571068	SRS020869.573690	SRS023914.571128	SRS017641.575969	SRS020527.573698	SRS020233.575311	SRS013687.574921	SRS018102.573993	SRS017420.570810	SRS020895.570284	SRS013516.575410	SRS016364.575956	SRS016942.575808	SRS013474.572674	SRS024177.571285	SRS017029.575283	SRS058746.570279	SRS017230.573092	SRS017363.570258	SRS018339.573081	SRS017667.571840	SRS017847.570423	SRS023760.572972	SRS017667.576128	SRS013203.574575	SRS021510.573430	SRS018396.574712	SRS017420.571170	SRS016779.576334	SRS020316.575736	SRS017790.572183	SRS018216.570352	SRS016424.570841	SRS020437.572627	SRS024592.570730	SRS013472.575723	SRS020551.575598	SRS020257.573938	SRS018100.575514	SRS023995.573098	SRS013201.576199	SRS016777.576593	SRS017361.573508	SRS017665.574059	SRS023758.576043	SRS017088.576058	SRS020893.572891	SRS045289.571763	SRS023938.573037	SRS017227.576007	SRS017418.570288	SRS020314.575041	SRS024649.576282	SRS017304.575372	SRS018214.570641	SRS013662.573790	SRS055687.571803
4467447	173.4	218.4	38.2	1.6	9.2	25.4	17	76.4	56.4	207.8	108.2	326.6	160	11	2	240.8	5.6	14.8	114.8	40.6	12.8	79.2	100.6	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4449054	0	0.4	13	0.8	4.8	0	0	3.6	1.6	51.2	4.8	120.6	0	5.6	3.6	135	11.8	0.4	0.8	1	7.4	0	0	0.4	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4374302	0	0	3	0	0	2	11	0	0	6	0	0	2	0	0	49	2	0	3	5	4	5	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4469400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.666666666666667	0	0	0.666666666666667	6	0	0	0.666666666666667	6.66666666666667	0	0	0	0.666666666666667	0	0	0	0	0	0.666666666666667	0.666666666666667	0	3.66666666666667	0	1	29.6666666666667	1.33333333333333	15	1	2	0	0	0.666666666666667	0	0	0	0.666666666666667	0	1	0	0	12.3333333333333	0	2	2	0	0	0	0
4417053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333333333333333	0.833333333333333	0	3.83333333333333	0.5	0.5	0	21.3333333333333	1.66666666666667	0	12.1666666666667	0	0.5	0	0.833333333333333	0	0	4.5	0	0	0.666666666666667	1.66666666666667	0	17.5	0	0	0	0	0	0	0	0	4.66666666666667	7.16666666666667	6	0	5.66666666666667	0	0	0	11	11.5	16	0	1	0	0	0	48.1666666666667	0
4480882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6.33333333333333	3	0	0	0	6	0.666666666666667	1.66666666666667	0	1	1.66666666666667	5	0	0	0.666666666666667	0	1.33333333333333	1	0	3	0	0	0	3.66666666666667	0	0	1.33333333333333	0	0	0	0	2	0	3	14.3333333333333	2.33333333333333	0	1	0	0.666666666666667	0.666666666666667	11.3333333333333	0	0.666666666666667	2.66666666666667	1.66666666666667
4439469	0	0	0	0.333333333333333	0.333333333333333	0	2.16666666666667	0	0	0.333333333333333	0.666666666666667	2.66666666666667	1.16666666666667	0	1.66666666666667	1	1.33333333333333	0	0.333333333333333	3.33333333333333	0	0.333333333333333	0.5	1	1.66666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4479695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8	0.4	0.4	0	2.4	0.6	0.4	6.4	0	0	0	0	0	0	3.8	0	0	0.6	2.4	0	15.4	8.8	0	0	0	0	0	0	0	4	3.8	3.6	1	0.4	0	0	0	4.6	0	6.4	0	0	0	0	0.6	1.2	0
4454331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333333333333333	0	0	0	0	0	0	0.333333333333333	0	0	2.33333333333333	0	0	0	0	0	0	0.5	0	0	0	0.5	0	3	0	0	0	0	0	0	0.333333333333333	0	0.666666666666667	0.833333333333333	1	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0
4400260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	4.6	0	0	0	1	0	0	0	1.6	7.6	0	2.4	0	1.4	0	0.6	4	11.4	13.8	8.6	3	1	10	0.4	2.4	3.4	6.2	0	11.8	8.4	4.2	2.6	6.2	1.4	0	1.2	0	0.4	0	0.4	10.6	11.8	0	4	2.4	0	0.4	7.8	3.8
4437024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.75	1	0	0	0	0	0	0	0	0	0	0	0	1.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	10.5	2.5	0	0	0	0	0.5	0	0	1	0.75	0	0	0	0	1.5	0.75	2	1.25	0.5	1
4312655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5	0	0	0.5	0	0	0.5	0	0	1.5	0	0	0	0	0	0	0.5	0	0	0.75	0	0	0	0	0	0	0.5	0	0	0	0	0	0.75	0	0	0	0	0	0	0	1.5	2	0	0	0.5	0.5	0	0	0
4449198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.66666666666667	1.33333333333333	2.33333333333333	1.33333333333333	0.666666666666667	3.33333333333333	3	0	0	1.33333333333333	0	0	0	1.66666666666667	1	2.33333333333333	2.66666666666667	0.666666666666667	0	1.33333333333333	3	10	0	0	1	5.66666666666667	1.33333333333333	1	7.66666666666667	3.33333333333333	0	2	0	1.33333333333333	7.66666666666667	3	3.66666666666667	3.33333333333333	0	3.66666666666667	2.66666666666667	0	3.33333333333333	0	0	0	2.33333333333333	4.66666666666667	0	7.33333333333333
4480508	1.28571428571429	0	0	0	0	0	0	0	6.71428571428571	0	0	0	0	0	0	0	0	0	0	0	0	0	0.428571428571429	0	0	1.71428571428571	28.1428571428571	54.5714285714286	50.7142857142857	25.4285714285714	72.5714285714286	4.71428571428571	97.7142857142857	75	68.1428571428571	70	20.7142857142857	84.4285714285714	121.571428571429	80.7142857142857	3.57142857142857	149.857142857143	90.8571428571429	174	58.7142857142857	35.2857142857143	102.714285714286	18.1428571428571	116.142857142857	71.7142857142857	38.5714285714286	22.5714285714286	80.7142857142857	0.714285714285714	28.1428571428571	38.1428571428571	13.4285714285714	116.571428571429	82.2857142857143	72.1428571428571	11.5714285714286	123.428571428571	1.71428571428571	13.1428571428571	1.85714285714286	41.8571428571429	30.4285714285714	69	74.2857142857143	29.4285714285714	47.4285714285714	6.42857142857143	26.1428571428571	86.1428571428571	30
4442523	0	1.8	8.8	48.4	3	2.4	35.4	3.6	3	2.4	0	0	3.2	13.6	34.6	6	5.2	10	0.4	0	0	4.8	4.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4475231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3.75	1.5	0	31	0	0.5	4.5	38.75	0.75	0	31	26.75	0.5	0	40.75	29.75	11.75	0	10.75	7.5	1	0	1.25	0	0	6.75	0	0.75	0.5	0	3.75	26.75	3.75	0	26.25	0	18.25	0	3.25	13.25	3.25	2.75	4.25	0.5	1	0	10.25	0
4464267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	7.75	22.5	55.5	13.25	71.5	6.25	7.5	4.25	15.25	63.25	4.75	9.25	2.25	13.75	0	4.75	28.75	91.25	113	16.75	24	0	3.5	14.5	45.75	87.25	47.75	13	17.25	31.5	47.75	55	55.75	32	12.75	4.5	2.5	11.5	41.75	22.75	50	64.75	4.75	0	59.25	0	12.75	12.25	75
627071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0	0.6	0	0.6	0	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8	0	0.6	0	0	0	0.4	0.6	0.6	0.6	0	0	0	3.6	0	0	1	0.8	1.2	0	0	0	3.6	0.6	0.8	1	0	2.4
567669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.33333333333333	0	0	0	0	0	0	0	0	0	0.666666666666667	0	0	0.666666666666667	0	0	0	0	3.33333333333333	0.666666666666667	4.66666666666667	0.666666666666667	3.33333333333333	3.66666666666667	0	0	0	1.33333333333333	1.66666666666667	0.666666666666667	0	0.666666666666667	0	3.33333333333333	2.66666666666667	0	0	0	0	0	0.666666666666667	23.3333333333333	0	0
907684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	1.75	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	2	0	1.5	0	0	0	0	0	2.75	0	0.75	1.25	1	0	0	0	0	0	0.75	0	0	0	1	1.75	0.5	0.5	0	0	0	0.5	0	0
4380039	0	0	0.75	2	6.5	4.25	1.25	2	0	0	0	1	0	0.5	0	0	6.25	5.5	3.75	2.5	3	4	0	4	4.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4340162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.6	0.6	0	0	0	1.2	0	2.4	0	0	0	0.4	0.6	0	0.4	0.8	0	2	0	5.2	0	2.6	1.4	0	0	0	0	0	0	0	1	1.6	1.2	0.6	1.6	0	0	0	0	0.4	0	0	0	0	0	0.6	0.6	0
956982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0	0	0	0	1.4	0	1.4	0.6	0	0	0	0	0	0.4	0.6	0.4	3.2	0	3.4	0	4.2	2.6	0	0	0	0	0	0	0	3.6	0.6	1.2	0	3.2	0.4	0	0	1.2	0	1.6	0	0	0	0	1.8	0.8	0
4483037	0	0	0	0.333333333333333	0	0.666666666666667	0.333333333333333	0	0.5	0.333333333333333	0	0	0	0.5	0	0.833333333333333	2.16666666666667	0	0	0	0	0.333333333333333	0.5	0	1.33333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4423790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	323.666666666667	0	34.6666666666667	0	0	19.6666666666667	59.6666666666667	0	27.3333333333333	31.6666666666667	0.666666666666667	0	0	13	212.666666666667	2.33333333333333	3.66666666666667	3	0	0	0	0	0	0	29.6666666666667	5	5.33333333333333	0	16.6666666666667	0	0	0	3.33333333333333	0	4.66666666666667	55.3333333333333	99.3333333333333	0	0	0.666666666666667	12.3333333333333	1
4355792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.285714285714286	0.714285714285714	0	0.571428571428571	0.285714285714286	0.857142857142857	2.14285714285714	0	0.857142857142857	0	0	0	0	0	0.714285714285714	0	1.28571428571429	0	0	1.28571428571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.571428571428571	0	0	0	0	0	0.714285714285714	0
4366487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.25	0.5	7.25	80.25	32.75	0	55	0	11.5	39.5	0	10.5	5.25	2.5	0.75	10.5	1	0	0	17.5	2.25	0.75	3	0	0	3.75	22	0	0	52.25	0	1.5	28.5	12.75	0	8.75	0.75	14.25	0	2.25	40.25	50.5	5.25	1.5	70.75	1.25	1	34	2.25
787663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	1.625	0	0	0	0	0.375	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0.5	0	0	0	0	0	0	0.375	0.5	0	0	0	0.375	0
921101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0.75	0	0	1.5	0	0	0	0	0	0	0	0	1
4483015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.75	2.5	5.25	1	9.5	2.75	3.25	2.25	10	2.75	7.5	2.75	0	0.5	9.5	6.25	0.5	2	1.25	5.5	1.25	3.75	0	0.75	6.25	6.75	3.75	1.75	4.5	2.25	8	6	5	4.25	2.25	9.5	2.25	3.5	4.25	6.75	4.5	10.5	3.25	1.25	0	8.75	1	25.25	6.25	5.75
4470078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158.4	79.8	41	72.4	121.2	6.2	76.4	24.4	119.8	31.4	0	12.4	30.6	17	35.2	36.8	39.8	16.8	87.8	182.6	126.2	47.8	67.2	14.6	148.2	70.4	130.6	27.6	12.6	77.2	0	37.6	74.4	153.4	8.2	61.2	61.6	192.2	29.8	39.4	120.2	45.4	1.2	45	143.6	131.6	10.6	62.4	151.8
4297119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.8	5.6	7	0	15.6	0	21.6	0.4	4.6	0.6	16	0	0	21.6	4.4	0	0.8	0	0	1.2	30.8	0	0	1.2	6.6	0	0	0.4	0	0	12.8	0	0	5.4	0	13.6	0	0	5.4	0.4	0	3.4	3.2	25.8	0	4.4	0
4465275	0	0	1.66666666666667	1	1.33333333333333	0	1.33333333333333	0	0	0.666666666666667	0	0	1	0	0	1	1.66666666666667	0	0.666666666666667	0	0.666666666666667	0	0	3.33333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4447992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	1.75	0.5	0	0	0	0	0	0	0.5	0.75	0	0	0	0	0	0.75	0	0	1.25	0	0	0	0	0.75	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4447993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	22.75	21.5	0	0	1	22.25	4.5	1.75	2.5	7.25	0	94	20.25	20.75	8.25	0.75	0	11	0	12	0	20	4.75	33	0	0	7	0	23.25	17.5	6.75	0.5	19.25	21	10.5	0	1.5	0	6.75	0	0	1.25	0	0	7	1
4435065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	1	0	0.5	0.75	3.5	0.5	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4459993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.33333333333333	8.66666666666667	79.6666666666667	4	0	32.3333333333333	2	7.66666666666667	11.3333333333333	61.6666666666667	41	0.666666666666667	10.6666666666667	2	55	1.33333333333333	2	25.6666666666667	52.3333333333333	71.3333333333333	8.66666666666667	39	4.66666666666667	78.3333333333333	7.33333333333333	66.6666666666667	72	54.3333333333333	2.33333333333333	27.3333333333333	99	19.3333333333333	72	46.3333333333333	28.6666666666667	0	14.6666666666667	13.6666666666667	12.3333333333333	3	40.3333333333333	127.333333333333	32	4.66666666666667	29.6666666666667	49.3333333333333	0	5.33333333333333	89.6666666666667	18.6666666666667
4477897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.33333333333333	1.33333333333333	0.666666666666667	0.666666666666667	0	0	1.66666666666667	0	0	1.33333333333333	0	1	0	0	0	1	0	1	0	1	0	1.33333333333333	0	4.66666666666667	0	0	0	0	0	0	0	0	0	0	0.666666666666667	0	0.666666666666667	0	1.33333333333333	0.666666666666667	0.666666666666667	1.66666666666667	1	0	0	0
4477547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.2	0.8	2.2	11.8	4.4	0	4.2	0	6.4	3.6	2	2.2	1.8	0	0.8	2.6	0.8	2.6	0.8	1.6	1.6	2	5.6	0.4	0.4	0.6	6.8	0	0	4.6	0	0.4	3.2	2.2	0	6.2	1	8.8	0	0	4	2	9	2.8	4.8	1.2	0	9.8	0.6
4431355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.3333333333333	74.6666666666667	1.33333333333333	4	0	27	6.66666666666667	8	9	14.3333333333333	34	0	5.66666666666667	0.666666666666667	1.33333333333333	0.666666666666667	1	5.66666666666667	41.6666666666667	18	76	9.66666666666667	5.66666666666667	8.33333333333333	17.6666666666667	0	132.666666666667	164.333333333333	9.33333333333333	1.33333333333333	13.6666666666667	22.3333333333333	15.6666666666667	23.6666666666667	28.6666666666667	0	11.3333333333333	1	6.66666666666667	1.66666666666667	37.3333333333333	78	65.3333333333333	2	16	48	1.66666666666667	95.6666666666667	20.3333333333333	2
4472721	1.25	0	13.5	3	9.75	23	2.5	4	0	69.75	7	0	0	21.5	1.75	0	18.75	1.25	0	0	0	38.25	10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4446120	3	0.5	1.25	3	0	1	0	1	0.5	0	13.5	0.75	4	2.25	1.75	2	0.75	0	1.75	1.5	0.75	0.75	1.75	4.75	5.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
851935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	5.25	3.75	2.25	0	23.25	0	9.25	2.25	0	0	0	18.5	0	0	26	8.5	0	1.5	1.5	0	1.5	6	10.25	0	4.25	0	6.5	5.75	0.5	13.5	13.25	0	0	0	0	0	0	16.75	0	6.5	9	1	13.25	0	0	6.5	2.25
4437515	5	0	0	0	0	0	1.33333333333333	0	0	0	9.33333333333333	1.33333333333333	0	0	0	0	0	0	0	0	2	0	0	0	1.33333333333333	0	0	0	0.666666666666667	0	1.33333333333333	0	1.66666666666667	2	2	1.33333333333333	2.66666666666667	0	6.33333333333333	0	0	0.666666666666667	0	0	0	0	0	7.66666666666667	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.666666666666667	7.66666666666667	0	0	0	0	0
4474951	0	0	0	0	0	0	0	0	0	0	0	0	1.8	0	0	0	0	0	0	0	0	0	0	0	0	1.4	1.6	4.8	2.4	22.2	1.2	0	0.6	4.4	3.4	4.6	43.8	2.2	2.2	4.2	37.6	7.4	6	2.2	83.8	5.6	7.2	0.4	3.2	13.8	3.6	14	0	0	3.8	2.6	3.8	23.2	5.2	15.6	33.6	4.8	16.6	7.2	7.2	4.8	26.4	4	2	0	17.4	1.6	19.6	4.8	6.2
4470016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2	0	9.8	0	1.8	0	12.2	3.8	0	29.4	0	88.6	10.4	0	0	14.8	10.4	8.4	0	0.6	0	5.4	17.8	0.8	2.8	0	0	0	0	0	0	5	0.4	0.4	0	18.8	0	0	0	0	1.2	3	17.6	4.2	0	0	0	13.8	0.4
4440404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	2.5	0	0	1.5	0.75	1.5	1	6	11.25	0	0	0	0.5	0	0	0	0	0.75	3.25	0	0	65.25	0	14.5	0	0.75	0	0	0	1.25	0	1.25	0.5	0	0	0	0	0	1.5	0.75	8	0.5	3.5	0	0	0	4	0.5
4457064	21.6666666666667	0	72.3333333333333	227.666666666667	46.3333333333333	203.333333333333	85.6666666666667	65.3333333333333	5.33333333333333	240.333333333333	43	162.666666666667	113.666666666667	106	460.333333333333	79	45	16.3333333333333	101.333333333333	139.333333333333	0	227.666666666667	71.3333333333333	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
955003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	3	24.25	0	5	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0.5	0	0.5	7.25	0	0	0.5	0	0	3.75	0	0	0	0	0.5	0	0
