Genus	feces1	feces2	feces3	feces4	feces5	feces6	plaque1	plaque2	plaque3	plaque4	plaque5	plaque6	saliva1	saliva2	saliva3	saliva4	saliva5	saliva6
Bacteria|Bacillota|Negativicutes|Veillonellales-Selenomonadales|Veillonellaceae|Dialister	0	3.34928229665072	3.88496468213925	0	0	0	1.14068441064639	2.25653206650831	0.605652759084791	0.403225806451613	1.88580408590885	0.884955752212389	1.23626373626374	0	0.173510699826489	0.04151100041511	0.184077312471238	0.201714573877963
Bacteria|Bacillota|Negativicutes|Veillonellales-Selenomonadales|Veillonellaceae|Megasphaera	0	0	0	0	0	0	0	0	0.0672947510094213	0	0.104766893661603	0	0	0	0.520532099479468	0.12453300124533	0.276115968706857	1.76500252143217
Bacteria|Bacillota|Negativicutes|Veillonellales-Selenomonadales|Veillonellaceae|Veillonella	0	0	0	0	0	0	1.00241963359834	0.593824228028504	0.336473755047106	2.01612903225806	0.36668412781561	0.353982300884956	0.892857142857143	2.58030542390732	3.52805089647195	7.92860107928601	8.7436723423838	8.67372667675239
Bacteria|Bacillota|Syntrophomonadia|Syntrophomonadales|Syntrophomonadaceae|Pelospora	0	0	0	0	0	0	0	0	0	0	0	0	0.755494505494505	0	0	0	0	0
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides	24.0963855421687	1.07655502392344	0.252270433905146	0	23.9583333333333	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Incertae Sedis|Phocaeicola	0	0	0	0	0	0	0.0691323885240235	0	0	0	0.471451021477213	0	0.549450549450549	0	0	0	0	0
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Marinifilaceae|Odoribacter	0	0	0	0	0	0	0	0	0	0	0	0.884955752212389	0.824175824175824	0	0	0	0	0
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Paludibacteraceae|F0058	0	0	0	0	0	0	0.414794331144141	0	0	0	0.209533787323206	1.06194690265487	0.824175824175824	0.105318588730911	0	0.04151100041511	0.0460193281178095	0
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Porphyromonadaceae|Porphyromonas	0	0	0	0	0	0	2.14310404424473	4.39429928741093	16.0161507402423	5.34274193548387	16.2912519643793	9.38053097345133	15.6593406593407	12.5329120589784	8.03932909196067	8.7173100871731	1.74873446847676	2.47100353000504
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Alloprevotella	0	0	0	0	0	0	1.00241963359834	3.56294536817102	0.874831763122476	2.01612903225806	2.09533787323206	0.707964601769911	0.824175824175824	0.315955766192733	1.04106419895894	0.20755500207555	0	1.15985879979829
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Hoylesella	0	0	0	0	0	0	5.21949533356378	1.42517814726841	0.672947510094213	0.907258064516129	2.20010476689366	1.23893805309735	2.1978021978022	0.4739336492891	1.38808559861191	1.6604400166044	0.87436723423838	1.91628845184065
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Incertae Sedis	1.39017608897127	0	8.627648839556	0	0	0	0	0	0.269179004037685	0	0	0.530973451327434	0	1.00052659294365	1.73510699826489	1.90950601909506	0.276115968706857	0.958144225920323
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Leyella	0	0	1.61453077699294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Paraprevotella	2.87303058387396	0.119617224880383	0.0504540867810293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella	0	0	0	0	0	0	8.95264431386104	6.76959619952494	10.699865410498	8.56854838709677	8.43373493975904	10.9734513274336	2.06043956043956	6.21379673512375	12.0300751879699	6.39269406392694	3.12931431201104	13.0105900151286
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotellaceae NK3B31 group	0	3.82775119617225	0	2.84974093264249	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Segatella	0	11.4832535885167	26.5388496468214	0.518134715025907	0	0	2.97269270653301	4.39429928741093	2.15343203230148	11.3911290322581	2.88108957569408	2.12389380530973	1.37362637362637	0.210637177461822	0.983227299016773	0.4151100041511	0.230096640589047	0.605143721633888
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Rikenellaceae|Alistipes	0.092678405931418	1.55502392344498	0	15.2849740932642	4.47916666666667	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Rikenellaceae|Rikenellaceae RC9 gut group	0	2.51196172248804	1.76589303733602	0	0	0	0.622191496716212	0	0.134589502018843	0	0.314300680984809	0	1.30494505494505	0	0.0578368999421631	0	0	0
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Tannerellaceae|Parabacteroides	1.94624652455978	0.239234449760766	0	0	1.04166666666667	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Tannerellaceae|Tannerella	0	0	0	0	0	0	2.45419979260283	0.593824228028504	1.278600269179	0.705645161290323	1.99057097957046	2.12389380530973	2.81593406593407	0	0.404858299595142	0.4151100041511	0.230096640589047	0.857286938981341
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|p-2534-18B5 gut group|Incertae Sedis	0	0	0	0	0	0	0.0691323885240235	0	0.201884253028264	0	0	0	0.892857142857143	0	0	0	0	0
Bacteria|Bacteroidota|Bacteroidia|Flavobacteriales|Flavobacteriaceae|Capnocytophaga	0	0	0	0	0	0	1.41721396474248	0.237529691211401	0.0672947510094213	0	0.523834468308015	0.176991150442478	1.71703296703297	0.421274354923644	1.27241179872759	1.2453300124533	0.736309249884952	1.81543116490166
Bacteria|Bacteroidota|Bacteroidia|Flavobacteriales|Weeksellaceae|Bergeyella	0	0	0	0	0	0	0.172830971310059	0	0	0	0	0	0.0686813186813187	0	0.173510699826489	0.08302200083022	0.092038656235619	0
Bacteria|Bacteroidota|Bacteroidia|Sphingobacteriales|Lentimicrobiaceae|Lentimicrobium	0	0	0	0	0	0	1.83200829588662	0	0	0	0.157150340492404	0	1.16758241758242	0	0.115673799884326	0	0	0.0504286434694907
Bacteria|Campylobacterota|Campylobacteria|Campylobacterales|Campylobacteraceae|Campylobacter	0	0	0	0	0	0	1.48634635326651	0.237529691211401	1.68236877523553	0.30241935483871	2.25248821372446	0.176991150442478	3.09065934065934	0.0526592943654555	0.347021399652979	0.66417600664176	0.322135296824666	0.403429147755925
Bacteria|Chloroflexota|Anaerolineae|Anaerolineales|Anaerolineaceae|Flexilinea	0	0	0	0	0	0	0.553059108192188	0.118764845605701	0.336473755047106	0.100806451612903	0.785751702462022	1.06194690265487	0	0	0	0	0	0
Bacteria|Fusobacteriota|Fusobacteriia|Fusobacteriales|Fusobacteriaceae|Fusobacterium	0	0	0	0	0	0	7.15520221223643	2.96912114014252	16.0834454912517	9.375	4.76689366160293	1.23893805309735	6.73076923076923	1.63243812532912	2.60266049739734	4.9813200498132	2.76115968706857	6.75743822491175
Bacteria|Fusobacteriota|Fusobacteriia|Fusobacteriales|Leptotrichiaceae|Leptotrichia	0	0	0	0	0	0.305810397553517	1.1752506049084	3.32541567695962	0.269179004037685	0	2.72393923520168	4.07079646017699	0.274725274725275	0	0.694042799305957	0.29057700290577	1.10446387482743	1.76500252143217
Bacteria|Fusobacteriota|Fusobacteriia|Fusobacteriales|Leptotrichiaceae|Pseudoleptotrichia	0	0	0	0	0	0	0	0	0.0672947510094213	0	0	0	0	0.0526592943654555	0.231347599768652	0.74719800747198	0.414173953060285	3.63086232980333
Bacteria|Fusobacteriota|Fusobacteriia|Fusobacteriales|Leptotrichiaceae|Sneathia	0	0	0	0	0	0	0	0	0	0	1.78103719224725	0	0.0686813186813187	0	0	0	0	0
Bacteria|Patescibacteria|Gracilibacteria|Absconditabacteriales (SR1)|Incertae Sedis|Incertae Sedis	0	0	0	0	0	0	0	0	0.0672947510094213	0	0.104766893661603	0	0	0	0.115673799884326	0.53964300539643	0.0460193281178095	0.302571860816944
Bacteria|Patescibacteria|Saccharimonadia|Saccharimonadales|Incertae Sedis|Incertae Sedis	0	0	0	0	0	0.305810397553517	0.691323885240235	0.118764845605701	0.336473755047106	0	3.09062336301729	2.47787610619469	0.0686813186813187	0	0.289184499710816	0.04151100041511	0.322135296824666	0.0504286434694907
Bacteria|Patescibacteria|Saccharimonadia|Saccharimonadales|Saccharimonadaceae|Candidatus Saccharimonas	0	0	0	0	0	0	0.0345661942620118	0	0	0.100806451612903	0	0.353982300884956	0	1.05318588730911	0.115673799884326	0.20755500207555	0	0.0504286434694907
