"","feces1","feces2","feces3","feces4","feces5","feces6","saliva1","saliva2","saliva3","saliva4","saliva5","saliva6","plaque1","plaque2","plaque3","plaque4","plaque5","plaque6"
"ASV41",572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV42",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,556,0,0
"ASV43",0,0,0,0,0,0,0,549,0,0,0,0,0,0,0,0,0,0
"ASV44",0,0,0,0,0,0,5,0,0,0,0,10,287,74,47,97,28,0
"ASV45",0,0,0,0,0,0,0,0,0,0,0,0,545,0,0,0,0,0
"ASV46",0,0,0,0,0,0,0,0,0,0,0,0,337,0,73,0,118,0
"ASV47",0,0,0,0,0,0,0,0,0,0,0,0,0,524,0,0,0,0
"ASV48",0,0,0,0,0,0,0,0,0,0,0,0,520,0,0,0,0,0
"ASV49",0,0,0,0,0,0,0,0,0,506,0,0,0,0,0,0,0,0
"ASV50",0,0,0,487,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV51",0,0,0,0,0,0,0,459,0,0,0,0,0,0,0,0,0,0
"ASV52",0,0,0,0,458,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV53",0,0,0,457,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV54",0,0,0,0,0,0,47,0,0,0,0,0,0,0,78,327,0,0
"ASV55",0,0,0,0,0,0,0,80,0,0,0,371,0,0,0,0,0,0
"ASV56",0,0,0,0,0,0,0,0,0,0,19,0,430,0,0,0,0,0
"ASV57",0,0,0,0,0,0,10,0,8,0,0,0,228,124,23,0,35,19
"ASV58",0,0,0,0,0,0,0,0,0,314,0,133,0,0,0,0,0,0
"ASV59",0,0,0,0,0,0,0,20,0,0,0,0,419,0,0,0,0,0
"ASV60",0,0,0,0,0,10,0,0,0,0,72,3,298,0,0,7,35,0
"ASV61",422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV62",0,0,0,0,0,0,0,0,0,0,0,0,0,375,0,19,0,23
"ASV63",0,0,0,0,0,0,0,0,0,0,0,0,403,0,9,0,0,0
"ASV64",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412,0,0
"ASV65",0,0,0,0,0,0,0,0,0,170,238,0,0,0,0,0,0,0
"ASV66",0,0,0,0,0,0,0,0,0,0,0,0,0,395,0,0,0,0
"ASV67",0,0,0,0,0,0,17,0,0,0,4,15,164,0,0,190,0,0
"ASV68",0,0,0,0,0,0,124,0,0,0,0,0,0,43,152,0,48,19
"ASV69",385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV70",0,0,0,0,0,0,0,0,143,0,238,0,0,0,0,0,0,0
"ASV71",0,0,0,0,0,0,0,0,0,0,0,0,0,0,376,0,0,0
"ASV72",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376,0
"ASV73",0,0,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV74",23,0,0,0,0,333,0,0,0,0,0,0,0,0,0,0,0,0
"ASV75",0,0,0,0,349,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV76",0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,0,0,0
"ASV77",0,0,0,0,0,0,0,0,346,0,0,0,0,0,0,0,0,0
"ASV78",0,0,0,0,0,0,24,3,8,0,0,21,0,42,0,0,135,111
"ASV79",0,0,0,0,0,339,0,0,0,0,0,0,0,0,0,0,0,0
"ASV80",0,0,0,0,0,0,68,0,0,0,0,0,81,0,67,0,123,0
"ASV81",0,0,0,0,0,0,0,0,0,339,0,0,0,0,0,0,0,0
"ASV82",0,0,0,0,0,0,84,0,0,0,0,0,0,0,253,0,0,0
"ASV83",0,0,0,0,0,0,0,0,48,0,0,287,0,0,0,0,0,0
"ASV84",0,0,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV85",0,0,0,0,0,0,0,0,0,0,0,0,113,0,151,0,67,0
"ASV86",0,0,0,0,0,0,0,0,316,0,0,0,12,0,0,0,0,0
"ASV87",0,0,0,0,0,0,0,0,0,327,0,0,0,0,0,0,0,0
"ASV88",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326,0,0
"ASV89",0,0,0,0,0,0,0,0,246,0,78,0,0,0,0,0,0,0
"ASV90",0,0,0,0,323,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV91",0,0,0,0,0,0,7,0,0,0,0,0,163,0,52,9,61,31
"ASV92",0,0,0,0,0,0,0,0,0,0,0,0,109,2,212,0,0,0
"ASV93",0,0,0,0,0,0,0,0,0,73,202,43,0,0,0,0,0,0
"ASV94",0,0,0,0,0,0,0,173,121,23,0,0,0,0,0,0,0,0
"ASV95",0,0,0,0,0,0,0,0,0,0,0,0,317,0,0,0,0,0
"ASV96",0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,248,0
"ASV97",0,0,0,0,0,0,0,310,0,0,0,0,0,0,0,0,0,0
"ASV98",0,0,0,0,0,0,0,33,104,0,71,101,0,0,0,0,0,0
"ASV99",0,0,0,0,0,0,0,63,56,51,35,96,0,0,0,0,0,0
"ASV100",0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0
"ASV101",85,0,0,0,0,212,0,0,0,0,0,0,0,0,0,0,0,0
"ASV102",0,0,0,0,297,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV103",0,0,0,0,0,0,296,0,0,0,0,0,0,0,0,0,0,0
"ASV104",0,0,0,0,0,0,0,293,0,0,0,0,0,0,0,0,0,0
"ASV105",0,0,0,0,0,0,0,47,0,187,57,0,0,0,0,0,0,0
"ASV106",0,0,0,0,0,0,29,0,0,182,0,79,0,0,0,0,0,0
"ASV107",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,0,0
"ASV108",0,0,0,0,0,0,286,0,0,0,0,0,0,0,0,0,0,0
"ASV109",0,0,0,0,0,0,0,286,0,0,0,0,0,0,0,0,0,0
"ASV110",0,0,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV111",0,0,0,0,0,0,0,0,0,0,153,123,0,0,0,0,0,0
"ASV112",0,0,0,0,0,275,0,0,0,0,0,0,0,0,0,0,0,0
"ASV113",0,0,0,0,0,0,111,164,0,0,0,0,0,0,0,0,0,0
"ASV114",0,0,0,0,0,0,0,61,0,0,72,142,0,0,0,0,0,0
"ASV115",0,0,0,0,0,0,0,0,0,0,275,0,0,0,0,0,0,0
"ASV116",0,0,0,0,0,0,0,273,0,0,0,0,0,0,0,0,0,0
"ASV117",0,0,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV118",8,0,0,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV119",0,0,0,0,0,0,0,147,0,121,0,0,0,0,0,0,0,0
"ASV120",0,0,44,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0
"ASV121",0,0,0,0,0,0,0,17,123,39,0,83,0,0,0,0,0,0
"ASV122",0,0,0,0,0,0,261,0,0,0,0,0,0,0,0,0,0,0
"ASV123",0,0,0,0,0,0,0,0,0,0,0,0,261,0,0,0,0,0
"ASV124",0,0,0,0,0,0,0,0,0,0,0,0,259,0,0,0,0,0
"ASV125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,0,88,0
"ASV126",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,0
"ASV127",149,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV128",0,0,0,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV129",0,0,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV130",0,0,0,0,0,0,0,0,0,214,0,42,0,0,0,0,0,0
"ASV131",252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV132",0,0,0,0,0,0,0,0,58,0,0,194,0,0,0,0,0,0
"ASV133",0,0,0,0,0,0,0,0,0,0,0,0,252,0,0,0,0,0
"ASV134",0,0,0,0,0,0,0,0,0,251,0,0,0,0,0,0,0,0
"ASV135",0,0,0,0,0,0,0,0,0,106,57,88,0,0,0,0,0,0
"ASV136",0,0,0,0,0,0,0,0,0,0,0,251,0,0,0,0,0,0
"ASV137",0,0,0,0,0,0,0,0,0,0,0,251,0,0,0,0,0,0
"ASV138",0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV139",0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0
"ASV140",0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0
"ASV141",0,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV142",247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV143",0,0,0,0,0,0,0,0,0,0,0,241,0,0,0,0,0,0
"ASV144",0,0,0,0,0,0,0,0,45,114,0,79,0,0,0,0,0,0
"ASV145",0,0,0,0,0,0,0,0,0,0,0,0,238,0,0,0,0,0
"ASV146",0,0,0,0,0,0,0,0,0,0,0,0,238,0,0,0,0,0
"ASV147",0,0,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV148",0,0,0,0,0,0,0,0,0,0,0,0,235,0,0,0,0,0
"ASV149",0,0,0,0,0,0,0,0,0,234,0,0,0,0,0,0,0,0
"ASV150",0,0,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV151",0,0,0,0,0,232,0,0,0,0,0,0,0,0,0,0,0,0
"ASV152",0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,201
"ASV153",0,0,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV154",0,0,0,0,0,0,0,130,0,0,97,0,0,0,0,0,0,0
"ASV155",0,0,0,0,0,0,0,0,114,0,112,0,0,0,0,0,0,0
"ASV156",0,0,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV157",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,0
"ASV158",0,0,0,0,222,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV159",0,0,0,0,0,0,0,0,222,0,0,0,0,0,0,0,0,0
"ASV160",0,0,0,0,0,0,0,46,0,32,28,0,110,0,5,0,0,0
"ASV161",0,0,0,0,0,0,0,0,0,64,111,46,0,0,0,0,0,0
"ASV162",0,0,0,0,0,0,0,0,134,0,85,0,0,0,0,0,0,0
"ASV163",218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV164",0,0,0,0,0,0,10,0,0,0,0,9,31,0,0,0,85,83
"ASV165",0,0,0,0,0,0,0,217,0,0,0,0,0,0,0,0,0,0
"ASV166",0,0,0,0,0,0,0,0,0,214,0,0,0,0,0,0,0,0
"ASV167",0,0,0,0,0,0,0,0,53,24,84,51,0,0,0,0,0,0
"ASV168",171,34,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV169",0,0,0,0,0,0,0,0,0,205,0,0,0,0,0,0,0,0
"ASV170",0,0,0,0,0,0,0,0,0,0,204,0,0,0,0,0,0,0
"ASV171",0,0,0,0,0,0,0,0,0,0,10,194,0,0,0,0,0,0
"ASV172",0,0,0,0,0,0,0,0,0,0,0,0,204,0,0,0,0,0
"ASV173",0,0,0,0,0,0,0,202,0,0,0,0,0,0,0,0,0,0
"ASV174",0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,0,0,0
"ASV175",201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV176",0,0,0,0,0,0,159,0,0,0,0,0,0,0,13,6,22,0
"ASV177",0,0,0,0,0,0,199,0,0,0,0,0,0,0,0,0,0,0
"ASV178",0,0,0,0,0,0,0,0,199,0,0,0,0,0,0,0,0,0
"ASV179",0,0,0,0,0,0,0,0,0,0,0,0,198,0,0,0,0,0
"ASV180",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,0
"ASV181",0,0,0,0,0,0,0,0,0,0,197,0,0,0,0,0,0,0
"ASV182",0,0,0,0,0,0,196,0,0,0,0,0,0,0,0,0,0,0
"ASV183",0,0,0,0,0,195,0,0,0,0,0,0,0,0,0,0,0,0
"ASV184",0,0,0,0,0,195,0,0,0,0,0,0,0,0,0,0,0,0
"ASV185",0,0,0,0,0,0,0,0,0,0,0,0,192,2,0,0,0,0
"ASV186",0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV187",0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0
"ASV188",0,0,0,0,0,0,0,0,0,0,0,189,0,0,0,0,0,0
"ASV189",0,0,0,0,0,0,0,0,0,0,188,0,0,0,0,0,0,0
"ASV190",0,0,0,0,0,0,0,0,0,0,0,0,188,0,0,0,0,0
"ASV191",0,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0
"ASV192",0,0,0,0,0,0,0,0,0,0,0,0,186,0,0,0,0,0
"ASV193",0,148,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV194",0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,0,0
"ASV195",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,0
"ASV196",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,0
"ASV197",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0
"ASV198",0,0,0,0,52,131,0,0,0,0,0,0,0,0,0,0,0,0
"ASV199",0,0,0,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0
"ASV200",0,0,0,0,0,0,20,0,0,0,0,25,13,28,54,27,16,0
"ASV201",182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV202",0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV203",0,0,0,0,0,0,0,0,173,0,0,9,0,0,0,0,0,0
"ASV204",0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV205",179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV206",0,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV207",0,0,0,0,0,0,0,0,20,0,0,159,0,0,0,0,0,0
"ASV208",0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,59,0
"ASV209",0,0,0,0,0,0,11,144,23,0,0,0,0,0,0,0,0,0
"ASV210",0,0,0,0,0,0,0,0,178,0,0,0,0,0,0,0,0,0
"ASV211",0,0,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV212",0,0,0,0,177,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV213",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177
"ASV214",175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV215",0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0
"ASV216",0,0,0,0,0,0,173,0,0,0,0,0,0,0,0,0,0,0
"ASV217",0,0,0,0,0,0,11,0,0,0,0,0,113,0,0,0,49,0
"ASV218",0,120,13,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV219",0,0,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0,0
"ASV220",0,0,0,0,0,0,0,0,23,124,24,0,0,0,0,0,0,0
"ASV221",0,0,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0
"ASV222",0,0,0,0,0,0,0,0,0,0,0,0,170,0,0,0,0,0
"ASV223",0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV224",0,0,0,0,0,0,0,0,0,0,0,169,0,0,0,0,0,0
"ASV225",0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0
"ASV226",0,0,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0
"ASV227",0,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV228",0,0,0,0,0,0,0,0,0,0,0,0,165,0,0,0,0,0
"ASV229",0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV230",0,0,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0
"ASV231",0,0,0,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0
"ASV232",0,0,0,0,0,0,0,0,0,163,0,0,0,0,0,0,0,0
"ASV233",0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV234",0,0,0,0,0,0,0,0,0,162,0,0,0,0,0,0,0,0
"ASV235",0,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV236",0,0,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV237",0,0,0,0,0,0,84,0,0,0,0,0,0,0,20,0,0,55
"ASV238",0,0,0,0,0,0,0,0,0,0,0,0,0,159,0,0,0,0
"ASV239",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,105,0
"ASV240",0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0
"ASV241",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158
"ASV242",0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV243",0,0,0,0,0,0,56,0,0,0,0,0,101,0,0,0,0,0
"ASV244",0,0,0,0,0,0,51,0,14,0,0,17,0,0,0,0,75,0
"ASV245",0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,52
"ASV246",0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV247",0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0
"ASV248",0,0,0,0,0,0,45,83,15,12,0,0,0,0,0,0,0,0
"ASV249",0,0,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0
"ASV250",19,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV251",0,100,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0
"ASV252",0,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0
"ASV253",0,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0
"ASV254",0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,25,26
"ASV255",0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV256",0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,0,0,0
"ASV257",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,0
"ASV258",0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV259",0,0,0,0,0,0,0,0,25,0,34,92,0,0,0,0,0,0
"ASV260",0,0,0,0,0,0,0,0,0,0,65,44,0,0,0,0,0,42
"ASV261",0,0,0,0,0,0,41,0,0,0,65,0,44,0,0,0,0,0
"ASV262",0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0
"ASV263",0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV264",0,0,0,0,0,0,0,0,0,82,52,0,15,0,0,0,0,0
"ASV265",0,0,0,0,0,0,0,0,0,79,38,32,0,0,0,0,0,0
"ASV266",0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,0,0
"ASV267",0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,66,59
"ASV268",0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0
"ASV269",0,0,0,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0
"ASV270",0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,0,0,0
"ASV271",0,0,0,0,0,0,0,0,0,0,0,0,0,12,134,0,0,0
"ASV272",0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV273",0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0
"ASV274",0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0
"ASV275",0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0
"ASV276",0,0,0,0,0,0,0,0,0,0,0,0,0,13,132,0,0,0
"ASV277",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0
"ASV278",0,0,0,0,0,0,0,0,0,0,0,0,136,0,8,0,0,0
"ASV279",0,0,0,0,0,0,0,0,0,0,16,10,0,0,44,0,73,0
"ASV280",0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,96,0
"ASV281",0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV282",0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0
"ASV283",0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0
"ASV284",0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV285",0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0
"ASV286",0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0
"ASV287",0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0
"ASV288",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0
"ASV289",0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV290",0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV291",0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0
"ASV292",0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0
"ASV293",0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0
"ASV294",0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0
"ASV295",0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0
"ASV296",0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0
"ASV297",0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0
"ASV298",0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0
"ASV299",0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV300",0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0
"ASV301",0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0
"ASV302",0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0
"ASV303",0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV304",0,0,0,0,0,0,0,0,0,0,49,21,0,0,0,65,0,0
"ASV305",0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0
"ASV306",0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0
"ASV307",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0
"ASV308",0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0
"ASV309",0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0
"ASV310",0,0,0,0,0,0,53,0,0,0,74,0,0,0,0,6,0,0
"ASV311",0,0,0,0,0,0,0,0,0,97,0,36,0,0,0,0,0,0
"ASV312",0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0
"ASV313",0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0
"ASV314",0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0
"ASV315",0,0,0,0,0,0,0,12,0,28,0,92,0,0,0,0,0,0
"ASV316",0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV317",0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0
"ASV318",0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0
"ASV319",0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,57
"ASV320",0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV321",0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV322",0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV323",0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV324",0,0,0,0,0,0,72,0,0,56,0,0,0,0,0,0,0,0
"ASV325",0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0
"ASV326",0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV327",0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV328",0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0
