#OTUID	feces1	feces2	feces3	feces4	feces5	feces6	plaque1	plaque2	plaque3	plaque4	plaque5	plaque6	saliva1	saliva2	saliva3	saliva4	saliva5	saliva6
ASV_1429	0	0	0	0	0	0	0	2	1	1	0	2	14	0	4	4	2	9
ASV_646	0	0	2	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
ASV_963	0	0	0	0	0	0	0	0	6	0	0	0	4	0	0	2	7	5
ASV_673	0	1	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0
ASV_950	0	0	0	0	0	0	19	0	0	0	9	0	0	0	6	0	0	4
ASV_1154	0	0	0	0	0	0	3	1	0	0	0	2	1	1	1	5	30	2
ASV_1343	0	0	0	0	0	0	23	0	0	0	0	14	0	0	0	9	0	0
ASV_1407	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42
ASV_1409	0	0	0	0	0	0	8	12	0	0	0	0	1	0	0	15	0	0
ASV_1448	0	0	0	0	0	0	3	0	0	0	0	0	39	0	0	0	9	0
ASV_1468	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1525	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	51	0
ASV_570	0	2	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0
ASV_959	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_966	0	0	0	0	0	0	5	12	2	0	0	1	0	0	0	0	0	22
ASV_1217	6	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1299	0	0	0	0	0	0	11	3	0	0	0	0	0	0	0	0	0	14
ASV_1496	0	0	0	0	0	0	11	2	0	0	0	1	0	1	0	2	19	0
ASV_1526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0
ASV_819	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1110	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	50
ASV_1453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	44	1
ASV_806	0	0	0	0	0	0	28	2	0	1	0	0	0	1	0	0	0	0
ASV_853	0	0	0	0	0	0	8	6	0	0	9	3	2	0	1	1	0	3
ASV_968	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	16
ASV_1048	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1305	0	0	0	0	0	0	0	7	0	23	0	0	0	4	0	0	0	0
ASV_1441	0	0	0	0	0	0	0	0	9	0	0	1	3	0	0	3	1	0
ASV_1153	0	0	0	0	0	0	28	1	0	0	0	0	0	0	0	0	0	0
ASV_909	2	9	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_945	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1125	4	9	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_877	0	0	0	0	0	0	5	4	0	4	1	2	1	9	3	1	0	7
ASV_962	0	0	2	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1030	0	0	0	0	0	0	19	6	0	0	0	0	0	0	7	0	0	0
ASV_1158	0	0	0	0	0	0	1	2	0	1	0	2	3	0	1	4	0	0
ASV_1166	0	0	0	0	0	0	1	0	0	0	6	0	0	0	19	7	0	5
ASV_887	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0
ASV_1105	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1450	0	0	0	0	0	0	1	1	0	1	0	4	0	26	2	1	1	6
ASV_758	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1184	0	1	0	0	1	0	0	0	0	0	0	0	0	0	5	14	20	1
ASV_1413	0	0	0	0	0	0	6	0	0	17	0	15	0	2	0	3	0	0
ASV_1443	0	0	0	0	0	0	5	0	1	0	0	5	4	13	0	3	0	2
ASV_1520	0	0	0	0	0	0	0	0	0	0	1	24	0	0	0	0	8	4
ASV_967	0	0	0	0	0	0	2	0	1	7	0	20	1	3	2	4	1	1
ASV_1194	0	0	0	0	0	0	2	0	0	0	0	4	18	0	0	7	13	8
ASV_1400	0	0	0	0	0	0	2	0	0	0	0	0	4	3	23	8	9	0
ASV_760	0	0	0	0	0	0	9	23	0	0	0	0	0	0	0	0	0	0
ASV_1185	0	1	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1059	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	38	0	0
ASV_1109	0	0	0	0	0	0	2	21	0	0	0	0	8	0	0	2	0	1
ASV_1502	0	0	0	0	0	0	4	3	0	0	0	34	0	0	0	7	0	0
ASV_977	0	0	0	0	0	0	0	6	0	1	0	25	0	1	0	4	1	0
ASV_983	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1298	0	0	0	0	0	0	1	0	0	1	0	2	12	6	2	7	3	2
