Family	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
Bacteria|Firmicutes|Bacilli|Bacillales|Bacillaceae 2	0.0267475035663338	0	0	0	0.00728650539201399	0	0.151108126259234	0.0171570730033456	0.0844880027036161	0.00862812769628991	0.00799296618975302	0.0174901617839965	0	0	0.00819000819000819	0	0	0.0241429261226461
Bacteria|Firmicutes|Bacilli|Bacillales|Paenibacillaceae 1	0.329885877318117	0.291686922702965	0.540013500337508	2.49118503755941	0.116584086272224	0.530035335689046	1.57824042981867	0.814960967658917	0.346400811084826	0.785159620362381	0.199824154743825	0.594665500655881	0.161178908588533	0.120882441825325	0.229320229320229	0.197581601201296	0.144114077669903	0.144857556735876
Bacteria|Firmicutes|Bacilli|Bacillales|Paenibacillaceae 2	0.0178316690442225	0.0324096580781073	0.0375009375234381	0.0306607389238081	0.014573010784028	0.040154192097655	0.0251846877098724	0.0857853650167281	0	0.00862812769628991	0.00799296618975302	0.00874508089199825	0.00767518612326349	0	0.00819000819000819	0.00790326404805185	0	0.00804764204088202
Bacteria|Firmicutes|Bacilli|Bacillales|Planococcaceae	0.0445791726105563	0.0405120725976341	0.0225005625140629	0.0459911083857121	0.014573010784028	0.032123353678124	0.0755540631296172	0.0171570730033456	0.0506928016221696	0.00862812769628991	0.103908560466789	0.236117184083953	0.015350372246527	0.0226654578422484	0.0245700245700246	0.0158065280961037	0.0303398058252427	0.0321905681635281
Bacteria|Firmicutes|Bacilli|Bacillales|Thermoactinomycetaceae 1	0.00891583452211127	0.0162048290390536	0.0150003750093752	0.00766518473095202	0	0.016061676839062	0	0	0.0337952010814464	0.00862812769628991	0	0.0437254044599913	0	0	0.00819000819000819	0.0237097921441555	0	0.0241429261226461
Bacteria|Firmicutes|Bacilli|Bacillales|Thermoactinomycetaceae 2	0.00891583452211127	0.0162048290390536	0	0.0383259236547601	0	0.008030838419531	0.0083948959032908	0.0514712190100369	0.0506928016221697	0	0.015985932379506	0.0262352426759948	0.00767518612326349	0.0075551526140828	0	0.0237097921441555	0.0151699029126214	0.016095284081764
Bacteria|Firmicutes|Bacilli|Bacillales|Unassigned	0.0356633380884451	0.0648193161562146	0.0225005625140629	0.0536562931166641	0.021859516176042	0.008030838419531	0.0251846877098724	0.102942438020074	0.0253464008110848	0.0258843830888697	0.0559507633282711	0.0524704853519895	0	0	0.0327600327600328	0.0237097921441555	0.00758495145631068	0.0643811363270562
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae 1	0	0.299789337222492	0.0150003750093752	0.00766518473095202	0.00728650539201399	0	0.0335795836131632	0	0.0760392024332545	0	0.00799296618975302	0.00874508089199825	0	0	0	0	0	0.0724287783679382
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae	0	0.121536217792902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0885240624497022
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae	0	0	0.0750018750468762	0.00766518473095202	0.014573010784028	0.016061676839062	0.0251846877098724	0.0257356095050184	0.00844880027036161	0.0345125107851596	0.00799296618975302	0.0612155662439878	0.0383759306163174	0.0302206104563312	0.0327600327600328	0.0316130561922074	0.022754854368932	0.016095284081764
