Order	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
Bacteria|Proteobacteria|Deltaproteobacteria|Desulfuromonadales	0.558191459670667	0.798541793247114	0.581035017043694	0.57609217474796	0.590506472859414	1.33344515263334	1.10471593018938	0.609117731036452	0.57518488085456	1.01845957988542	0.824102791315906	0.729016786570743	1.28161018407019	0.825680343752633	0.895575855274942	0.761970733396831	0.609959893048128	0.764210887858492
Bacteria|Proteobacteria|Deltaproteobacteria|Myxococcales	3.56312215089776	3.39380262130023	2.05299039355438	2.23235717714834	2.04406086759028	3.61455887286146	4.15893056071296	3.04558865518226	2.59289692321738	3.46458124943166	3.40274700930439	3.99040767386091	2.78685704455531	2.40121324458674	3.72559555794376	2.60628625855052	2.91610962566845	2.93663060278207
Bacteria|Proteobacteria|Deltaproteobacteria|Syntrophobacterales	0.0186063819890222	0	0.0154942671211652	0.00800128020483277	0	0	0.00928332714444857	0.0190349290948891	0	0.0272801673183596	0.00886132033673017	0.0191846522781775	0	0.00842530963012891	0.0268672756582483	0.0086587583340549	0.00835561497326203	0.00858663918942126
Bacteria|Proteobacteria|Deltaproteobacteria|Unassigned	0.614010605637734	0.607586147035848	0.294391075302138	0.352056329012642	0.264970853206147	0.670915800067092	0.621982918678054	0.418768440087561	0.365196749748927	0.509229789942712	0.51395657953035	0.700239808153477	0.361259246516429	0.379138933355801	0.662726132903457	0.268421508355702	0.359291443850267	0.729864331100807
Bacteria|Proteobacteria|Gammaproteobacteria|Acidiferrobacterales	0.0186063819890222	0.0173596042010242	0.00774713356058258	0	0	0	0.0278499814333457	0.0571047872846674	0.00912991874372318	0.0363735564244794	0.0354452813469207	0.0191846522781775	0	0.00842530963012891	0.0447787927637471	0.0606113083383843	0	0.0171732783788425
Bacteria|Proteobacteria|Gammaproteobacteria|Cellvibrionales	0.120941482928645	0.0260394063015363	0.0542299349240781	0.0480076812289966	0.0378529790294496	0.0251593425025159	0.111399925733383	0.285523936423337	0.629964393316899	0.381922342457034	0.0443066016836509	0.0383693045563549	0.29244796146568	0.0842530963012891	0.0716460684219953	0.0432937916702745	0.0334224598930481	0.0858663918942126
Bacteria|Proteobacteria|Gammaproteobacteria|Chromatiales	0.148851055912178	0.0867980210051211	0.178184071893399	0.160025604096655	0.113558937088349	0.0838644750083865	0.102116598588934	0.161796897306558	0.118688943668401	0.0909338910611985	0.0974745237040319	0.201438848920863	0.094615516944779	0.101103715561547	0.0985133440802436	0.103905100008659	0.108622994652406	0.214665979735532
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales	0	0	0.00774713356058258	0	0	0	0.686966208689194	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Gammaproteobacteria|Gammaproteobacteria_incertae_sedis	1.38617545818216	1.17177328356913	1.12333436628447	0.920147223555769	1.10530698765993	1.04830593760483	2.14444857036762	1.34196250118968	1.2599287866338	1.39128853323634	1.63048294195835	1.90887290167866	1.19559607775675	1.31434830230011	2.09564750134336	1.51528270845961	1.40374331550802	1.97492701356689
Bacteria|Proteobacteria|Gammaproteobacteria|Nevskiales	3.64685086984836	3.41984202760177	2.47133560582584	2.52840454472716	1.24157771216595	2.74236833277424	5.00371333085778	3.3311125916056	3.76152652241395	3.00991179412567	4.09392999556934	4.46043165467626	2.82986409771202	3.41225040020221	4.43310048361096	4.19083903368257	3.15006684491979	4.6024386055298
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales	0.427946785747511	0.2864334693169	0.278896808180973	0.336053768602976	1.40813081989553	0.385776585038578	0.90976606015596	2.33177881412392	0.520405368392221	2.32790761116668	1.32919805050953	2.15827338129496	0.318252193359711	0.31173645631477	0.573168547375963	0.380985366698415	1.05280748663102	0.661171217585437
Bacteria|Proteobacteria|Gammaproteobacteria|Unassigned	0.139547864917667	0.130197031507682	0.116207003408739	0.160025604096655	0.219547278370808	0.12579671251258	0.204233197177869	0.133244503664224	0.136948781155848	0.200054560334637	0.168365086397873	0.105515587529976	0.249440908308963	0.219058050383352	0.15224789539674	0.129881375010823	0.192179144385027	0.180319422977846
Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonadales	2.08391478277049	1.58840378439372	2.23892159900837	2.61641862698032	2.6269967446438	3.06943978530694	1.66171555885629	1.72266108308747	2.10901122980005	1.83686459943621	3.1723526805494	2.44604316546763	1.72888353690005	2.13160333642261	2.3374529822676	2.54567495021214	2.2225935828877	2.69620470547828
Bacteria|Proteobacteria|Oligoflexia|Bacteriovoracales	0.0837287189506001	0.138876833608194	0.294391075302138	0.176028164506321	0.552653493829964	0.234820530023482	0.167099888600074	0.199866755496336	0.136948781155848	0.327362007820315	0.230394328754985	0.0767386091127098	0.240839497677619	0.598196983739152	0.143292136843991	0.181833925015153	0.309157754010695	0.0944530310836339
Bacteria|Proteobacteria|Unassigned|Unassigned	0.372127639780445	0.433990105025605	0.0774713356058259	0.216034565530485	0.302823832235597	0.419322375041932	0.399183067211289	0.295041400970781	0.264767643567972	0.227334727652996	0.159503766061143	0.249400479616307	0.696714261138827	0.244333979273738	0.286584273687981	0.190492683349208	0.350935828877005	0.352052206766272
Bacteria|Spirochaetes|Spirochaetia|Spirochaetales	0.0651223369615778	0.0260394063015363	0.092965602726991	0.104016642662826	0.121129532894239	0.0838644750083864	0.111399925733383	0.123727039116779	0.127818862412125	0.209147949440757	0.159503766061143	0.0959232613908873	0.0946155169447789	0.176931502232707	0.134336378291241	0.164516408347043	0.0584893048128342	0.20607934054611
Bacteria|Unassigned|Unassigned|Unassigned	0.465159549725556	0.65966495963892	0.526805082119616	0.496079372699632	0.492088727382845	0.49480040254948	0.538432974378017	0.561530408299229	0.566054962110837	0.372828953350914	0.425343376163048	0.489208633093525	0.490280405986582	0.522369197067992	0.573168547375963	0.458914191704909	0.609959893048128	0.429331959471063
Bacteria|Verrucomicrobia|Opitutae|Opitutales	0.00930319099451112	0.00867980210051211	0.0154942671211652	0.0160025604096655	0.0227117874176698	0.0251593425025159	0.0278499814333457	0.0285523936423337	0.100429106180955	0.0818405019550787	0.150642445724413	0.23021582733813	0.129021159470153	0.0842530963012891	0.143292136843991	0.0779288250064941	0.0584893048128342	0.0515198351365276
