class	phylum	superkingdom	E1.filtered.qc-renamed	E2.filtered.qc-renamed	E3.filtered.qc-renamed	E4.filtered.qc-renamed	E5.filtered.qc-renamed	E6.filtered.qc-renamed	E7.filtered.qc-renamed	N1.filtered.qc-renamed	N2.filtered.qc-renamed	O1.filtered.qc-renamed	O2.filtered.qc-renamed	S1.filtered.qc-renamed
BSN033	Desulfobacterota	Bacteria		0.0055702105166283	0.0909090909090909	0.0017035775127768	0.0454545454545454	0.0683627929629326			0.0196078431372549	0.024	0.0078740157480314	
Babeliae	Babelota	Bacteria	0.0601171437084863	0.0111955757954234	0.0187165775401069	0.0085178875549317		0.0077574432186126		0.0166669953768868	0.1764705882352941	0.0320000001258053	0.0787401574803146	0.0701122594329936
Bacilli	Bacillota	Bacteria	13.974374164696377	56.181420247355334	50.06977507474824	24.931328854821363	22.45662264935123	43.31408910161464	36.84161424714781	51.72504216212655	116.1013421331814	33.51530924171859	47.93702371301481	43.0207464037753
Bacteriovoracia	Bdellovibrionota	Bacteria	0.0200219070638925	0.058931019299100496	0.1506699638975069	0.0545144804039172	0.0568181818181817	0.1658212590224972	0.22728933586584832	0.2416666666666813	0.2549019607843137	0.16400366647921782	0.1614178523767985	0.06976214624901719
Bacteroidia	Bacteroidota	Bacteria	10.966991631489666	47.41703311325715	43.85258518359486	20.35011554670565	16.856710065127103	32.52897459690538	30.343128028076475	43.74677967363409	93.15840329639069	27.508074371451873	40.39333787064265	34.48554639584225
Bdellovibrionia	Bdellovibrionota	Bacteria	0.0464327181904531	0.1227697371744254	0.2645307699080887	0.0425948543203891	0.10227272727272721	0.0853179450246669	0.11364743603177771	0.1583336620435633	0.27450980392156865	0.1362137802938523	0.3385833832215581	0.14647531449554468
Binatia	Desulfobacterota_B	Bacteria	0.0658844953370869	0.169817888063275	0.1806688472903362	0.0425894378323844	0.045454545454545296	0.1239628054641197	0.2045675993362827	0.3499999999999881	0.45098039215686275	0.1524265015568089	0.1574804914746803	0.1050213837643954
Bipolaricaulia	Bipolaricaulota	Bacteria	0.0727485076641373	0.0864044894444482	0.1395061049434059	0.018739352651502998	0.045454545454545296	0.0982477776385233	0.0909090909090908	0.0083333333333333	0.058823529411764705	0.036000000125806605	0.0826778714105354	0.0993055031747902
Blakebacteria	Blakebacterota	Bacteria		0.0028390298344205	0.0160427807486631							0.0040000001258077	0.0354330708661417	
Blastocatellia	Acidobacteriota	Bacteria	0.0727485076641373	0.47557216027374416	0.3706509340648645	0.078254856290067	0.08074644064406239	0.2658857785313735	0.2045527064500278	0.34062052630757544	0.7647058823529411	0.2088158487224743	0.3582682460775852	0.3232354890956844
Brachyspiria	Spirochaetota	Bacteria	0.0329897584949817	0.2218765252809923	0.0762156599791739	0.0817717206152935	0.1136363636363635	0.2266750761600298	0.090920163304505	0.1583333333333431	0.47058823529411764	0.1286266775143893	0.133858444230586	0.1710654483388669
Bradymonadia	Myxococcota	Bacteria	0.0328947368421052	0.1506086688270474	0.0267379679144384	0.0647359454855195	0.1136363636363635	0.1161290614358283	0.0681873543795252	0.0916666666666715	0.058823529411764705	0.0400036665904223	0.0236220472440943	0.0283018867924527
Brevinematia	Spirochaetota	Bacteria		0.1030640668523676	0.0133689839572192	0.0545144804088586	0.1022727272727272	0.1108742004264392				0.008		
Brocadiia	Planctomycetota	Bacteria	0.0528216222531213	0.20212751529062079	0.1210951205884693	0.0306095405821524	0.0233277657765767	0.0341583866771474	0.09091548496023111	0.1828109205742463	0.2549019607843137	0.0722101156410217	0.110236573500543	0.1333190221180971
CADDZG01	Actinomycetota	Bacteria	0.013347938042595	0.0245851670723697	0.0056411529263612	0.0034071550255536		0.0215375573524421			0.09803921568627451	0.0082064464839714	0.0433074396422755	0.0779546383798478
