order	class	phylum	superkingdom	E1.filtered.qc-renamed	E2.filtered.qc-renamed	E3.filtered.qc-renamed	E4.filtered.qc-renamed	E5.filtered.qc-renamed	E6.filtered.qc-renamed	E7.filtered.qc-renamed	N1.filtered.qc-renamed	N2.filtered.qc-renamed	O1.filtered.qc-renamed	O2.filtered.qc-renamed	S1.filtered.qc-renamed
2-12-FULL-60-25	Patescibacteriia	Patescibacteriota	Bacteria		0.0028390298344205	0.0187165775401069	0.0068143100421549		0.0077574432186126	0.0454545454545454		0.0392156862745098	0.0200000012833141	0.0708661417322831	0.0283050511551603
2-12-FULL-62-27	2-12-FULL-62-27	Lindowbacteria	Bacteria										0.004		
20CM-2-55-15	Terriglobia	Acidobacteriota	Bacteria				0.0051107325383304		0.0385308760030931	0.0227272727272727			0.0119963332281676	0.0236220472440943	0.0094339622641509
21-64-14	Gammaproteobacteria	Pseudomonadota	Bacteria									0.0196078431372549			
32-111	32-111	WOR-3	Bacteria		0.0055702105166283	0.0967253562803044	0.0034071550275594	0.0454545454545454	0.0127589385745555			0.0392156862745098	0.024	0.0078740157480314	
43-37	Alphaproteobacteria	Pseudomonadota	Bacteria								0.0083333333333333				
4484-113	4484-113	4484-113	Bacteria		0.0028390298344205	0.0160427807486631							0.0040000001258077	0.0511811023622046	0.0188679245283018
4484-211	4484-211	Patescibacteriota	Bacteria		0.0028390298344205	0.0160427807486631							0.0040000001258077	0.0354330708661417	
4572-55	4572-55	4572-55	Bacteria											0.0039370078740157	
4572-78	Anaerolineae	Chloroflexota	Bacteria						0.0042643923240938			0.058823529411764705	0.0240000023150127		0.0377421777820188
9FT-COMBO-53-11	WWE3	Patescibacteriota	Bacteria									0.0196078431372549			
AB16	AB16	Marinisomatota	Bacteria	0.0132529163897185	0.024638681586456	0.024357730466468098	0.0017035775127768		0.0151409688663014		0.0416666666666352	0.058823529411764705	0.012206446609779101	0.0551182867502716	0.0389773191899239
AC-67	AC-67	Actinomycetota	Bacteria	0.0132529163897185			0.0017035775127768		0.0063965884861407		0.0416666666666352	0.0196078431372549		0.003937184388067	0.0201093946616221
AC1	AC1	Edwardsbacteria	Bacteria									0.0392156862745098		0.0039370078740157	
AKS1	Gammaproteobacteria	Pseudomonadota	Bacteria												0.0188679245283018
AKYH767-A	Bacteroidia	Bacteroidota	Bacteria	0.0725584643583844	0.3555277461429507	0.37568090062088505	0.103918228308249	0.2159090909090905	0.2565104133674022	0.11364743603177771	0.2083336620435318	0.3529411764705882	0.1526230071442404	0.1456696443666842	0.115693651799159
ARS1246	Spirochaetia	Spirochaetota	Bacteria									0.0196078431372549			
ARS69	ARS69	ARS69	Bacteria		0.0027855153203342								0.0039999999999988		
ATCC43930	Alphaproteobacteria	Pseudomonadota	Bacteria	0.026505832779437098	0.14744571172424709	0.0654020259147774	0.0698466780278615	0.1022727272727272	0.1847262794395511	0.0454600816522525	0.0750000000000049	0.21568627450980393	0.056206446554176705	0.110236573500543	0.059086713851546
ATN3	Acidimicrobiia	Actinomycetota	Bacteria			0.0058162653712135	0.0017035775147826					0.0392156862745098			
Abditibacteriales	Abditibacteriia	Armatimonadota	Bacteria									0.0392156862745098		0.0039370078740157	
Absconditabacterales	JAEDAM01	Patescibacteriota	Bacteria	0.006578947368421	0.1550138696124934	0.0967373901220012	0.0237952305220928	0.0233277657765767	0.010859019209835001	0.0454554033079786	0.0828102631538011	0.11764705882352941	0.0040000001258077	0.0511811023622046	0.0553580550128341
Acanthopleuribacterales	Holophagae	Acidobacteriota	Bacteria	0.0131578947368421	0.0027855153203342							0.0392156862745098			
Acetivibrionales	Clostridia	Bacillota	Bacteria	0.013347938042595	0.0027855153203342		0.0136286201022144		0.0577206418649525	0.0227272727272727		0.1568627450980392	0.031996334385671496	0.0393704317682597	0.0685238404784045
Acetobacterales	Alphaproteobacteria	Pseudomonadota	Bacteria	0.1725729780249705	0.8021229304768333	0.7279903848813954	0.187283817117812	0.19438280428042579	0.46502835521232677	0.6136823689248861	0.8739548457716348	1.9803921568627452	0.5302929115098475	0.7165382572963387	0.7060576589974131
Acholeplasmatales	Bacilli	Bacillota	Bacteria	0.0794224766854348	0.2055986309310679	0.194331390591029	0.0562180579256465	0.045454545454545296	0.2793754788573481	0.2045675993362827	0.34166699537690626	0.9803921568627451	0.18863033941919502	0.3542009143090557	0.2703614584255343
Acidaminococcales	Negativicutes	Bacillota	Bacteria	0.5931505013395355	0.8304537466272814	0.6950481548556384	0.2110736311387894	0.365437842784275	0.4715468470621553	0.5000413269442487	0.8900977848382927	0.9827214214156578	0.3122247816398883	0.3188995794498373	0.5099253444757222
Acidiferrales	Terriglobia	Acidobacteriota	Bacteria	0.0397587491691556	0.24894329041157848	0.11557241456072931	0.035720273118477	0.034691402140213	0.045034963219355	0.1136427576875038	0.1911435964871392	0.43137254901960786	0.0604165608416779	0.1338587972586886	0.1817271392094643
Acidiferrobacterales	Gammaproteobacteria	Pseudomonadota	Bacteria	0.039663727516279196	0.2692191776221578	0.3962026307637123	0.0408310056767179	0.1369641294129401	0.0627688301492261	0.0454554033079786	0.0828102631538011	0.2745098039215686	0.0520000001258077	0.0748035026344014	0.1050108066002292
Acidimicrobiales	Acidimicrobiia	Actinomycetota	Bacteria	0.6428653782445966	2.693634240858145	2.3662939934129765	0.6214109766187653	0.947385269526945	1.6644554893289356	1.5455546657895967	2.3218632224739943	4.529411764705882	1.3439738854683483	2.4606369818218647	1.9884380045917043
Acidithiobacillales	Gammaproteobacteria	Pseudomonadota	Bacteria	0.059400569621542304	0.24209791267210648	0.1604398413283276	0.0476453156989625	0.0460550385038493	0.0415489753723306	0.1818356482647361	0.31614359648714907	0.19607843137254902	0.1080110025895101	0.1889767309808579	0.1710548711747007
Acidothermales	Actinomycetes	Actinomycetota	Bacteria											0.0157480314960629	0.0094339622641509
Acidulodesulfobacterales	SZUA-79	SZUA-79	Bacteria	0.019831863758139598	0.0854786462091419	0.1070703185563751	0.0068197265520759	0.0568181818181818	0.0409429185428373	0.0227272727272727	0.0250003287102201	0.21568627450980393	0.0644128954087629	0.0787403339943659	0.0861534592360936
Actinomarinales	Acidimicrobiia	Actinomycetota	Bacteria	0.026505832779437098	0.093982115189131	0.1454408172132406	0.0204429301553276	0.0454545454545454	0.0632211104508757	0.0454600816522525	0.0916669953768917	0.23529411764705882	0.07241655968417281	0.1181105892485744	0.1062565251723005
Actinomycetales	Actinomycetes	Actinomycetota	Bacteria	1.9750366763049838	8.409962666457162	7.997130965119948	2.2749759240404104	3.5789906930692843	5.905909269098712	4.682160258844693	6.943289251325524	14.002329264552912	4.376462837824203	5.842537689472623	5.335961970127097
Adiutricales	Desulfarculia	Desulfobacterota	Bacteria	0.006578947368421	0.035918069882704295	0.008314949717805	0.0068143100511073		0.0139992413895498	0.0454600816522525	0.1166666666666401	0.058823529411764705	0.0282101130743937	0.0354330708661415	0.0377358490566036
Aeolococcales	Dormibacteria	Chloroflexota	Bacteria	0.0792324333796819	0.1001097924372172	0.0274881652045408	0.0290156723690478	0.0340961377344869	0.0781164713372057	0.0681873543795252	0.1083333333333382	0.11764705882352941	0.0482064463025613	0.08267769489648391	0.0980640330414699
Aerophobales	Aerophobia	Aerophobota	Bacteria								0.0083333333333333	0.0392156862745098			
Aggregatilineales	Anaerolineae	Chloroflexota	Bacteria	0.0922002848107711	0.3736696820010701	0.3373224358057165	0.0425345831854831	0.102873220322031	0.14690819623519819	0.090909948762524	0.1161439251973545	0.29411764705882354	0.12461200847487751	0.1574804914746804	0.1603794387772295
Alicyclobacillales	Bacilli	Bacillota	Bacteria		0.0274777114208765	0.0377267144236874	0.0017035775127768	0.0113636363636363	0.010876576542207599		0.0083333333333333	0.11764705882352941	0.0242064478930931	0.1102362204724406	0.0471729756834621
Aminicenantales	Aminicenantia	Acidobacteriota	Bacteria	0.026505832779437098	0.0696913975224425	0.1341585113605182	0.0306643952230361	0.034090909090909	0.2249703728525027	0.0227272727272727		0.1568627450980392	0.0200000001258065	0.0708664947603856	0.0402187893232442
Anaeroferrophillales	Anaeroferrophillalia	Desulfobacterota	Bacteria											0.0039370078740157	
Anaerolineales	Anaerolineae	Chloroflexota	Bacteria	0.179056903740515	0.7040092337776358	0.5252264328365952	0.2521294718960576	0.29545454545454497	0.6149694067412023	0.4091296624748583	0.6333333333333045	1.6689959312195792	0.45029031117222623	0.6889789033331878	0.622411458719
Anaeromusales	Negativicutes	Bacillota	Bacteria				0.0017035775127768			0.0227272727272727					
Anaerosomatales	Coriobacteriia	Actinomycetota	Bacteria	0.0066739690212975	0.022474143967631297	0.0935828877005347	0.0153321976149913	0.0454545454545454	0.0629412640731784	0.0681873543795252	0.0833333333333382	0.0392156862745098	0.0599999998185887	0.039370255254208404	0.0484112814540748
Ancaeobacterales	Ancaeobacteria	JAKLEM01	Bacteria		0.0055702105166283	0.0909090909090909	0.0017035775127768	0.0454545454545454	0.0127589385745555				0.024	0.0078740157480314	
Aneurinibacillales	Bacilli	Bacillota	Bacteria		0.0084092403510488	0.1127681370289675	0.0034071550275594	0.0454545454545454	0.0212877232227431			0.0784313725490196	0.036000001283314	0.043307086614173096	0.0188710888910094
Aquicultorales	Aquicultoria	Actinomycetota	Bacteria	0.0066739690212975			0.0017035775127768		0.0063965884861407					0.007874192262082701	0.0201093946616221
Aquificales	Aquificia	Aquificota	Bacteria	0.0662645819485927	0.2830500131761335	0.2558287167942376	0.0902896081901356	0.1931818181818179	0.2115487100585888	0.090920163304505	0.19166666666667628	0.43137254901960786	0.13262667263275651	0.102363087294665	0.1665847091571668
Aquiviventales	Koll11	Omnitrophota	Bacteria		0.0464383333384915	0.027325086601385502	0.0051107325293781		0.025246203978933998		0.0166666666666666	0.09803921568627451	0.024412893093750502	0.043307086614173096	0.0283018867924527
Ardenticatenales	Anaerolineae	Chloroflexota	Bacteria		0.035918069882704295	0.008314949717805	0.0068143100511073		0.0139992413895498	0.0454600816522525	0.0750000000000049	0.0392156862745098	0.0282101130743937	0.011811023622047102	0.0094339622641509
Arenicellales	Gammaproteobacteria	Pseudomonadota	Bacteria	0.039663727516279196	0.5614326176885196	0.3463052374400933	0.0764964241185019	0.0699832973297301	0.1769359783237117	0.204553564303461	0.3400974561280748	0.5490196078431372	0.1286120087966969	0.29133893570526687	0.2534690944079162
Armatimonadales	Armatimonadia	Armatimonadota	Bacteria		0.0197964777995098	0.03475935828877	0.0068143100511073		0.0052548610093891	0.0454600816522525	0.0750000000000049	0.0392156862745098	0.0360036668420365	0.08267716535433049	
Atribacterales	Atribacteria	Atribacterota	Bacteria	0.0197368421052631	0.0306406685236768	0.0106951871657754		0.0113636363636363			0.0083333333333333	0.0196078431372549	0.008	0.0039370078740157	
Auribacterales	Auribacteria	Auribacterota	Bacteria		0.1030640668523676	0.0133689839572192	0.0545144804088586	0.1022727272727272	0.1108742004264392				0.008		
Australimonadales	Dehalococcoidia	Chloroflexota	Bacteria									0.0196078431372549		0.0039370078740157	0.0188679245283018
Azospirillales	Alphaproteobacteria	Pseudomonadota	Bacteria	0.0200219070638925	0.1313776341551389	0.102072949863192	0.0766609880769629	0.1022727272727272	0.1374510234597346	0.0909146271067979	0.09218940813598339	0.11764705882352941	0.0680036672194597	0.22834698623506658	0.0603281839848663
B-17B0	Bacteroidia	Bacteroidota	Bacteria	0.0197368421052631	0.138951838748333	0.075628541292227	0.057921635436418	0.1022727272727272	0.16241384913378681		0.0416666666666352	0.27450980392156865	0.0762027812470693	0.12204724409448789	0.0471761400461697
B129-G9	B129-G9	Planctomycetota	Bacteria		0.0028390298344205	0.0160427807486631							0.0040000001258077	0.0354330708661417	
B13-G15	B13-G15	Desulfobacterota	Bacteria											0.0039370078740157	
B142	Dojkabacteria	Patescibacteriota	Bacteria			0.0026737967914438	0.0034071550255536		0.0021321965654842			0.0392156862745098	0.004	0.0039370078740157	
B15-G9	Hydrothermia	WOR-3	Bacteria		0.1030640668523676	0.0133689839572192	0.0545144804088586	0.1022727272727272	0.1108742004264392			0.0196078431372549	0.008		
B1SED10-174	Halanaerobiia	Bacillota	Bacteria			0.0026737967914438								0.0039370078740157	
B21-G16	SM23-31	SM23-31	Bacteria	0.006578947368421							0.0416666666666352				
B22-G15	Caldisericia	Caldisericota	Bacteria									0.0196078431372549	0.004		
B231	Cyanobacteriia	Cyanobacteriota	Bacteria									0.0196078431372549			
B3-TA06	WOR-3	WOR-3	Bacteria									0.0196078431372549			
B30-G16	UBA6098	UBP14	Bacteria				0.0017035775127768		0.0385308760030931				0.0119963332281676	0.011811023622047102	0.0094339622641509
B36-G15	WOR-3	WOR-3	Bacteria									0.0196078431372549	0.0080000011575063		0.0188710888910094
B4-G1	Anaerolineae	Chloroflexota	Bacteria	0.02669587608519	0.17754152809421098	0.208568183574317	0.035720273118477	0.0687823112311221	0.055230514571354694	0.09091548496023111	0.1833330046231178	0.09803921568627451	0.0600036668420377	0.118110942276677	0.1169277091310207
B48-G9	UBA8468	Ratteibacteria	Bacteria	0.0066739690212975	0.0141184181306688	0.0169801243253146	0.0153321976190029		0.011651449495529799	0.0681873543795252	0.0750000000000049	0.1764705882352941	0.0480047292448847	0.027559055118128	0.0672855347077918
B62-G9	B62-G9	Spirochaetota	Bacteria	0.0131578947368421	0.0501392757660167	0.1042780748663101	0.0085178875728364	0.034090909090909	0.0170575693055834			0.0196078431372549	0.012		
B64-G9	B64-G9	Myxococcota	Bacteria		0.0141184181306688	0.0026737967914438	0.0068143100511073		0.0052548610093891	0.0454600816522525	0.0750000000000049	0.0196078431372549	0.0200036665904223	0.0078740157480314	
BD1-5	JAEDAM01	Patescibacteriota	Bacteria		0.07551102548172389	0.0836499316665585	0.0238500851808813		0.0630398394114211	0.1363802449567575	0.2250000000000147	0.13725490196078433	0.1002137799866367	0.2165354330708652	0.0188679245283018
BM002	Syntrophobacteria	Desulfobacterota	Bacteria									0.058823529411764705		0.0039370078740157	0.0188679245283018
BM003	Gammaproteobacteria	Pseudomonadota	Bacteria			0.0058162653712135	0.0017035775147826					0.0392156862745098			
BMS3ABIN01	Thermoleophilia	Actinomycetota	Bacteria	0.0131578947368421	0.0501392757660167	0.10695187165775391	0.01192504259839	0.034090909090909	0.0234541581951614			0.0392156862745098	0.016	0.0039370078740157	
BMS3Abin14	BMS3Abin14	BMS3Abin14	Bacteria	0.0131578947368421	0.0501392757660167	0.1042780748663101	0.0085178875728364	0.034090909090909	0.0170575693055834			0.0196078431372549	0.016		
BMS3Bbin11	Gammaproteobacteria	Pseudomonadota	Bacteria								0.0083333333333333			0.0118110236220472	0.0094339622641509
BNTO01	Alphaproteobacteria	Pseudomonadota	Bacteria			0.0058162653712135	0.0017035775147826					0.0784313725490196			
BOG-932	Alphaproteobacteria	Pseudomonadota	Bacteria								0.0083333333333333				
BSN033	BSN033	Desulfobacterota	Bacteria		0.0055702105166283	0.0909090909090909	0.0017035775127768	0.0454545454545454	0.0127589385745555				0.024	0.0078740157480314	
Babelales	Babeliae	Babelota	Bacteria	0.0601171437084863	0.0111955757954234	0.0187165775401069	0.0085178875549317		0.0077574432186126		0.0166669953768868	0.1764705882352941	0.0320000001258053	0.0787401574803146	0.0701122594329936
Bac17	Fusobacteriia	Fusobacteriota	Bacteria									0.0196078431372549			
Bacillales	Bacilli	Bacillota	Bacteria	1.3444584553213914	6.660473642114968	5.25749601565443	2.6257667409049708	2.759007395739556	4.448542283630439	3.8392067698804975	5.452062407963158	11.901393885963305	3.410259489604587	5.007890078526744	4.815392289482844
Bacillales_A	Bacilli	Bacillota	Bacteria	0.0993493620964509	0.4080835779978931	0.3196127363928437	0.15843270869827308	0.1363636363636362	0.4056551717336698	0.45457867173169664	0.5166679815075765	1.2941176470588236	0.3212533469408562	0.5196862749684351	0.36718718569639147
Bacillales_B	Bacilli	Bacillota	Bacteria	0.1590349966766226	0.7844793792816023	0.986455961779332	0.1890422493251871	0.3869641294129397	0.5251652467163118	0.2500230026442613	0.441143925197374	1.5294117647058822	0.4216562978534803	0.5236239888986735	0.5042211251263267
Bacillales_C	Bacilli	Bacillota	Bacteria									0.058823529411764705		0.0196850393700786	0.0094339622641509
Bacillales_D	Bacilli	Bacillota	Bacteria	0.0594955912744187	0.3029186667724221	0.1804817010037871	0.11589812551171359	0.18182341046175948	0.4094925290885929	0.22729487206355542	0.3666673240871265	0.5294117647058824	0.2086266713640473	0.1732288759988455	0.1357998820980735
Bacillales_E	Bacilli	Bacillota	Bacteria								0.0083333333333333			0.0039370078740157	
Bacillales_G	Bacilli	Bacillota	Bacteria	0.0131578947368421	0.0245851670723697	0.0056411529263612	0.0017035775127768		0.0472752563832538	0.0227272727272727		0.09803921568627451	0.0322027808696364	0.0196850393700785	0.0283050511551603
Bacillales_H	Bacilli	Bacillota	Bacteria	0.0465277398433296	0.052978305600437196	0.134627183148844	0.023850085191839197	0.034090909090909	0.0490405117362869	0.0227272727272727	0.0083333333333333	0.1764705882352941	0.0520000012833116	0.1023630872946654	0.1477199489915726
Bacillales_K	Bacilli	Bacillota	Bacteria		0.0141184181306688	0.0026737967914438	0.0068143100511073		0.0052548610093891	0.0454600816522525	0.0750000000000049		0.0240036665904221	0.0314960629921258	0.0188679245283018
Bacteriovoracales	Bacteriovoracia	Bdellovibrionota	Bacteria	0.0200219070638925	0.058931019299100496	0.1506699638975069	0.0545144804039172	0.0568181818181817	0.1658212590224972	0.22728933586584832	0.2416666666666813	0.2549019607843137	0.16400366647921782	0.1614178523767985	0.06976214624901719
Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	8.421042135625884	37.16860905902465	34.13897427033842	17.576111953651036	13.355458118811784	25.183523878889602	23.569867874040355	33.38995461638402	71.00950207166534	21.1612468263761	30.912988193515226	26.06132074444691
Balneolales	Rhodothermia	Bacteroidota_A	Bacteria	0.0200219070638925	0.08313874458900429	0.0647582416815993	0.0255536626916522		0.0514526405616155	0.1363747087590504	0.1500000000000098	0.5686274509803921	0.1004202299987295	0.1811028917468775	0.1546772997144981
Bdellovibrionales	Bdellovibrionia	Bdellovibrionota	Bacteria	0.0464327181904531	0.1227697371744254	0.2645307699080887	0.0425948543203891	0.10227272727272721	0.0853179450246669	0.11364743603177771	0.1583336620435633	0.27450980392156865	0.1362137802938523	0.3385833832215581	0.14647531449554468
Beggiatoales	Gammaproteobacteria	Pseudomonadota	Bacteria	0.013347938042595	0.0028390298344205	0.0160427807486631	0.0034071550255536		0.0127931769722814			0.0392156862745098	0.012000000125807802	0.043307439642275694	0.059086713851546
Bin125	Dehalococcoidia	Chloroflexota	Bacteria		0.022474964091671497	0.0084900621626573	0.0204429301463753		0.0236732850382362	0.0454600816522525	0.0750000000000049	0.09803921568627451	0.028003666590422402	0.011811023622047102	
Bin18	Binatia	Desulfobacterota_B	Bacteria		0.0217996517520355	0.0056411529263612			0.0087443803801607			0.0392156862745098	0.0082064464839714	0.0078740157480314	0.0094339622641509
Bin65	Alphaproteobacteria	Pseudomonadota	Bacteria	0.0066739690212975	0.1521748397780729	0.0748783440021246	0.0186844979907089	0.0233277657765767	0.0094981644773631	0.0454554033079786	0.09114359648713441	0.0392156862745098	0.004	0.007874192262082701	0.0565995251461544
Bin95	Alphaproteobacteria	Pseudomonadota	Bacteria	0.0066739690212975			0.0102214650677085		0.0526849077078464	0.0227272727272727		0.0392156862745098	0.0159963332281676	0.0157482080101141	0.0201093946616221
Binatales	Binatia	Desulfobacterota_B	Bacteria	0.019831863758139598	0.022474964091671497	0.0053475935828876	0.0102214650766609	0.0113636363636363	0.06725530388390691	0.0681873543795252	0.0750000000000049	0.1764705882352941	0.048002608565983804	0.0157482080101141	0.0672855347077918
Bipolaricaulales	Bipolaricaulia	Bipolaricaulota	Bacteria	0.0330847801478581	0.0306406685236768	0.0165114525369889	0.0051107325403362	0.0113636363636363	0.0127931769722814	0.0227272727272727		0.058823529411764705	0.008	0.023622400272196902	0.059086713851546
Blakebacterales	Blakebacteria	Blakebacterota	Bacteria		0.0028390298344205	0.0160427807486631							0.0040000001258077	0.0354330708661417	
Borreliales	Spirochaetia	Spirochaetota	Bacteria	0.1647588533306876	0.2640747760612514	0.2287971895363255	0.7952599838593812	0.1590909090909089	0.3670957476573835	0.3636585084271917	0.34166699537690626	0.783746827139775	0.18842022616338922	0.2598432257412429	0.2209903688743135
Brachyspirales	Brachyspiria	Spirochaetota	Bacteria	0.0329897584949817	0.2218765252809923	0.0762156599791739	0.0817717206152935	0.1136363636363635	0.2266750761600298	0.090920163304505	0.1583333333333431	0.47058823529411764	0.1286266775143893	0.133858444230586	0.1710654483388669
Bradymonadales	Bradymonadia	Myxococcota	Bacteria	0.0131578947368421	0.016903933451003	0.0026737967914438	0.0068143100511073		0.0052548610093891	0.0454600816522525	0.0750000000000049	0.0196078431372549	0.0240036665904223	0.0196850393700786	0.0094339622641509
Brevibacillales	Bacilli	Bacillota	Bacteria	0.026505832779437098	0.11905257319617969	0.15393087937589792	0.0272572402173929	0.034090909090909	0.10391842142638709	0.0454600816522525	0.0750000000000049	0.39215686274509803	0.1124128975423657	0.0984255498784956	0.1723069184721872
Brevinematales	Brevinematia	Spirochaetota	Bacteria		0.1030640668523676	0.0133689839572192	0.0545144804088586	0.1022727272727272	0.1108742004264392				0.008		
Brocadiales	Brocadiia	Planctomycetota	Bacteria	0.0528216222531213	0.20212751529062079	0.1210951205884693	0.0306095405821524	0.0233277657765767	0.0341583866771474	0.09091548496023111	0.1828109205742463	0.2549019607843137	0.0722101156410217	0.110236573500543	0.1333190221180971
Bryobacterales	Terriglobia	Acidobacteriota	Bacteria	0.0399487924749085	0.1360374789641453	0.1814310784221356	0.045996592842039	0.0113636363636363	0.0817381098179655	0.1818347904113029	0.3416669953768698	0.8235294117647058	0.16463034254465542	0.4527567880820657	0.2514966982599401
Buchananbacterales	Patescibacteriia	Patescibacteriota	Bacteria								0.0166666666666666	0.0392156862745098			
Burkholderiales	Gammaproteobacteria	Pseudomonadota	Bacteria	4.2138888880208	18.05633111146295	17.027459990398867	6.762044103616863	7.657386121732842	12.591007774804531	9.455234286942751	13.85788278393676	33.15749131459969	9.851000587635836	13.73626130137049	13.179383485036988
C00003060	Desulfobacteria	Desulfobacterota	Bacteria	0.0264108111265606	0.0833967005152119	0.0194667748302093	0.0170906297796102	0.0227325013708506	0.0203958298756905	0.0681873543795252	0.10000000000000489	0.058823529411764705	0.0282101130743937	0.0157482080101141	0.0389773191899239
CACIAM-22H2	Alphaproteobacteria	Pseudomonadota	Bacteria	0.0066739690212975	0.0083565459610027		0.008517887563884101		0.0170575692963752		0.0083333333333333	0.0196078431372549		0.003937184388067	0.0201093946616221
CACIAM-69d	Cyanobacteriia	Cyanobacteriota	Bacteria											0.0039370078740157	
CACJXQ01	Gammaproteobacteria	Pseudomonadota	Bacteria								0.0083333333333333				
CACTJB01	Gammaproteobacteria	Pseudomonadota	Bacteria		0.024638681586456	0.0216839336750243			0.0087443803801607			0.0392156862745098	0.012206446609779101	0.043307086614173096	0.0283018867924527
CADAEX01	Spirochaetia	Spirochaetota	Bacteria		0.1248637186044031	0.0190101368835804	0.0545144804088586	0.1022727272727272	0.1196185808065999			0.058823529411764705	0.0162064464839714	0.0039370078740157	0.0094339622641509
CADDZG01	CADDZG01	Actinomycetota	Bacteria	0.013347938042595			0.0034071550255536		0.0127931769722814			0.0196078431372549		0.0314964160202284	0.0685206761156969
CADEGL01	Alphaproteobacteria	Pseudomonadota	Bacteria											0.0039370078740157	
CAIKAF01	Bacteroidia	Bacteroidota	Bacteria									0.0196078431372549	0.0080000000000001	0.0078740157480314	
CAIKKV01	Kiritimatiellia	Verrucomicrobiota	Bacteria	0.0066739690212975	0.0028390298344205	0.0218590461198766	0.006814310053113		0.0063965884861407	0.0227272727272727		0.0392156862745098	0.0040000001258077	0.039370255254208696	0.0201093946616221
CAILAD01	Saccharimonadia	Patescibacteriota	Bacteria		0.0028390298344205	0.0160427807486631		0.0113636363636363				0.0196078431372549	0.0040000001258077	0.0354330708661417	
CAILMK01	Bacteroidia	Bacteroidota	Bacteria	0.0066739690212975	0.0169574479650893	0.0187165775401069	0.008517887563884101		0.011651449495529799	0.0454600816522525	0.0750000000000049		0.024003666716230002	0.0511812788762558	0.0201093946616221
