PathwayL2	feces1	feces2	feces3	feces4	feces5	feces6	plaque1	plaque2	plaque3	plaque4	plaque5	plaque6	saliva1	saliva2	saliva3	saliva4	saliva5	saliva6
Nucleotide_metabolism	345771.27	282877.12	492446.9	322259.27	301108.64	266738.24	739022.45	240440.3	473669.7	274538.55	539135.84	242743	390323.43	425281.99	470366.23	486713.13	533455.47	631308.9
Poorly_characterized	315979.2	242120.08	404755.64	276398.5	258095.23	239439.36	588930.89	185412.6	378958.57	217421.78	418452.69	184977.82	312281.61	325702.03	367987.7	395387.04	448895.47	481444.59
Protein_families:_genetic_information_processing	2311248.01	2028257.25	3423651.37	2263425.17	2061789.89	1903745.41	4799204.96	1518673.51	3058417.21	1738477.17	3486676.1	1551841.82	2545281.07	2732459.59	3014580.85	3143865.49	3470196.05	4025594.75
Protein_families:_metabolism	808463.15	685806.99	1156195.76	765519.12	717390.3	660822.55	1727350.07	524233.62	1105384.84	617220.79	1262262.25	547226.24	895498.03	923205.24	1050855.6	1103203.99	1209909.77	1437460.82
Protein_families:_signaling_and_cellular_processes	1578417.6	1316931.14	2291848.14	1545970.1	1407907.78	1488769.21	3223923.46	951411.89	1974661.65	1108721.35	2238600.45	970338.26	1652382.4	1579964	1791505.66	1878509.83	2269325.58	2475879.56
Replication_and_repair	380790.93	332738.61	556483.04	369124.79	343331.25	305834.68	836069.86	264274.66	526295.43	304288.22	611485.6	272816.65	448900.51	479465.29	524706.01	540517.9	602809.77	713400.13
Signal_transduction	262579.29	186740.45	350738.71	222963.72	210417.97	238558.17	498395.09	135933.75	290940.7	163685.57	330606.09	140604.44	249308.45	257325.99	267813.55	275733.49	345164.35	343687.45
Signaling_molecules_and_interaction	0	0	0	0	0	0	488	18	0	0	33	0	0	0	3	0	0	0
Substance_dependence	0	0	0	0	0	0	33	9	0	24	42	15	22.5	0	6	6	27	6
Transcription	19719.04	17877.37	30515.83	19693.13	18577.18	17135.55	46544.31	16098.4	27676.4	18140.24	32691.46	14938.98	24976.04	26930.8	29283.32	30131.07	35889.28	39564.22
Translation	423209.07	380796.59	646461.25	429754.07	382136.08	349807.81	982939.5	313738.32	634435.71	353105.7	725438.25	320065.75	530094.86	558222.02	612245.94	627389.32	700896.42	822844.84
Transport_and_catabolism	54109.22	23464.75	31178.77	20357.62	45979.53	15412	59019.77	15265.7	41834.47	22691.44	47109.65	22646.47	33209.87	46701.5	47969.4	47589.77	44091	58633.31
Unclassified:_genetic_information_processing	77783.22	78164.84	128490.79	98470.23	78199.35	85584.96	209341.52	61532.7	122529.68	70539.68	141425.51	59482.17	101599.42	100988.39	121436.93	128790.72	155144.09	167833.85
Unclassified:_metabolism	368118.83	257935.12	436402.66	306753.68	305352.57	274495.56	591568.05	177568.24	407310.93	204680.54	444485.84	193370.44	318388.59	354634.04	374124.69	404732.39	446704.6	502052.34
Unclassified:_signaling_and_cellular_processes	219972.32	184877.48	322501.44	199909.95	179270.99	197922.36	300960.5	81804.31	188637.53	102352.95	211815.42	94181.79	156811.13	163302.3	188856.55	205436.12	214000.29	250887.82
Xenobiotics_biodegradation_and_metabolism	88592.39	66529.32	111221.16	82724.34	74021.65	66520.34	175514.4	59401.88	111727.58	68231.17	124141.77	52772.3	92336.62	106165.4	122226.25	125704.46	159649.27	151515.41
