ID	Pathway	Group	FDR	B_coef
133	Immune_disease	plaque vs saliva	0.999048460848251	0.264779702182417
134	Excretory_system	plaque vs saliva	0.999048460848251	0.515945845961142
135	Cancer:_specific_types	plaque vs saliva	0.999048460848251	0.209662055097739
136	Endocrine_and_metabolic_disease	plaque vs saliva	0.999048460848251	0.0756649160799807
137	Poorly_characterized	plaque vs saliva	0.999048460848251	0.00990788828514655
138	Infectious_disease:_viral	plaque vs saliva	0.999048460848251	0.145541093214806
139	Drug_resistance:_antimicrobial	plaque vs saliva	0.999048460848251	0.0151509101832065
140	Lipid_metabolism	plaque vs saliva	0.999048460848251	0.0085394125367225
141	Cardiovascular_disease	plaque vs saliva	0.999048460848251	0.0483731290397577
142	Protein_families:_genetic_information_processing	plaque vs saliva	0.999048460848251	-0.00124886856614843
143	Transcription	plaque vs saliva	0.999048460848251	0.0286852493687053
144	Replication_and_repair	plaque vs saliva	0.999048460848251	0.00325168509461356
145	_sorting_and_degradation	plaque vs saliva	0.999048460848251	0.00530875698676901
146	Folding	plaque vs saliva	0.999048460848251	0.00530875698676901
147	Nucleotide_metabolism	plaque vs saliva	0.999048460848251	-0.00310438171457811
148	Unclassified:_genetic_information_processing	plaque vs saliva	0.999048460848251	-0.00759653483023873
149	Substance_dependence	plaque vs saliva	0.999048460848251	-1.08680692067464
150	Not_included_in_regular_maps	plaque vs saliva	0.999048460848251	0.00743947255860956
151	Development_and_regeneration	plaque vs saliva	0.999048460848251	0.00366495132069016
