#OTU ID	HY1_1	HY1_2	HY1_3	HY2_1	HY2_2	HY2_3	HY3_1	HY3_2	HY3_3
ASV_233	17	21	27	0	1	0	0	0	0
ASV_234	18	15	25	5	0	6	0	0	0
ASV_235	15	17	25	0	0	0	0	0	0
ASV_236	8	9	6	0	0	0	0	0	0
ASV_237	44	47	85	5	7	12	0	0	0
ASV_238	23	18	25	1	1	4	0	0	0
ASV_239	36	45	53	3	4	8	0	0	0
ASV_24	0	0	0	0	0	0	300	210	313
ASV_240	21	22	25	1	8	10	0	0	0
ASV_241	4	9	17	0	0	0	0	0	0
ASV_242	62	67	97	2	0	5	0	0	0
ASV_243	131	124	171	16	18	28	0	0	0
ASV_244	24	31	36	2	1	2	0	0	0
ASV_245	4	15	18	1	0	0	0	0	0
ASV_246	31	25	43	3	3	2	0	0	0
ASV_247	7	10	12	2	0	0	0	0	0
ASV_248	47	44	67	15	13	12	0	0	0
ASV_249	10	11	27	0	0	1	0	0	0
ASV_25	0	0	0	0	0	0	267	198	383
ASV_250	11	7	13	0	0	1	0	0	0
ASV_251	13	10	19	0	1	0	0	0	0
ASV_252	93	85	141	2	0	1	0	0	0
ASV_253	0	0	0	9	13	13	0	1	3
ASV_254	0	0	0	6	8	14	0	0	0
ASV_255	0	0	0	9	9	6	0	0	0
ASV_256	0	0	0	7	6	4	0	0	0
ASV_257	0	0	0	25	32	32	0	0	0
ASV_258	0	0	0	3	14	7	0	0	0
ASV_259	0	0	0	28	21	24	0	0	0
ASV_26	210	240	268	4	6	3	0	0	0
ASV_260	2	2	2	8	14	12	0	0	0
ASV_261	0	0	0	7	4	5	0	0	0
ASV_262	0	0	0	17	18	20	0	0	0
ASV_263	0	0	0	5	2	1	0	0	0
ASV_264	0	0	0	5	9	9	0	0	0
ASV_265	0	0	0	15	18	8	0	0	0
ASV_266	0	0	0	9	15	14	0	0	0
ASV_267	0	0	0	22	31	25	0	0	0
ASV_268	0	1	0	62	73	72	0	0	0
ASV_269	1	0	0	28	28	39	0	0	0
ASV_27	0	0	0	0	0	0	124	110	165
ASV_270	0	0	0	2	1	1	0	0	0
ASV_271	0	0	0	14	14	10	0	0	0
ASV_272	0	0	0	12	18	15	0	0	0
ASV_273	0	0	0	11	19	22	0	0	0
ASV_274	0	0	0	7	13	15	0	0	0
ASV_275	0	1	0	13	13	24	0	0	0
ASV_276	1	0	0	18	26	32	0	0	0
ASV_277	0	0	0	16	24	24	0	0	0
ASV_278	0	0	0	7	11	9	0	0	0
ASV_279	0	0	1	5	8	5	0	0	0
ASV_28	0	0	1	0	0	1	198	148	307
ASV_280	0	0	1	5	11	13	0	0	0
ASV_281	0	0	0	15	8	15	0	0	0
ASV_282	0	1	0	8	7	10	0	0	0
ASV_283	1	1	0	93	94	132	0	0	0
ASV_284	0	0	0	12	10	8	0	0	0
ASV_285	0	0	0	0	0	1	26	12	55
ASV_286	0	0	0	0	0	0	33	11	43
ASV_287	0	0	0	0	0	0	14	2	19
ASV_288	0	0	0	0	0	0	3	6	13
ASV_289	0	0	0	0	0	0	4	1	1
ASV_29	0	0	1	0	0	0	232	183	334
ASV_290	0	0	0	0	0	0	13	10	17
ASV_291	0	0	0	0	0	0	6	1	2
ASV_292	0	0	0	0	0	0	3	5	7
ASV_293	0	0	0	0	0	0	2	3	7
ASV_294	0	0	0	0	0	0	16	7	18
ASV_295	0	0	0	15	17	16	46	26	69
ASV_296	0	0	0	0	0	0	13	11	15
ASV_297	0	0	0	0	0	0	15	10	22
ASV_298	0	0	0	0	0	0	11	5	14
ASV_299	0	0	0	0	0	0	30	9	60
ASV_3	0	3	4	977	1110	1063	0	0	0
ASV_30	126	162	139	14	39	65	0	0	0
ASV_300	0	0	0	0	0	0	9	5	22
ASV_301	0	0	0	0	0	0	6	6	6
ASV_302	0	0	0	0	0	0	30	20	46
ASV_303	0	0	0	1	1	0	7	6	14
ASV_304	0	0	0	0	0	0	5	5	5
ASV_305	0	0	0	0	0	0	6	7	9
ASV_306	0	0	0	0	0	0	2	1	6
ASV_307	0	0	0	0	0	0	14	11	18
ASV_308	0	0	0	1	0	1	21	8	22
ASV_309	0	0	0	0	0	0	1	4	6
ASV_31	152	169	213	9	13	12	0	0	0
ASV_310	0	0	0	0	0	0	7	3	9
ASV_311	0	0	0	0	0	0	5	1	8
ASV_312	0	0	0	0	0	0	22	5	24
ASV_313	0	0	0	0	0	0	8	5	18
ASV_314	0	0	0	1	0	0	21	15	45
ASV_315	0	0	0	0	0	0	6	5	13
ASV_316	0	0	0	0	0	0	35	17	58
ASV_317	0	0	0	0	1	1	40	19	66
ASV_318	0	0	0	0	0	0	12	6	15
ASV_319	0	0	0	0	0	0	32	24	73
ASV_32	178	204	223	6	9	9	0	0	0
ASV_320	0	0	0	0	0	0	7	4	12
ASV_321	0	0	0	0	0	1	28	18	64
ASV_322	0	0	0	0	0	0	3	1	6
ASV_323	0	0	0	0	0	0	1	1	6
ASV_324	0	0	0	0	0	0	4	2	4
ASV_325	0	0	0	0	0	0	9	3	16
ASV_326	0	0	0	0	0	0	8	1	17
ASV_327	0	0	0	0	0	0	6	2	11
ASV_328	0	0	0	0	0	0	9	1	11
ASV_329	0	0	0	0	0	0	3	2	12
ASV_33	0	0	1	0	0	0	147	128	214
ASV_330	0	0	0	0	0	0	0	1	3
ASV_331	0	0	0	0	0	0	3	3	7
ASV_34	188	182	225	1	5	3	0	0	0
ASV_35	201	174	190	20	25	25	0	0	0
ASV_36	0	0	1	0	0	0	287	227	365
ASV_37	0	0	0	0	0	0	134	87	164
ASV_38	178	167	217	21	21	32	0	0	0
ASV_39	0	0	0	0	0	0	216	155	211
ASV_4	149	93	242	414	668	729	0	0	0
ASV_40	0	4	2	147	183	173	0	0	0
ASV_41	162	120	161	15	20	29	0	0	0
ASV_42	0	0	0	0	0	0	104	81	151
ASV_43	168	148	197	0	1	2	0	0	0
ASV_44	1	0	1	125	168	154	0	1	5
ASV_45	5	6	2	42	87	76	0	0	0
ASV_46	123	131	160	1	2	5	0	0	0
ASV_47	0	1	0	116	135	119	0	0	1
ASV_48	0	0	0	0	0	0	211	139	262
ASV_49	166	180	208	9	15	11	0	0	0
ASV_5	0	0	1	0	0	0	616	486	714
ASV_50	0	0	1	0	0	0	172	150	235
ASV_51	0	0	0	0	0	0	107	81	187
ASV_52	0	0	0	0	0	0	189	152	163
ASV_53	0	0	1	121	154	117	0	0	0
ASV_54	0	0	0	105	133	137	0	0	0
ASV_55	0	0	0	0	0	0	136	80	124
ASV_56	0	1	2	185	209	230	0	0	0
ASV_57	0	0	0	0	0	0	155	98	148
ASV_58	110	111	111	1	1	0	0	0	0
ASV_59	2	2	4	85	89	107	0	0	0
ASV_6	5	3	4	561	857	806	0	0	1
ASV_60	0	0	1	76	109	115	0	0	0
ASV_61	204	191	285	8	6	18	0	0	0
ASV_62	0	0	0	159	190	167	0	0	0
ASV_63	88	107	124	0	1	1	0	0	0
ASV_64	0	0	0	0	0	0	112	84	114
ASV_65	0	0	0	0	0	0	124	67	145
ASV_66	68	72	113	1	1	1	0	0	0
ASV_67	0	0	0	0	0	0	81	44	56
ASV_68	223	192	274	8	9	13	0	0	0
ASV_69	56	40	68	7	8	7	0	0	0
ASV_7	0	0	0	0	0	0	559	460	672
ASV_70	1	0	0	82	91	97	0	0	0
ASV_71	0	0	0	0	0	0	98	72	141
ASV_72	1	0	1	56	65	74	0	0	0
ASV_73	0	0	0	63	76	63	0	0	0
ASV_74	0	0	0	0	0	0	45	28	63
ASV_75	0	0	0	1	0	0	63	31	81
ASV_76	58	44	58	6	4	13	0	0	0
ASV_77	66	66	87	3	7	5	0	0	0
ASV_78	25	17	17	2	6	4	0	0	0
ASV_79	0	0	0	29	22	16	0	0	0
ASV_8	749	757	897	9	17	25	0	0	0
ASV_80	1	0	1	33	28	41	0	0	1
ASV_81	119	123	151	1	2	9	0	0	0
ASV_82	0	0	0	0	0	0	34	34	28
ASV_83	31	18	40	1	4	3	0	0	0
ASV_84	0	0	0	0	0	0	23	9	22
ASV_85	45	47	91	8	5	12	0	0	0
ASV_86	0	1	2	38	44	61	0	2	5
ASV_87	0	0	0	40	43	51	0	0	0
ASV_88	31	29	32	4	4	6	0	0	0
ASV_89	0	1	0	32	31	47	1	1	2
ASV_9	6	2	8	455	639	584	0	0	0
ASV_90	1	1	0	21	42	31	0	0	0
ASV_91	0	0	0	0	0	0	24	30	27
ASV_92	0	0	0	0	0	0	19	13	21
ASV_93	0	0	0	27	37	29	0	0	0
ASV_94	0	0	0	41	49	51	0	0	0
ASV_95	0	0	0	45	41	47	0	0	0
ASV_96	0	0	0	17	19	20	0	0	0
ASV_97	0	0	0	19	31	26	0	0	0
ASV_98	0	0	0	0	0	0	30	21	39
ASV_99	25	29	42	0	1	0	0	0	0
