#OTUID	HY1_1	HY1_2	HY1_3	HY2_1	HY2_2	HY2_3	HY3_1	HY3_2	HY3_3
ASV_14	10	10	17	300	361	329	0	0	0
ASV_140	15	18	24	2	2	3	0	0	0
ASV_141	0	0	0	6	4	3	0	0	0
ASV_142	0	0	1	18	15	15	0	0	0
ASV_143	0	0	0	8	10	4	0	0	0
ASV_144	0	0	0	19	12	14	0	0	0
ASV_145	0	0	0	0	0	0	14	8	12
ASV_146	0	0	0	0	0	0	25	25	29
ASV_147	0	0	0	0	0	0	9	12	5
ASV_148	0	0	0	0	0	0	24	18	26
ASV_149	0	0	0	0	0	0	16	7	16
ASV_15	0	0	1	365	333	330	0	0	0
ASV_150	0	0	0	0	0	0	16	24	36
ASV_151	67	44	42	0	3	3	0	0	0
ASV_152	12	9	15	3	0	3	0	0	0
ASV_153	46	28	28	4	2	3	0	0	0
ASV_154	26	36	33	0	2	2	0	0	0
ASV_155	11	18	13	2	3	1	0	0	0
ASV_156	11	15	22	0	0	0	0	0	0
ASV_157	0	0	0	12	5	4	0	0	0
ASV_158	0	0	1	69	61	75	0	0	0
ASV_159	0	0	0	5	10	6	0	0	0
ASV_16	389	386	367	21	27	22	0	0	0
ASV_160	0	1	0	88	80	91	0	0	0
ASV_161	0	0	1	6	2	1	0	0	0
ASV_162	0	0	0	89	70	91	0	0	0
ASV_163	0	0	0	10	13	8	0	0	0
ASV_164	0	0	3	23	20	17	0	0	1
ASV_165	0	0	0	11	7	6	0	0	0
ASV_166	0	0	0	15	11	19	0	0	0
ASV_167	0	0	0	17	24	23	0	0	0
ASV_168	0	0	0	4	8	2	1	0	0
ASV_169	0	0	0	0	0	0	13	12	15
ASV_17	268	253	213	16	15	20	0	0	0
ASV_170	0	0	0	0	0	0	24	21	40
ASV_171	0	0	0	0	0	0	27	19	22
ASV_172	0	0	0	0	0	0	9	8	11
ASV_173	20	15	22	1	0	0	0	0	0
ASV_174	19	21	14	0	0	0	0	0	0
ASV_175	14	15	9	0	1	0	0	0	0
ASV_176	20	23	15	0	2	0	0	0	0
ASV_177	9	7	11	1	0	0	0	0	0
ASV_178	23	12	20	1	2	5	0	0	0
ASV_179	14	22	15	0	0	1	0	0	0
ASV_18	474	508	462	10	5	2	0	0	0
ASV_180	29	33	31	3	4	3	0	0	0
ASV_181	25	20	22	1	0	0	0	0	0
ASV_182	24	23	20	0	0	0	0	0	0
ASV_183	21	23	25	2	3	7	0	0	0
ASV_184	13	13	4	3	3	3	0	0	0
ASV_185	3	3	6	0	0	0	0	0	0
ASV_186	35	44	45	8	5	5	0	0	0
ASV_187	11	10	9	4	1	0	0	0	0
ASV_188	7	13	13	2	4	5	0	0	0
ASV_189	4	2	1	13	17	8	2	2	1
ASV_19	215	211	191	10	8	21	0	0	0
ASV_190	0	0	0	8	11	15	0	0	0
ASV_191	0	0	0	16	23	16	0	0	0
ASV_192	0	0	0	23	12	23	0	0	0
ASV_193	0	0	0	4	8	8	0	0	1
ASV_194	0	0	0	11	4	11	0	0	0
ASV_195	0	0	0	17	29	12	0	0	0
ASV_196	1	0	0	23	23	19	0	0	0
ASV_197	0	0	0	4	7	10	0	0	0
ASV_198	0	0	0	12	15	25	0	0	0
ASV_199	0	0	0	12	14	15	0	0	0
ASV_2	0	0	0	0	0	0	883	872	879
ASV_20	1	0	0	286	247	250	0	0	0
ASV_200	0	0	0	1	3	4	0	0	0
ASV_201	0	0	0	0	0	0	2	2	1
ASV_202	0	0	0	0	0	0	33	16	40
ASV_203	0	0	1	1	1	2	46	19	68
ASV_204	0	0	0	0	0	0	3	4	8
ASV_205	0	0	0	0	0	0	5	6	1
ASV_206	0	0	0	0	0	0	16	8	19
ASV_207	0	0	0	0	0	0	15	10	13
ASV_208	0	0	0	1	1	1	17	19	29
ASV_209	0	0	0	0	0	0	39	27	33
ASV_21	1	2	3	184	200	186	0	0	0
ASV_210	0	0	0	0	0	0	4	5	8
ASV_211	0	0	0	0	0	0	0	7	6
ASV_212	0	0	0	0	0	0	6	5	7
ASV_213	0	0	0	0	0	0	9	5	12
ASV_214	0	0	0	0	0	0	10	6	9
ASV_215	23	29	28	0	2	5	0	0	0
ASV_216	3	5	12	0	0	0	0	0	0
ASV_217	12	9	14	1	0	0	0	0	0
ASV_218	20	14	12	4	2	5	0	0	0
ASV_219	19	22	28	2	1	4	0	0	0
ASV_22	223	202	215	1	4	3	0	0	0
ASV_220	9	1	5	0	0	0	0	0	0
ASV_221	16	10	10	2	1	0	0	0	0
ASV_222	3	7	8	1	0	1	0	0	0
ASV_223	13	7	20	2	2	3	0	0	0
ASV_224	5	10	6	1	0	0	0	0	0
ASV_225	11	12	10	0	0	0	0	0	0
ASV_226	14	10	19	2	2	0	0	0	0
ASV_227	46	42	46	18	9	11	0	0	0
ASV_228	9	9	12	2	2	0	0	0	0
ASV_229	24	22	21	1	1	6	0	0	0
ASV_23	0	0	0	0	0	0	189	202	224
ASV_230	23	20	21	0	0	2	0	0	0
ASV_231	85	90	108	2	1	3	0	0	0
ASV_232	12	17	15	3	0	3	0	0	0
ASV_233	12	21	21	0	1	0	0	0	0
ASV_234	15	14	19	5	0	6	0	0	0
ASV_235	15	17	19	0	0	0	0	0	0
ASV_236	6	6	4	0	0	0	0	0	0
ASV_237	39	42	55	5	7	8	0	0	0
ASV_238	20	16	21	1	1	3	0	0	0
ASV_239	33	40	39	3	3	7	0	0	0
ASV_24	0	0	0	0	0	0	214	210	188
ASV_240	19	17	18	1	7	8	0	0	0
ASV_241	4	9	15	0	0	0	0	0	0
ASV_242	57	59	73	2	0	4	0	0	0
ASV_243	119	116	123	15	12	25	0	0	0
ASV_244	22	27	26	2	1	2	0	0	0
ASV_245	4	15	14	1	0	0	0	0	0
ASV_246	29	23	29	3	3	1	0	0	0
ASV_247	7	10	10	2	0	0	0	0	0
ASV_248	40	38	48	15	10	8	0	0	0
ASV_249	9	9	19	0	0	0	0	0	0
ASV_25	0	0	0	0	0	0	198	198	219
ASV_250	9	6	9	0	0	0	0	0	0
ASV_251	12	9	16	0	1	0	0	0	0
ASV_252	79	79	90	2	0	0	0	0	0
ASV_253	0	0	0	9	11	9	0	1	1
ASV_254	0	0	0	6	7	9	0	0	0
ASV_255	0	0	0	9	7	4	0	0	0
ASV_256	0	0	0	7	5	1	0	0	0
ASV_257	0	0	0	23	20	23	0	0	0
ASV_258	0	0	0	3	10	5	0	0	0
ASV_259	0	0	0	27	15	16	0	0	0
ASV_26	191	209	191	4	3	3	0	0	0
ASV_260	2	2	2	8	7	7	0	0	0
ASV_261	0	0	0	7	4	5	0	0	0
ASV_262	0	0	0	16	16	16	0	0	0
ASV_263	0	0	0	5	1	1	0	0	0
ASV_264	0	0	0	4	7	6	0	0	0
ASV_265	0	0	0	14	14	3	0	0	0
ASV_266	0	0	0	8	11	10	0	0	0
ASV_267	0	0	0	21	22	20	0	0	0
ASV_268	0	1	0	61	52	50	0	0	0
ASV_269	1	0	0	28	16	27	0	0	0
ASV_27	0	0	0	0	0	0	95	110	93
ASV_270	0	0	0	2	1	0	0	0	0
ASV_271	0	0	0	12	6	8	0	0	0
ASV_272	0	0	0	12	12	7	0	0	0
ASV_273	0	0	0	11	10	17	0	0	0
ASV_274	0	0	0	5	8	9	0	0	0
ASV_275	0	1	0	12	8	18	0	0	0
ASV_276	1	0	0	17	20	26	0	0	0
ASV_277	0	0	0	16	19	17	0	0	0
ASV_278	0	0	0	7	6	8	0	0	0
ASV_279	0	0	0	5	5	3	0	0	0
ASV_28	0	0	0	0	0	0	153	148	181
ASV_280	0	0	1	5	8	11	0	0	0
ASV_281	0	0	0	15	6	12	0	0	0
ASV_282	0	0	0	7	4	9	0	0	0
ASV_283	1	1	0	84	71	90	0	0	0
ASV_284	0	0	0	11	8	6	0	0	0
ASV_285	0	0	0	0	0	1	19	12	31
ASV_286	0	0	0	0	0	0	28	11	24
ASV_287	0	0	0	0	0	0	10	2	12
ASV_288	0	0	0	0	0	0	2	6	9
ASV_289	0	0	0	0	0	0	3	1	0
ASV_29	0	0	1	0	0	0	164	183	192
ASV_290	0	0	0	0	0	0	10	10	11
ASV_291	0	0	0	0	0	0	4	1	1
ASV_292	0	0	0	0	0	0	3	5	4
ASV_293	0	0	0	0	0	0	1	3	6
ASV_294	0	0	0	0	0	0	14	7	8
ASV_295	0	0	0	14	10	13	34	26	40
ASV_296	0	0	0	0	0	0	9	11	11
ASV_297	0	0	0	0	0	0	11	10	14
ASV_298	0	0	0	0	0	0	9	5	11
ASV_299	0	0	0	0	0	0	24	9	36
ASV_3	0	3	2	925	818	791	0	0	0
ASV_30	106	141	107	12	32	39	0	0	0
ASV_300	0	0	0	0	0	0	9	5	12
ASV_301	0	0	0	0	0	0	6	6	2
ASV_302	0	0	0	0	0	0	22	20	32
ASV_303	0	0	0	1	0	0	5	6	11
ASV_304	0	0	0	0	0	0	4	5	4
ASV_305	0	0	0	0	0	0	6	7	5
ASV_306	0	0	0	0	0	0	2	1	5
ASV_307	0	0	0	0	0	0	11	11	13
ASV_308	0	0	0	1	0	1	18	8	15
ASV_309	0	0	0	0	0	0	1	4	5
ASV_31	133	156	149	9	12	10	0	0	0
ASV_310	0	0	0	0	0	0	6	3	4
ASV_311	0	0	0	0	0	0	4	1	4
ASV_312	0	0	0	0	0	0	15	5	13
ASV_313	0	0	0	0	0	0	5	5	13
ASV_314	0	0	0	1	0	0	17	15	32
ASV_315	0	0	0	0	0	0	3	5	8
ASV_316	0	0	0	0	0	0	26	17	33
ASV_317	0	0	0	0	1	0	26	19	38
ASV_318	0	0	0	0	0	0	7	6	7
ASV_319	0	0	0	0	0	0	30	24	47
ASV_32	159	191	160	6	6	6	0	0	0
ASV_320	0	0	0	0	0	0	7	4	8
ASV_321	0	0	0	0	0	0	19	18	35
ASV_322	0	0	0	0	0	0	3	1	4
ASV_323	0	0	0	0	0	0	1	1	5
ASV_324	0	0	0	0	0	0	4	2	3
ASV_325	0	0	0	0	0	0	6	3	13
ASV_326	0	0	0	0	0	0	8	1	11
ASV_327	0	0	0	0	0	0	5	2	7
ASV_328	0	0	0	0	0	0	7	1	8
ASV_329	0	0	0	0	0	0	2	2	4
ASV_33	0	0	1	0	0	0	103	128	132
ASV_330	0	0	0	0	0	0	0	1	1
ASV_331	0	0	0	0	0	0	2	3	2
ASV_34	171	165	157	1	4	3	0	0	0
ASV_35	178	155	134	19	19	19	0	0	0
ASV_36	0	0	1	0	0	0	205	227	214
ASV_37	0	0	0	0	0	0	107	87	97
ASV_38	158	159	151	20	17	26	0	0	0
ASV_39	0	0	0	0	0	0	146	155	128
ASV_4	135	81	175	395	487	535	0	0	0
ASV_40	0	4	2	133	132	109	0	0	0
ASV_41	147	106	112	15	17	19	0	0	0
ASV_42	0	0	0	0	0	0	79	81	82
ASV_43	146	135	137	0	0	1	0	0	0
ASV_44	1	0	1	119	122	115	0	1	4
ASV_45	5	5	2	41	68	59	0	0	0
ASV_46	108	118	114	1	2	3	0	0	0
ASV_47	0	1	0	108	95	92	0	0	1
ASV_48	0	0	0	0	0	0	153	139	163
ASV_49	147	162	162	9	12	7	0	0	0
ASV_5	0	0	1	0	0	0	446	486	451
ASV_50	0	0	1	0	0	0	125	150	138
ASV_51	0	0	0	0	0	0	76	81	116
ASV_52	0	0	0	0	0	0	141	152	88
ASV_53	0	0	0	111	116	83	0	0	0
ASV_54	0	0	0	95	93	86	0	0	0
ASV_55	0	0	0	0	0	0	95	80	70
ASV_56	0	1	0	172	150	177	0	0	0
ASV_57	0	0	0	0	0	0	117	98	88
ASV_58	100	99	75	1	0	0	0	0	0
ASV_59	2	2	3	76	69	76	0	0	0
ASV_6	5	3	4	523	628	589	0	0	1
ASV_60	0	0	1	71	83	77	0	0	0
ASV_61	186	177	197	8	6	16	0	0	0
ASV_62	0	0	0	152	147	113	0	0	0
ASV_63	76	93	93	0	1	0	0	0	0
ASV_64	0	0	0	0	0	0	81	84	73
ASV_65	0	0	0	0	0	0	92	67	85
ASV_66	61	67	73	1	1	0	0	0	0
ASV_67	0	0	0	0	0	0	63	44	38
ASV_68	195	178	199	7	7	8	0	0	0
ASV_69	42	32	53	7	6	3	0	0	0
ASV_7	0	0	0	0	0	0	425	460	404
ASV_70	1	0	0	80	64	66	0	0	0
ASV_71	0	0	0	0	0	0	67	72	86
ASV_72	1	0	0	51	40	53	0	0	0
ASV_73	0	0	0	62	51	49	0	0	0
ASV_74	0	0	0	0	0	0	38	28	36
ASV_75	0	0	0	1	0	0	48	31	46
ASV_76	52	39	46	5	2	9	0	0	0
ASV_77	61	56	52	2	5	4	0	0	0
ASV_78	21	15	10	1	5	2	0	0	0
ASV_79	0	0	0	26	14	13	0	0	0
ASV_8	669	664	618	8	13	22	0	0	0
ASV_80	1	0	1	33	18	26	0	0	0
ASV_81	99	111	108	1	2	6	0	0	0
ASV_82	0	0	0	0	0	0	26	34	16
ASV_83	25	17	30	1	4	2	0	0	0
ASV_84	0	0	0	0	0	0	12	9	13
ASV_85	37	42	66	8	5	6	0	0	0
ASV_86	0	1	2	34	37	46	0	2	3
ASV_87	0	0	0	36	35	37	0	0	0
ASV_88	26	24	27	4	3	5	0	0	0
ASV_89	0	0	0	26	23	34	1	1	1
ASV_9	6	2	3	429	459	434	0	0	0
ASV_90	1	1	0	18	34	24	0	0	0
ASV_91	0	0	0	0	0	0	20	30	21
ASV_92	0	0	0	0	0	0	16	13	12
ASV_93	0	0	0	27	28	17	0	0	0
ASV_94	0	0	0	41	36	38	0	0	0
ASV_95	0	0	0	44	29	29	0	0	0
ASV_96	0	0	0	16	9	13	0	0	0
ASV_97	0	0	0	19	22	20	0	0	0
ASV_98	0	0	0	0	0	0	23	21	23
ASV_99	18	23	29	0	0	0	0	0	0
