Order	E1	E2	E3	E4	E5	E6	E7	N1	N2	O1	O2	S1	All
Lachnospirales	0	0	0	0	0	0.719	0	0	0	1.44	3.6	1.44	0.9
Synechococcales	2.88	1.44	0	0	0	0.719	0	1.44	1.44	0	0	0.719	0.8
Phormidesmiales	0	0	0	0.719	0	0	0.719	0.719	0.719	0.719	0.719	0	0.7
Sphingomonadales	1.44	0	0	0	1.44	0	1.44	0.719	1.44	2.16	0.719	2.16	0.7
Gammaproteobacteria Incertae Sedis	0.719	0.719	0.719	0	0.719	0.719	2.16	0.719	0.719	0.719	0	0	0.6
Izemoplasmatales	0	0.719	4.32	0	0.719	0.719	0	2.88	0	0	0.719	0	0.6
Desulfobacterales	0.719	0.719	0.719	0	0.719	0	0.719	0	0	0	0	2.16	0.6
Peptostreptococcales-Tissierellales	0	0	0	0.719	0	0	0	0.719	0	1.44	1.44	0.719	0.5
Legionellales	0	0	0	0.719	0.719	0	0	0	0	1.44	0	0	0.5
Opitutales	0	0	0	0	1.44	0.719	0.719	2.16	0	0.719	0	0	0.5
Micavibrionales	0	0	0	0	0	0.719	0.719	0	0	3.6	0.719	0	0.5
Oscillospirales	0	2.16	0	0	1.44	0	1.44	0	0	0.719	0.719	0.719	0.4
Coxiellales	0	0	0	0	0	0.719	0	0	0	0.719	1.44	0	0.4
Verrucomicrobiales	0	0	0	0	0.719	0	0.719	1.44	0	0	0	1.44	0.4
Pirellulales	0	0.719	0	0	0.719	0	2.88	0	0.719	0	0	0	0.4
Kapabacteriales	0	0	0	0	0	0.719	0	3.6	0	0.719	1.44	0	0.4
WCHB1-41	0	0	0	0	0	0	0	0	0	1.44	1.44	0	0.3
Clostridiales	0	0	0	0	0	0	0	0	0	1.44	0.719	2.16	0.3
Christensenellales	0	0	0	0	0	0	0	0	0	0	0	0.719	0.3
Microtrichales	0.719	0.719	0	0	0	0	0.719	0.719	1.44	0	0	0	0.3
Oligoflexales	0	0.719	0	0	0	0	2.88	0.719	0.719	0	0	0	0.2
Bacteriovoracales	0	0	0	0	0.719	0	0	0.719	0	0	0	0	0.2
Spirochaetales	0	0	0	0	0	0	0	0	0	0	2.16	0	0.2
Bacteroidetes VC2.1 Bac22	0	0	0	0	0.719	0	0	0	0	1.44	0	0	0.2
Lysobacterales	0	0	0.719	0	0	0	1.44	0	0	0	0	0.719	0.2
Phycisphaerales	0	0	0	0	0	0.719	0	0.719	0	0	0	0	0.2
Lactobacillales	0	0	0.719	0	1.44	0	0.719	0	0	0	0	0	0.2
Candidatus Pacebacteria	0	0	0	0	0	0	0.719	0	0	0	0	0	0.2
Steroidobacterales	0	0	0.719	0	0.719	0	0.719	0	0	0	0	0	0.2
Rhodospirillales	0	0	0	0	0	0	0.719	1.44	0	0	0	0	0.2
Balneolales	0	1.44	0	0	0	0	0	1.44	0	0	0	0	0.2
Frankiales	0	0	0.719	0	0	0	0.719	0.719	0	0	0	0	0.2
Gastranaerophilales	0	0	0	0	0	0	0	0	0	0.719	0.719	0	0.2
Caulobacterales	0.719	0	0	0	0	0	0	0	0	0	0	0	0.2
Competibacterales	1.44	0	0	0	0	0	0	0	0	0	0	0	0.2
JGI 0000069-P22	0	0	0	0	0	0	0	0	0	0	0	0.719	0.2
Francisellales	0	0	0	0.719	0	0.719	0	0	0	0	0	0	0.1
Acholeplasmatales	0	0	0	0	0	0.719	0	0.719	0	0	0.719	0	0.1
Desulfobulbales	0	0.719	0	0	0	0	0	0	0	0.719	0	0.719	0.1
Candidatus Peregrinibacteria	0	0	0	0	0	0	0	0	0	0	0	1.44	0.1
Fermentibacterales	0	0	0	0	0.719	0	0	0	0	0	0	0	0.1
Oligosphaerales	0	0	0	0	0.719	0	1.44	0	0	0	0	0	0.1
Clostridia vadinBB60 group	0	0	0	0	0	0	0	0	0	0	0.719	0	0.1
Caldilineales	0	0	0	0	0	0	0	0	0	0	0	0.719	0.1
Nitriliruptorales	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Cloacimonadales	0	0	0	0	0	0	0	0	0	0	0.719	0	0.1
Holosporales	0	0	0	0	0	0	0	0	1.44	0	0	0	0.1
Paracaedibacterales	0	0	0	0	0	0	0.719	0	0	0	0.719	0	0.1
0319-6G20	0.719	0	0	0	0	0	0	0	0	0.719	0	0	0.1
Bacillales	0	0	0	0	0.719	0	0	0	0	0	0	0	0.1
Planctomycetales	0.719	0	0	0	0	0	0	0	0	0	0	0	0.1
Desulfuromonadales	0	0	0	0	0	0	0	0.719	0	0	0	0.719	0.1
Desulfovibrionales	0	0	0	0	0	0	0	0	0	0.719	0	0	0.1
Fusobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0.1
EC3	0	0	0	0	0	0	0	0	0	0.719	0	0	0.1
Rickettsiellales	0	0	0	0	0	0	0	0	0	0.719	0	0.719	0.1
Limnotrichales	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Nitrococcales	0	0	0	0	0	0.719	0	0	0	0	0	0	0.1
Nitrosococcales	0	0	0	0	0	0	0	0	0	0	0	0.719	0.1
Oxyphotobacteria Incertae Sedis	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Leptospirales	0	0	0	0	0	0	0	0	0	0	0	0.719	0.1
MSBL9	0	0	0	0	0	0	0.719	0	0	0	0	0.719	0.1
Parvibaculales	0	1.44	0.719	0	0	0	0	0	0	0	0	0	0.1
Kiritimatiellales	0	0	0.719	0	0	0	0	0	0	0	0	0	0.1
Actinomarinales	0	0	0	0	0	0	0.719	0	0	0	0	0	0.1
Beggiatoales	0	0	0	0	0	0	0.719	0	0	0	0.719	0	0.1
Acetobacterales	0	0	0	0	0	0	0	0	0.719	0	0	0.719	0.1
Deinococcales	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Ectothiorhodospirales	0	0	0	0	0	0	0.719	0	0	0	0	0	0.1
Erysipelotrichales	0	0.719	0	0	0	0	0	0	0	0	0	0	0.1
Arenicellales	0	0.719	0.719	0	0	0	0	0	0	0	0	0	0.1
Bdellovibrionales	0	0	0	0	0	0	0	0	0	0.719	0	0	0.1
Bradymonadales	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Clostridia UCG-014	0	0	0	0	0	0	0	0	0	0.719	0.719	0	0.1
Caenarcaniphilales	0	0	0	0	0	0	0	1.44	0	0	0	0	0.1
HOC36	0	0	0	0	0	0	0.719	0	0	0	0	0	0.1
Saccharimonadales	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Candidatus Chisholmbacteria	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Candidatus Collierbacteria	0	0	0	0	0	0	0.719	0	0	0	0	0	0.0
Candidatus Abawacabacteria	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Rhodothermales	0	0	0	0	0	0	0.719	0	0	0	0	0	0.0
Caedibacterales	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Polyangiales	0	0	0	0	0.719	0	0	0	0	0	0	0	0.0
Salinisphaerales	0	0	0.719	0	0	0	0	0	0	0	0	0	0.0
Thermosynechococcales	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Tenderiales	0	0	0	0	0	0	0	0	0	0	0	0	0.0
TDNP-Wbc97-11-7-16	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Acanthopleuribacterales	0	0	0	0	0	0	0.719	0	0	0	0	0	0.0
eub62A3	0	0	0	0	0	0	0	0	0	0	0	0	0.0
11-24	0	0	0	0	0	0	0	0	0.719	0	0	0	0.0
113B434	0	0	0	0	0	0	0	0	0	0	0	0	0.0
B108	0	0	0	0	0	0	0.719	0	0	0	0	0	0.0
Solirubrobacterales	0	0	0.719	0	0	0	0	0	0	0	0	0	0.0
Babeliales	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Ardenticatenales	0	0.719	0	0	0	0	0	0	0	0	0	0	0.0
Syntrophobacterales	0	0	0	0	0	0	0.719	0	0	0	0	0	0.0
Sumerlaeales	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Staphylococcales	0	0	0	0	0	0	0	0.719	0	0	0	0	0.0
Geobacterales	0	0	0	0	0	0	0.719	0	0	0	0	0	0.0
ML602M-17	0	0.719	0	0	0	0	0	0	0	0	0	0	0.0
MD2894-B20	0	0	0	0	0	0	0	0	0.719	0	0	0	0.0
MVP-21	0	0	0	0	0	0	0	0	0	0	0.719	0	0.0
Ga0077536	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Gemmatales	0	0	0	0	0	0	0.719	0	0	0	0	0	0.0
Gemmatimonadales	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Latescibacterales	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Kiloniellales	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Kineosporiales	0	0	0	0	0.719	0	0	0	0	0	0	0	0.0
Ignavibacteriales	0	0	0.719	0	0	0	0	0	0	0	0	0	0.0
Granulosicoccales	0	0	0	0	0	0	0	0	0	0	0	0	0.0
I3A	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Leptolyngbyales	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Myxococcales	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Chthoniobacterales	0	0	0	0	0	0	0	0	0.719	0	0	0	0.0
Paenibacillales	0	0	0	0	0	0	0	0	0.719	0	0	0	0.0
PB19	0	0	0	0	0	0	0	0	0	0	0	0.719	0.0
PeM15	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Candidatus Moranbacteria	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Candidatus Nomurabacteria	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Candidatus Roizmanbacteria	0	0	0	0	0	0	0	0	0	0	0	0.719	0.0
Entotheonellales	0	0	0	0	0	0	0	0	0	0	0	0.719	0.0
Eubacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Nannocystales	0	0	0	0	0	0	0	0	0	0	0	0	0.0
EV818SWSAP88	0	0	0	0	0	0	0	0	0	0.719	0	0	0.0
Desulfatiglandales	0	0	0	0	0	0	0	0	0	0.719	0	0	0.0
Desulfobaccales	0	0	0	0	0	0	0	0	0	0	0	0.719	0.0
Omnitrophales	0	0	0	0	0	0	0	0	0	0	0	0	0.0
