Family	E1	E2	E3	E4	E5	E6	E7	N1	N2	O1	O2	S1	All
Saccharospirillaceae	0	0	0	0	0.719	0	0	0	0	0	0	0	0.1
Trueperaceae	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Rubinisphaeraceae	0.719	0	0	0	0	0	0	0	0	0	0	0	0.1
Rickettsiellaceae	0	0	0	0	0	0	0	0	0	0.719	0	0.719	0.1
Desulfobulbaceae	0	0.719	0	0	0	0	0	0	0	0	0	0.719	0.1
Acetobacteraceae	0	0	0	0	0	0	0	0	0.719	0	0	0.719	0.1
Peptostreptococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Parvularculaceae	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Yersiniaceae	0	0	0	0	0	0	0.719	0	0	0	0	0	0.1
Pseudoalteromonadaceae	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Cyanobacteriaceae	0	0	0	0	0	0	0	0.719	0	0	0	0	0.1
Pseudobdellovibrionaceae	0	0	0	0	0	0	0	0	0	0.719	0	0	0.1
Clade I	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Rhodanobacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Desulfatirhabdiaceae	0	0	0	0	0	0	0	0	0	0	0	0.719	0.1
Geothermobacteraceae	0	0	0	0	0	0	0	0.719	0	0	0	0.719	0.1
Paraspirulinaceae	0	0	0	0	0	0	0	0	0	0	0	0	0.1
AB1	0	0	0	0	0	0	0	0	0.719	0	0	0	0.1
PS1 clade	0	1.44	0.719	0	0	0	0	0	0	0	0	0	0.1
Desulfococcaceae	0	0.719	0	0	0	0	0	0	0	0	0	0	0.1
Arenicellaceae	0	0.719	0.719	0	0	0	0	0	0	0	0	0	0.1
Desulfovibrionaceae	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Leucotrichaceae	0	0	0	0	0	0	0.719	0	0	0	0.719	0	0.1
Ectothiorhodospiraceae	0	0	0	0	0	0	0.719	0	0	0	0	0	0.1
Leptotrichiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Leptospiraceae	0	0	0	0	0	0	0	0	0	0	0	0.719	0.1
Bacteroidetes vadinHA17	0	0	0	0	0	0	0.719	0	0	0	0	0	0.1
Limnotrichaceae	0	0	0	0	0	0	0	0	0	0	0	0	0.1
ML635J-40 aquatic group	0	0	0	0	0	0	0	0	0	0	0	0	0.1
LK-44f	0	0	0	0	0	0	0	0	0	0	0.719	0	0.1
Kiritimatiellaceae	0	0	0.719	0	0	0	0	0	0	0	0	0	0.1
Synechococcales Incertae Sedis	0	0	0	0	0	0.719	0	0	0	0	0	0	0.1
211ds20	0	0	0	0	0	0	0	0.719	0	0	0	0	0.1
Moraxellaceae	0	0.719	0	0	0	0	0	0	0	0	0	0	0.1
Psychromonadaceae	0	0	0	0	0.719	0	0	0	0	0	0	0	0.0
Sumerlaeaceae	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Syntrophotaleaceae	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Syntrophobacteraceae	0	0	0	0	0	0	0.719	0	0	0	0	0	0.0
A0839	0	0	0	0	0	0	0	0	0.719	0	0	0	0.0
Tenderiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0.0
TRA3-20	0	0	0	0	0	0	0	0.719	0	0	0	0	0.0
Terrimicrobiaceae	0	0	0	0	0	0	0	0	0.719	0	0	0	0.0
Campylobacteraceae	0	0	0	0	0	0	0	0	0	0	0.719	0	0.0
C2U	0	0	0	0	0	0	0	0	0	0	0	0	0.0
UA-50	0	0	0.719	0	0	0	0	0	0	0	0	0	0.0
Caedibacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Sandaracinaceae	0	0	0	0	0.719	0	0	0	0	0	0	0	0.0
Aerococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0.0
SG8-4	0	0	0	0	0	0	0	0	0	0	0	0.719	0.0
Thermosynechococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Staphylococcaceae	0	0	0	0	0	0	0	0.719	0	0	0	0	0.0
Stappiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Thermotaleaceae	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Verrucomicrobiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Catellicoccaceae	0	0	0	0	0.719	0	0	0	0	0	0	0	0.0
Rhodothermaceae	0	0	0	0	0	0	0.719	0	0	0	0	0	0.0
Lactobacillaceae	0	0	0	0	0	0	0.719	0	0	0	0	0	0.0
Latescibacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Eubacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Kangiellaceae	0	0	0	0.719	0	0	0	0	0	0	0	0	0.0
Kiloniellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Kineosporiaceae	0	0	0	0	0.719	0	0	0	0	0	0	0	0.0
Acanthopleuribacteraceae	0	0	0	0	0	0	0.719	0	0	0	0	0	0.0
Erysipelotrichaceae	0	0.719	0	0	0	0	0	0	0	0	0	0	0.0
Erysipelatoclostridiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Leptolyngbyaceae	0	0	0	0	0	0	0	0	0	0	0	0	0.0
LiUU-11-161	0	0	0	0	0	0	0	0	0	0.719	0	0	0.0
4572-13	0	0	0	0	0	0	0.719	0	0	0	0	0	0.0
KI89A clade	0	0	0.719	0	0	0	0	0	0	0	0	0	0.0
Gimesiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Gottschalkiaceae	0	0	0	0	0	0	0	0	0	0	0.719	0	0.0
Granulosicoccaceae	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Gemmataceae	0	0	0	0	0	0	0.719	0	0	0	0	0	0.0
Gemmatimonadaceae	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Geobacteraceae	0	0	0	0	0	0	0.719	0	0	0	0	0	0.0
