OTUID	All	KO	OE	WT
ASV_193	0.077247	0.04050977	0.09111369	0.10011823
ASV_201	0.07692	0.09740169	0.06954900	0.06380942
ASV_1754	0.077314	0.06706652	0.08679840	0.07807614
ASV_204	0.07926	0.03433217	0.16250379	0.04094502
ASV_184	0.079222	0.06854322	0.14062326	0.02849863
ASV_189	0.075865	0.13349333	0.03392296	0.06017884
ASV_206	0.076784	0.08137240	0.07659282	0.07238637
ASV_208	0.075861	0.09637994	0.06762162	0.06358185
ASV_215	0.07458	0.04810789	0.03392677	0.14170592
ASV_210	0.07688	0.07929301	0.09620975	0.05513655
ASV_225	0.075884	0.06184891	0.07617825	0.08962539
ASV_1602	0.07472	0.08149112	0.06780888	0.07486136
ASV_191	0.07557	0.02619280	0.10054195	0.09997647
ASV_211	0.074509	0.12773670	0.03959710	0.05619206
ASV_220	0.074937	0.07120339	0.07165174	0.08195672
ASV_207	0.074373	0.10066886	0.07152959	0.05092009
ASV_209	0.073894	0.09441947	0.06038160	0.06688222
ASV_212	0.075315	0.07688009	0.09410284	0.05496085
ASV_224	0.074073	0.07828932	0.06052257	0.08340829
ASV_718	0.074445	0.06479491	0.10783026	0.05071054
ASV_249	0.074763	0.02780685	0.14667228	0.04980877
ASV_1770	0.072639	0.05682135	0.08760869	0.07348607
ASV_253	0.071834	0.06790021	0.08319655	0.06440482
ASV_247	0.072484	0.09538946	0.07523437	0.04682693
ASV_214	0.07061	0.04059733	0.06226837	0.10896445
ASV_303	0.069984	0.04274952	0.09610400	0.07109971
ASV_359	0.071237	0.08809022	0.07611289	0.04950900
ASV_261	0.071506	0.04531983	0.10851348	0.06068554
ASV_1127	0.070551	0.06275434	0.09176474	0.05713341
ASV_198	0.068995	0.06621430	0.05799588	0.08277520
ASV_217	0.068669	0.02647309	0.08215727	0.09737795
ASV_232	0.069195	0.01531132	0.10278574	0.08948817
ASV_250	0.069273	0.05398752	0.09066643	0.06316625
ASV_285	0.068614	0.09933119	0.06628884	0.04022167
ASV_199	0.06677	0.07166824	0.04595095	0.08269170
ASV_219	0.067566	0.08499478	0.06078581	0.05691764
ASV_229	0.067773	0.07518766	0.06061057	0.06752022
ASV_272	0.067865	0.05306376	0.06149045	0.08904049
ASV_331	0.066554	0.09443667	0.05068288	0.05454374
ASV_221	0.067102	0.11012628	0.02267776	0.06850216
ASV_223	0.066924	0.05068054	0.07695849	0.07313257
ASV_246	0.068097	0.06979875	0.09556745	0.03892586
ASV_252	0.069852	0.04147421	0.14940162	0.01868012
ASV_344	0.068024	0.06472958	0.09214346	0.04719757
ASV_1311	0.065424	0.09193785	0.05735020	0.04698365
ASV_241	0.066538	0.06861979	0.07296695	0.05802845
ASV_280	0.065946	0.05352241	0.07880922	0.06550497
ASV_268	0.065152	0.06288982	0.06611539	0.06645059
ASV_237	0.06435	0.11283100	0.02950801	0.05071005
ASV_271	0.066338	0.03947910	0.10175809	0.05777547
ASV_240	0.064008	0.07053821	0.06088436	0.06060246
ASV_242	0.064197	0.04775007	0.05343993	0.09140183
ASV_270	0.06555	0.05536841	0.08647243	0.05480803
ASV_245	0.063042	0.03557483	0.06173684	0.09181569
ASV_260	0.064366	0.08496985	0.07379927	0.03433023
ASV_369	0.063359	0.06374260	0.06160199	0.06473183
ASV_255	0.062593	0.07444222	0.04814591	0.06519030
ASV_322	0.063596	0.05877745	0.07245634	0.05955346
ASV_469	0.06443	0.04595248	0.07368264	0.07365392
ASV_227	0.062856	0.08367855	0.05114093	0.05374754
ASV_265	0.062461	0.07246889	0.05603610	0.05887716
ASV_273	0.06119	0.09822282	0.03607382	0.04927415
ASV_234	0.061281	0.06679292	0.04919938	0.06785027
ASV_243	0.062867	0.04926098	0.07120938	0.06812978
ASV_256	0.063156	0.06323970	0.06517371	0.06105453
ASV_263	0.063344	0.04686056	0.07365860	0.06951178
ASV_257	0.061848	0.07171611	0.05357535	0.06025292
ASV_277	0.062011	0.06662243	0.06340807	0.05600311
ASV_239	0.060171	0.08842198	0.04668242	0.04540737
ASV_317	0.061245	0.06178549	0.06213720	0.05981326
ASV_262	0.060988	0.03849884	0.09262529	0.05183872
ASV_258	0.058627	0.07973268	0.04205857	0.05408925
ASV_278	0.059369	0.04435455	0.06047258	0.07327917
ASV_313	0.060852	0.04693310	0.08322786	0.05239387
ASV_315	0.059015	0.09493917	0.04673521	0.03537073
ASV_233	0.06079	0.06375171	0.08388828	0.03473092
ASV_286	0.059412	0.04599734	0.07315951	0.05908017
ASV_319	0.059156	0.03572387	0.07001127	0.07173206
ASV_360	0.057997	0.06264129	0.05031571	0.06103399
ASV_254	0.058016	0.07149267	0.04946568	0.05309065
ASV_259	0.057593	0.04740888	0.05378450	0.07158551
ASV_274	0.057287	0.08020432	0.04063977	0.05101833
ASV_893	0.057969	0.07031556	0.05805496	0.04553560
ASV_244	0.057658	0.03398922	0.07029075	0.06869369
ASV_279	0.056342	0.10406642	0.02801305	0.03694756
ASV_723	0.058119	0.07134709	0.05789760	0.04511094
ASV_293	0.055474	0.06652443	0.03000788	0.06989028
ASV_310	0.055693	0.07946459	0.04347862	0.04413623
ASV_327	0.056467	0.03337841	0.08164238	0.05438054
ASV_357	0.055459	0.09607562	0.03657381	0.03372829
ASV_228	0.055965	0.04171809	0.07168753	0.05448973
ASV_298	0.055642	0.04813228	0.06432258	0.05447147
ASV_300	0.055727	0.05782044	0.06705126	0.04230886
ASV_287	0.056007	0.04537115	0.06382167	0.05882772
ASV_302	0.05684	0.03321420	0.08814950	0.04915658
ASV_345	0.056359	0.04892188	0.09281573	0.02734021
ASV_572	0.054922	0.05005815	0.05477992	0.05992854
ASV_264	0.053676	0.03851731	0.04109985	0.08141102
ASV_301	0.054207	0.05839083	0.05863390	0.04559766
ASV_491	0.055051	0.05204480	0.07015515	0.04295186
ASV_284	0.053302	0.06339076	0.03932003	0.05719403
ASV_496	0.05489	0.06073817	0.06097897	0.04295250
ASV_290	0.053947	0.04750051	0.04588679	0.06845323
ASV_306	0.054116	0.06309778	0.04559735	0.05365222
ASV_520	0.05426	0.03818961	0.08126011	0.04333080
ASV_276	0.053091	0.06519839	0.04061652	0.05345772
ASV_336	0.052761	0.06724008	0.04538512	0.04565667
ASV_267	0.053747	0.03945012	0.06751810	0.05427133
ASV_275	0.052859	0.04852045	0.06205770	0.04800018
ASV_312	0.052751	0.04365252	0.05598989	0.05861029
ASV_329	0.052377	0.05779821	0.04483792	0.05449584
ASV_346	0.05304	0.06121218	0.05237965	0.04552834
ASV_350	0.051767	0.07491426	0.03232982	0.04805796
ASV_318	0.051777	0.03166450	0.06619196	0.05747363
ASV_332	0.05125	0.07496924	0.03804624	0.04073499
ASV_1597	0.051854	0.04410005	0.08138015	0.03008126
ASV_269	0.052089	0.04463418	0.07106834	0.04056442
ASV_307	0.050866	0.05572382	0.04262506	0.05425058
ASV_374	0.050994	0.06332801	0.03840646	0.05124897
ASV_499	0.051842	0.03693416	0.03996738	0.07862415
ASV_311	0.049941	0.06935276	0.04260889	0.03786150
ASV_328	0.050498	0.07879481	0.04109865	0.03160072
ASV_378	0.051407	0.03252605	0.07936508	0.04233106
ASV_292	0.0505	0.04310108	0.05834633	0.05005175
ASV_364	0.049802	0.03856342	0.06764591	0.04319669
ASV_289	0.048801	0.05011357	0.03951711	0.05677249
ASV_323	0.049462	0.02894324	0.08123423	0.03820929
ASV_330	0.048972	0.05888535	0.03807507	0.04995426
ASV_405	0.049041	0.05813774	0.05372850	0.03525532
ASV_305	0.04786	0.07380815	0.03691011	0.03286199
ASV_583	0.048854	0.05051207	0.05787622	0.03817342
ASV_744	0.048851	0.05435026	0.04624217	0.04596018
ASV_797	0.049233	0.08020402	0.03505746	0.03243719
ASV_295	0.048193	0.05196745	0.04660113	0.04601077
ASV_296	0.047585	0.05503586	0.03937935	0.04833967
ASV_362	0.0478	0.03282308	0.05078299	0.05979468
ASV_365	0.048342	0.02383552	0.06884586	0.05234458
ASV_854	0.047876	0.04126868	0.04496577	0.05739252
ASV_1275	0.047444	0.02679083	0.04774113	0.06780081
ASV_299	0.04845	0.02997229	0.06957676	0.04579987
ASV_321	0.047223	0.03487405	0.05087298	0.05592288
ASV_352	0.047489	0.04667877	0.04220084	0.05358770
ASV_733	0.048874	0.03237245	0.08143666	0.03281142
ASV_294	0.047125	0.05675615	0.04888688	0.03573081
ASV_459	0.047297	0.03555481	0.05122698	0.05510982
ASV_625	0.046977	0.05526882	0.04633849	0.03932348
ASV_356	0.045583	0.05345977	0.04250945	0.04077909
ASV_592	0.047242	0.03000724	0.07028918	0.04142867
ASV_453	0.046046	0.04338348	0.04227593	0.05247724
ASV_304	0.046549	0.01517726	0.08137455	0.04309450
ASV_316	0.04467	0.06941587	0.02250516	0.04208909
ASV_340	0.045263	0.05853458	0.03548458	0.04177009
ASV_342	0.046433	0.02315286	0.06645829	0.04968764
ASV_334	0.044479	0.05808658	0.02520007	0.05014998
ASV_419	0.045612	0.05740604	0.04690074	0.03252953
ASV_333	0.044836	0.02926463	0.02972917	0.07551337
ASV_605	0.046045	0.03852283	0.07997474	0.01963736
ASV_383	0.043512	0.06018132	0.03666763	0.03368711
ASV_384	0.044707	0.04212591	0.06306896	0.02892633
ASV_297	0.04473	0.01098914	0.07307392	0.05012545
ASV_349	0.04369	0.03282690	0.05121992	0.04702371
ASV_396	0.043936	0.05431872	0.03678865	0.04070115
ASV_433	0.044017	0.04205929	0.03532074	0.05467216
ASV_556	0.043628	0.06605466	0.03978952	0.02504089
ASV_370	0.043014	0.03436274	0.04016058	0.05451964
ASV_371	0.043684	0.04660646	0.04265721	0.04178883
ASV_601	0.042862	0.08494885	0.02681773	0.01681986
ASV_641	0.043081	0.06135291	0.03257270	0.03531660
ASV_339	0.041885	0.02565739	0.02590417	0.07409278
ASV_422	0.043125	0.04885137	0.04638607	0.03413841
ASV_309	0.041289	0.06034053	0.02392192	0.03960557
ASV_324	0.042257	0.02852741	0.03784029	0.06040338
ASV_337	0.04249	0.04929680	0.03478018	0.04339323
ASV_341	0.042941	0.02822291	0.05227761	0.04832110
ASV_377	0.043188	0.03780666	0.05240324	0.03935316
ASV_380	0.043386	0.02498277	0.07074464	0.03442980
ASV_417	0.042758	0.05598765	0.04049671	0.03179087
ASV_548	0.04206	0.06146288	0.01680484	0.04791302
ASV_343	0.042883	0.03257083	0.06200734	0.03406967
ASV_354	0.041354	0.07344220	0.01287213	0.03774875
ASV_368	0.042427	0.03985611	0.05343147	0.03399441
ASV_684	0.04229	0.03785288	0.04691410	0.04210348
ASV_338	0.041318	0.03942578	0.04253905	0.04198771
ASV_367	0.041742	0.04502535	0.04790595	0.03229460
ASV_427	0.041929	0.05565704	0.04650255	0.02362798
ASV_428	0.041184	0.03348058	0.03759244	0.05247903
ASV_390	0.041417	0.02018945	0.07916348	0.02489863
ASV_463	0.041528	0.02994253	0.05644390	0.03819668
ASV_348	0.040502	0.06161880	0.02110308	0.03878524
ASV_409	0.04	0.05551448	0.03102863	0.03345715
ASV_571	0.040801	0.04933307	0.03637427	0.03669646
ASV_461	0.041201	0.04530844	0.06245374	0.01583939
ASV_504	0.040052	0.03960188	0.03812835	0.04242602
ASV_335	0.039867	0.02885614	0.04515471	0.04558944
ASV_913	0.039674	0.05772862	0.02970223	0.03158978
ASV_1234	0.039658	0.04520511	0.04007992	0.03368849
ASV_379	0.040299	0.03970311	0.05369149	0.02750250
ASV_382	0.040438	0.04830432	0.04813187	0.02487710
ASV_398	0.039964	0.02491455	0.06355965	0.03141768
ASV_403	0.038773	0.05794432	0.03252775	0.02584785
ASV_480	0.03945	0.03421897	0.03932452	0.04480550
ASV_388	0.039138	0.04093024	0.04671322	0.02977125
ASV_392	0.039119	0.04802087	0.04037546	0.02896063
ASV_530	0.039258	0.02257457	0.05112098	0.04407755
ASV_1027	0.038792	0.04532612	0.03681393	0.03423644
ASV_381	0.039144	0.01088877	0.06095734	0.04558533
ASV_425	0.038634	0.04577089	0.04232401	0.02780833
ASV_549	0.038532	0.03133506	0.03835888	0.04590240
ASV_586	0.039271	0.02227717	0.05179753	0.04373852
ASV_610	0.03815	0.02774075	0.03059064	0.05611959
ASV_351	0.037744	0.05956197	0.02994255	0.02372803
ASV_391	0.038361	0.02732054	0.03943500	0.04832805
ASV_395	0.037167	0.04578454	0.03810012	0.02761721
ASV_402	0.038151	0.03056778	0.03972104	0.04416495
ASV_404	0.037758	0.04674691	0.03088555	0.03564007
ASV_355	0.037084	0.03245967	0.03360883	0.04518313
ASV_361	0.037855	0.04044314	0.04929319	0.02382842
ASV_363	0.037641	0.02376822	0.03539998	0.05375486
ASV_366	0.03755	0.02944900	0.04242740	0.04077259
ASV_389	0.038056	0.01588120	0.05243973	0.04584714
ASV_394	0.037593	0.02072633	0.03375921	0.05829439
ASV_445	0.036288	0.06306521	0.01988433	0.02591519
ASV_386	0.036911	0.03001039	0.04514607	0.03557696
ASV_440	0.038269	0.067464955	0.038317240	0.009023486
ASV_746	0.037204	0.01486928	0.05624101	0.04050182
ASV_414	0.036141	0.02966073	0.04202252	0.03674057
ASV_429	0.035033	0.070653578	0.008492492	0.025953703
ASV_450	0.036449	0.04249986	0.03527205	0.03157655
ASV_1150	0.036104	0.03424770	0.04677832	0.02728576
ASV_1605	0.035699	0.04609427	0.03107576	0.02992748
ASV_372	0.035687	0.04090533	0.02831597	0.03783989
ASV_393	0.036477	0.02385980	0.05536692	0.03020336
ASV_399	0.035907	0.03152268	0.03109169	0.04510521
ASV_401	0.035283	0.03281414	0.02533207	0.04770200
ASV_406	0.035627	0.03635092	0.03668430	0.03384625
ASV_411	0.036393	0.03389672	0.04507067	0.03021068
ASV_454	0.036095	0.03859715	0.03433115	0.03535525
ASV_538	0.035712	0.03359981	0.04112649	0.03241082
ASV_1458	0.036393	0.02625199	0.06485920	0.01806913
ASV_1493	0.036142	0.02425011	0.05911942	0.02505626
ASV_373	0.036146	0.008679893	0.069058311	0.030700744
ASV_376	0.035552	0.03452649	0.03421118	0.03791979
ASV_431	0.034013	0.06764642	0.02156073	0.01283100
ASV_476	0.035253	0.03918094	0.02981295	0.03676539
ASV_484	0.036084	0.02007045	0.05805249	0.03013026
ASV_400	0.03586	0.05040850	0.03870982	0.01846050
ASV_436	0.035691	0.02188791	0.05484798	0.03033711
ASV_585	0.035354	0.03450616	0.04126139	0.03029413
ASV_1068	0.034863	0.03838595	0.04268790	0.02351562
ASV_397	0.034302	0.02183976	0.04066306	0.04040429
ASV_416	0.034671	0.03630976	0.03845652	0.02924522
ASV_421	0.035169	0.03561771	0.04505478	0.02483366
ASV_495	0.034781	0.02685013	0.04080979	0.03668356
ASV_527	0.034761	0.02019626	0.04621430	0.03787173
ASV_532	0.035978	0.01045820	0.08707317	0.01040244
ASV_554	0.034439	0.02892914	0.03808307	0.03630414
ASV_629	0.034841	0.02970672	0.03816277	0.03665412
ASV_711	0.034838	0.04177100	0.03800842	0.02473357
ASV_962	0.034528	0.03576753	0.03617896	0.03163701
ASV_426	0.035191	0.04367610	0.03717823	0.02471944
ASV_432	0.034205	0.03232178	0.03102920	0.03926392
ASV_465	0.033732	0.03636597	0.02957877	0.03525080
ASV_630	0.033477	0.04413179	0.02955150	0.02674801
ASV_732	0.033681	0.03792141	0.03323338	0.02988744
ASV_737	0.034597	0.03442164	0.04796319	0.02140599
ASV_1309	0.033729	0.01327307	0.04243133	0.04548284
ASV_424	0.033527	0.02818754	0.04352684	0.02886726
ASV_505	0.033446	0.03303951	0.04375716	0.02354018
ASV_407	0.033021	0.03518442	0.03505239	0.02882485
ASV_418	0.033033	0.02396140	0.04901625	0.02612092
ASV_423	0.033031	0.03421766	0.04512150	0.01975425
ASV_413	0.031006	0.03727309	0.01946631	0.03627835
ASV_430	0.031258	0.00667914	0.02868706	0.05840699
ASV_561	0.032371	0.02706280	0.04392862	0.02612016
ASV_607	0.031463	0.06417028	0.01150511	0.01871374
ASV_435	0.031798	0.02945345	0.03282578	0.03311598
ASV_442	0.031386	0.01745355	0.03921240	0.03749164
ASV_486	0.03145	0.02886008	0.04225159	0.02323949
ASV_542	0.031436	0.03675599	0.03105531	0.02649526
ASV_632	0.031282	0.01922465	0.02251118	0.05211017
