#OTU ID	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
ASV_129	21	24	89	47	50	44	27	43	27	33	55	31	20	35	32	28	67	67
ASV_121	47	33	35	28	9	38	68	42	42	48	54	73	31	29	35	20	46	41
ASV_123	54	57	38	50	50	49	32	16	39	28	43	40	28	37	43	35	43	36
ASV_135	20	63	18	41	2	62	39	63	30	51	43	39	63	32	40	25	31	45
ASV_137	47	45	70	54	54	45	36	31	36	20	35	26	30	24	35	41	46	32
ASV_124	48	28	105	25	12	23	46	16	24	32	52	32	35	36	56	45	28	58
ASV_127	36	57	29	54	43	44	29	27	22	39	41	29	32	46	36	61	45	30
ASV_133	51	41	32	63	31	50	30	22	42	36	35	52	38	31	46	29	29	35
ASV_156	45	65	58	27	46	63	57	23	23	28	42	43	16	24	30	25	27	34
ASV_136	32	19	17	34	68	29	37	30	41	51	37	31	21	30	59	71	40	27
ASV_142	41	46	32	24	13	39	69	26	39	42	46	36	21	28	52	23	29	66
ASV_128	39	32	28	24	11	30	59	35	37	35	42	52	31	49	50	36	33	42
ASV_138	37	39	55	23	17	38	25	31	58	33	26	17	62	33	32	26	52	48
ASV_154	30	81	13	40	31	30	29	41	23	35	29	49	52	37	29	55	12	26
ASV_141	83	53	65	64	64	73	5	18	16	31	16	10	26	36	19	15	21	22
ASV_130	27	63	13	51	7	107	23	7	18	46	18	21	10	16	76	15	12	104
ASV_132	6	18	183	57	20	43	52	23	35	20	14	3	25	34	26	13	19	35
ASV_153	31	32	80	16	11	19	44	34	34	32	35	36	23	43	42	60	21	30
ASV_162	41	43	45	47	7	40	64	26	38	35	33	52	26	12	41	16	18	30
ASV_163	25	42	21	26	16	22	41	47	36	36	43	64	43	22	37	32	26	32
ASV_150	35	33	31	31	32	40	27	24	25	33	32	37	34	34	56	41	29	35
ASV_140	36	33	43	38	59	51	34	23	19	30	37	16	16	37	31	34	44	23
ASV_144	43	14	15	41	35	29	53	46	39	49	28	28	43	33	28	25	31	20
ASV_172	29	25	5	12	10	18	97	48	48	74	36	143	6	3	13	7	8	17
ASV_148	56	51	32	16	13	29	46	27	23	21	48	43	26	18	55	33	12	45
ASV_159	52	36	6	10	6	10	31	30	50	45	36	21	34	34	71	49	41	30
ASV_151	84	55	9	34	16	22	49	34	41	40	25	28	37	19	43	24	8	23
ASV_147	44	63	44	19	18	53	46	19	21	26	33	22	17	36	21	30	54	25
ASV_180	24	33	26	31	14	29	34	51	41	29	24	47	35	28	51	25	19	48
ASV_157	27	14	86	25	58	21	16	63	17	27	45	18	7	12	14	39	65	34
ASV_145	8	34	19	56	75	21	16	26	11	30	26	15	27	24	32	34	72	57
ASV_143	34	17	27	34	47	32	26	19	35	46	24	20	59	42	16	30	43	31
ASV_146	30	9	26	26	17	28	24	15	39	29	28	23	30	44	55	70	49	36
ASV_164	40	30	23	15	3	16	81	40	35	32	30	75	31	16	31	13	21	45
ASV_155	32	52	22	9	19	80	10	49	19	31	49	58	7	7	26	75	14	17
ASV_149	7	144	0	25	36	12	47	44	19	7	5	26	60	9	86	17	16	14
ASV_158	37	40	22	71	3	25	32	41	34	20	18	32	28	19	26	28	22	64
ASV_167	29	43	37	55	49	48	28	12	37	22	22	31	23	24	22	28	23	18
ASV_152	13	40	17	18	34	43	20	22	28	36	12	15	39	25	79	34	40	31
ASV_181	43	26	16	16	8	31	41	25	22	29	37	48	35	28	38	44	20	36
ASV_168	25	8	6	12	7	8	74	50	50	44	38	22	22	32	58	36	13	35
ASV_195	31	37	36	47	37	47	40	19	23	29	20	46	11	15	27	31	27	16
ASV_174	9	10	2	4	6	3	17	56	15	37	15	6	7	5	30	250	64	2
ASV_186	24	37	24	14	10	16	28	45	18	40	13	38	54	29	28	23	60	35
ASV_182	44	12	36	24	48	80	24	9	20	22	30	38	10	31	10	41	36	15
ASV_183	56	14	58	1	14	34	28	116	3	86	27	24	1	32	8	0	12	14
ASV_161	4	21	1	3	0	1	8	6	13	316	28	9	22	8	15	64	2	6
ASV_171	15	45	21	5	16	30	22	31	52	22	30	24	26	21	49	66	18	32
ASV_173	3	2	0	461	0	0	6	21	1	4	0	20	2	1	1	1	1	0
ASV_190	25	8	59	18	75	33	15	39	8	7	28	11	71	12	15	26	40	34
ASV_170	28	26	28	19	16	33	47	26	31	27	31	42	18	28	36	27	11	40
ASV_169	34	11	6	11	32	16	52	48	15	23	13	17	82	34	27	18	19	54
ASV_179	14	2	59	34	41	9	13	74	7	25	39	21	29	20	13	24	51	37
ASV_193	24	48	5	31	7	16	30	32	28	27	38	18	10	47	33	54	16	43
ASV_178	26	55	19	22	19	12	20	52	32	28	29	25	27	37	28	25	16	29
ASV_166	32	18	38	23	44	32	23	22	36	25	22	20	17	48	22	25	26	25
ASV_160	29	28	14	30	14	53	22	24	31	20	71	29	26	20	12	26	31	16
ASV_175	83	20	41	32	85	76	5	4	13	11	11	0	18	14	14	13	22	33
ASV_176	26	14	71	27	18	81	20	13	9	23	19	17	16	24	20	32	51	12
ASV_197	24	30	29	18	10	55	36	37	26	27	29	34	17	16	39	14	25	23
ASV_185	46	28	37	56	29	49	14	12	35	20	7	11	50	21	11	10	31	18
ASV_165	10	113	37	3	1	19	15	2	86	8	1	79	48	9	5	13	0	34
ASV_177	15	5	12	62	4	11	47	14	28	29	5	53	74	63	21	16	7	8
ASV_184	23	19	46	52	44	40	17	6	40	15	23	13	18	24	25	22	28	18
ASV_237	46	30	21	29	19	28	15	22	24	22	22	16	14	37	27	51	22	25
ASV_187	46	20	33	56	37	65	8	7	13	14	18	29	16	22	15	20	29	22
ASV_192	31	17	18	40	52	41	13	20	25	22	17	16	17	33	21	31	33	22
ASV_202	2	7	3	7	26	23	15	99	7	62	29	96	1	5	22	10	22	32
ASV_189	39	26	34	32	36	35	21	17	18	13	33	26	19	28	25	13	24	26
ASV_217	20	4	5	8	28	7	12	80	61	93	14	9	24	12	37	8	10	31
ASV_209	28	31	64	2	10	19	11	45	8	28	16	16	55	9	43	32	10	26
ASV_200	30	14	5	7	21	18	13	9	19	31	4	4	110	15	10	20	94	26
ASV_188	22	35	17	8	36	49	25	27	10	38	13	14	32	21	25	26	26	20
ASV_196	15	20	41	47	19	22	28	23	30	15	20	26	20	28	39	19	14	18
ASV_198	20	54	14	60	5	51	22	17	20	21	25	16	18	21	29	17	10	16
ASV_224	33	85	8	9	6	17	29	50	19	12	10	27	20	35	26	15	12	21
ASV_246	25	21	9	3	13	15	47	26	30	65	19	111	7	6	7	9	4	16
ASV_207	34	25	37	32	18	29	23	31	13	19	27	18	14	23	21	24	20	23
ASV_213	29	26	29	21	18	16	18	13	21	15	33	25	19	38	23	46	17	22
ASV_204	14	10	16	6	5	3	28	20	36	27	17	28	24	55	31	40	39	29
ASV_203	17	10	11	25	7	11	38	12	26	17	26	35	17	27	43	25	30	49
ASV_226	19	43	21	18	15	19	38	37	21	39	21	32	20	7	25	11	13	21
ASV_248	28	32	10	28	10	26	44	32	29	26	19	40	17	12	20	22	10	15
ASV_227	13	30	19	15	12	23	33	38	15	18	23	21	15	11	26	38	12	57
ASV_199	37	28	7	11	21	20	35	12	12	25	36	24	33	39	27	14	13	22
ASV_211	9	14	6	102	29	54	34	10	8	19	11	10	5	10	30	41	3	20
ASV_210	27	28	10	18	25	17	37	37	15	23	22	33	7	14	33	23	18	24
ASV_219	16	22	32	39	12	20	22	29	14	28	23	24	25	11	29	30	21	14
ASV_206	11	12	14	227	8	15	14	6	8	7	12	10	8	10	3	20	12	13
ASV_191	15	10	5	8	3	6	32	22	27	39	45	8	20	61	27	40	14	24
ASV_240	21	24	17	14	15	16	27	35	29	25	22	28	27	26	26	18	14	22
