OTU	Group
ASV_1124	saliva
ASV_1190	saliva
ASV_211	saliva
ASV_246	plaque
ASV_254	All
ASV_254	plaque
ASV_277	saliva
ASV_305	plaque
ASV_366	saliva
ASV_395	All
ASV_395	feces
ASV_481	saliva
ASV_501	All
ASV_501	feces
ASV_740	All
ASV_740	feces
ASV_748	All
ASV_748	feces
ASV_871	plaque
ASV_902	plaque
ASV_910	plaque
ASV_935	All
ASV_935	plaque
ASV_952	plaque
ASV_1020	saliva
ASV_1052	saliva
ASV_1069	saliva
ASV_1091	saliva
ASV_1100	saliva
ASV_1111	saliva
ASV_1186	saliva
ASV_1198	saliva
ASV_138	plaque
ASV_223	saliva
ASV_281	saliva
ASV_303	plaque
ASV_304	plaque
ASV_313	plaque
ASV_344	saliva
ASV_356	saliva
ASV_367	feces
ASV_370	All
ASV_370	feces
ASV_419	plaque
ASV_476	saliva
ASV_477	saliva
ASV_511	feces
ASV_525	feces
ASV_531	feces
ASV_572	plaque
ASV_578	plaque
ASV_665	saliva
ASV_679	saliva
ASV_680	saliva
ASV_689	saliva
ASV_694	saliva
ASV_773	feces
ASV_888	plaque
ASV_912	plaque
ASV_924	plaque
ASV_988	plaque
ASV_1229	saliva
ASV_135	plaque
ASV_180	saliva
ASV_183	feces
ASV_196	plaque
ASV_229	feces
ASV_231	feces
ASV_271	saliva
ASV_274	saliva
ASV_294	All
ASV_294	feces
ASV_308	plaque
ASV_325	plaque
ASV_348	saliva
ASV_369	All
ASV_369	feces
ASV_494	saliva
ASV_512	All
ASV_512	feces
ASV_569	plaque
ASV_688	saliva
ASV_719	saliva
ASV_722	saliva
ASV_750	feces
ASV_798	feces
ASV_820	feces
ASV_866	plaque
ASV_874	plaque
ASV_899	plaque
ASV_969	plaque
ASV_1018	plaque
ASV_1092	saliva
ASV_1096	saliva
ASV_1155	saliva
ASV_1181	saliva
ASV_1193	saliva
ASV_1210	saliva
ASV_1233	saliva
ASV_255	plaque
ASV_256	saliva
ASV_318	plaque
ASV_352	saliva
ASV_380	feces
ASV_385	feces
ASV_404	plaque
ASV_424	plaque
ASV_457	saliva
ASV_493	saliva
ASV_541	feces
ASV_573	plaque
ASV_601	plaque
ASV_624	plaque
ASV_636	saliva
ASV_690	saliva
ASV_700	saliva
ASV_713	saliva
ASV_747	All
ASV_747	feces
ASV_760	feces
ASV_763	feces
ASV_768	feces
ASV_771	feces
ASV_849	plaque
ASV_862	plaque
ASV_869	saliva
ASV_958	plaque
ASV_999	plaque
ASV_1070	saliva
ASV_1117	saliva
ASV_1187	saliva
ASV_1232	saliva
ASV_181	saliva
ASV_201	plaque
ASV_261	All
ASV_261	plaque
ASV_309	plaque
ASV_334	plaque
ASV_334	saliva
ASV_351	saliva
ASV_446	plaque
ASV_450	plaque
ASV_502	feces
ASV_513	feces
ASV_588	plaque
ASV_627	plaque
ASV_667	saliva
ASV_685	saliva
ASV_731	feces
ASV_737	feces
ASV_769	feces
ASV_812	feces
ASV_838	plaque
ASV_870	plaque
ASV_885	plaque
ASV_1040	saliva
ASV_1118	saliva
ASV_1165	saliva
ASV_149	saliva
ASV_154	plaque
ASV_311	plaque
ASV_364	saliva
ASV_384	feces
ASV_411	plaque
ASV_430	plaque
ASV_472	saliva
ASV_484	saliva
ASV_500	feces
ASV_507	feces
ASV_520	feces
ASV_540	feces
ASV_575	plaque
ASV_599	plaque
ASV_614	plaque
ASV_664	saliva
ASV_677	saliva
ASV_735	feces
ASV_757	feces
ASV_797	feces
ASV_833	All
ASV_833	feces
ASV_875	plaque
ASV_884	plaque
ASV_925	plaque
ASV_939	plaque
ASV_962	plaque
ASV_1218	saliva
ASV_206	saliva
ASV_213	saliva
ASV_250	plaque
ASV_252	plaque
ASV_287	feces
ASV_290	All
ASV_290	feces
ASV_381	feces
ASV_436	plaque
ASV_459	saliva
ASV_488	saliva
ASV_532	feces
ASV_545	All
ASV_545	feces
ASV_561	plaque
ASV_582	plaque
ASV_606	plaque
ASV_671	saliva
ASV_696	saliva
ASV_697	saliva
ASV_704	saliva
ASV_712	saliva
ASV_714	saliva
ASV_775	feces
ASV_835	plaque
ASV_864	plaque
ASV_892	plaque
ASV_932	plaque
ASV_1012	saliva
ASV_1049	saliva
ASV_1074	saliva
ASV_1106	saliva
ASV_1136	saliva
ASV_1175	saliva
ASV_1228	saliva
ASV_155	plaque
ASV_163	plaque
ASV_258	plaque
